datum,originalwert_in_1000,originalwert_vernderung_gegenber_vorjahresquartal_in_,trendkonjunkturkomponente_bv_41_in_1000,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vorquartal_in_,kalender_und_saisonbereinigte_werte_bv_41_in_1000,kalender_und_saisonbereinigte_werte_bv_41_vernderung_gegenber_vorquartal_in_,restkomponente_bv_41
01/07/1991,35225,,35202,-0.5,35165,-0.7,-37.4
01/10/1991,35312,,35070,-0.4,35088,-0.2,18.1
01/01/1992,34762,-1.8,34948,-0.3,34946,-0.4,-2.7
01/04/1992,34724,-1.6,34828,-0.3,34837,-0.3,8.9
01/07/1992,34792,-1.2,34688,-0.4,34714,-0.4,26.1
01/10/1992,34738,-1.6,34525,-0.5,34518,-0.6,-6.7
01/01/1993,34185,-1.7,34368,-0.5,34370,-0.4,2.5
01/04/1993,34091,-1.8,34230,-0.4,34224,-0.4,-6.3
01/07/1993,34222,-1.6,34131,-0.3,34123,-0.3,-7.8
01/10/1993,34288,-1.3,34073,-0.2,34055,-0.2,-18.5
01/01/1994,33881,-0.9,34070,-0.0,34083,0.1,13.0
01/04/1994,33946,-0.4,34097,0.1,34088,0.0,-9.2
01/07/1994,34247,0.1,34141,0.1,34144,0.2,2.9
01/10/1994,34464,0.5,34181,0.1,34194,0.1,13.5
01/01/1995,33967,0.3,34217,0.1,34219,0.1,2.3
01/04/1995,34112,0.5,34243,0.1,34239,0.1,-4.3
01/07/1995,34360,0.3,34252,0.0,34243,0.0,-8.4
01/10/1995,34557,0.3,34257,0.0,34268,0.1,11.6
01/01/1996,33936,-0.1,34252,-0.0,34245,-0.1,-7.0
01/04/1996,34143,0.1,34232,-0.1,34248,0.0,16.1
01/07/1996,34332,-0.1,34183,-0.1,34184,-0.2,0.4
01/10/1996,34413,-0.4,34135,-0.1,34131,-0.2,-4.4
01/01/1997,33759,-0.5,34108,-0.1,34105,-0.1,-2.8
01/04/1997,33998,-0.4,34103,-0.0,34104,-0.0,1.2
01/07/1997,34313,-0.1,34125,0.1,34132,0.1,7.4
01/10/1997,34448,0.1,34180,0.2,34159,0.1,-21.0
01/01/1998,33913,0.5,34288,0.3,34263,0.3,-25.7
01/04/1998,34323,1.0,34448,0.5,34465,0.6,16.3
01/07/1998,34813,1.5,34615,0.5,34627,0.5,12.7
01/10/1998,35099,1.9,34762,0.4,34803,0.5,40.3
01/01/1999,34574,1.9,34884,0.3,34887,0.2,2.9
01/04/1999,34807,1.4,35025,0.4,34964,0.2,-60.9
01/07/1999,35401,1.7,35244,0.6,35234,0.8,-9.9
01/10/1999,35752,1.9,35506,0.7,35472,0.7,-33.6
01/01/2000,35513,2.7,35771,0.7,35812,1.0,41.0
01/04/2000,35872,3.1,35948,0.5,35989,0.5,40.8
01/07/2000,36170,2.2,36018,0.2,36031,0.1,13.3
01/10/2000,36297,1.5,36004,-0.0,36022,-0.0,18.2
01/01/2001,35575,0.2,35934,-0.2,35894,-0.4,-39.8
01/04/2001,35784,-0.2,35871,-0.2,35864,-0.1,-6.8
01/07/2001,35924,-0.7,35822,-0.1,35801,-0.2,-21.3
01/10/2001,36066,-0.6,35794,-0.1,35786,-0.0,-7.8
01/01/2002,35459,-0.3,35757,-0.1,35778,-0.0,20.9
01/04/2002,35616,-0.5,35681,-0.2,35705,-0.2,23.4
01/07/2002,35692,-0.6,35556,-0.4,35562,-0.4,6.4
01/10/2002,35680,-1.1,35397,-0.4,35406,-0.4,8.2
01/01/2003,34923,-1.5,35242,-0.4,35240,-0.5,-2.0
01/04/2003,34984,-1.8,35121,-0.3,35079,-0.5,-43.0
01/07/2003,35213,-1.3,35070,-0.1,35066,-0.0,-3.7
01/10/2003,35328,-1.0,35070,0.0,35049,-0.0,-20.4
01/01/2004,34771,-0.4,35106,0.1,35117,0.2,11.2
01/04/2004,35084,0.3,35128,0.1,35175,0.2,47.6
01/07/2004,35252,0.1,35092,-0.1,35092,-0.2,0.3
01/10/2004,35331,0.0,35021,-0.2,35016,-0.2,-4.2
01/01/2005,34563,-0.6,34956,-0.2,34961,-0.2,5.6
01/04/2005,34784,-0.9,34916,-0.1,34883,-0.2,-33.3
01/07/2005,35092,-0.5,34911,-0.0,34913,0.1,2.3
01/10/2005,35323,-0.0,34941,0.1,34984,0.2,43.2
01/01/2006,34520,-0.1,34995,0.2,34938,-0.1,-56.4
01/04/2006,35015,0.7,35105,0.3,35108,0.5,3.4
01/07/2006,35447,1.0,35254,0.4,35272,0.5,18.2
01/10/2006,35707,1.1,35427,0.5,35410,0.4,-16.4
01/01/2007,35252,2.1,35595,0.5,35616,0.6,20.6
01/04/2007,35672,1.9,35743,0.4,35753,0.4,10.0
01/07/2007,36026,1.6,35897,0.4,35881,0.4,-15.9
01/10/2007,36298,1.7,36055,0.4,36035,0.4,-20.0
01/01/2008,35915,1.9,36208,0.4,36225,0.5,17.1
01/04/2008,36246,1.6,36335,0.4,36330,0.3,-5.7
01/07/2008,36561,1.5,36431,0.3,36436,0.3,4.7
01/10/2008,36765,1.3,36476,0.1,36498,0.2,22.0
01/01/2009,36170,0.7,36470,-0.0,36489,-0.0,19.0
01/04/2009,36346,0.3,36425,-0.1,36415,-0.2,-9.6
01/07/2009,36495,-0.2,36378,-0.1,36364,-0.1,-14.6
01/10/2009,36629,-0.4,36375,-0.0,36365,0.0,-9.6
01/01/2010,36049,-0.3,36425,0.1,36399,0.1,-26.5
01/04/2010,36491,0.4,36521,0.3,36533,0.4,12.4
01/07/2010,36788,0.8,36631,0.3,36646,0.3,15.5
01/10/2010,36997,1.0,36746,0.3,36749,0.3,2.3
01/01/2011,36505,1.3,36860,0.3,36858,0.3,-2.1
01/04/2011,36942,1.2,36977,0.3,36976,0.3,-0.9
01/07/2011,37237,1.2,37104,0.3,37100,0.3,-3.9
01/10/2011,37471,1.3,37236,0.4,37229,0.3,-7.7
01/01/2012,37039,1.5,37367,0.4,37374,0.4,7.1
01/04/2012,37453,1.4,37488,0.3,37492,0.3,3.5
01/07/2012,37722,1.3,37594,0.3,37595,0.3,0.7
01/10/2012,37938,1.2,37685,0.2,37701,0.3,15.5
01/01/2013,37432,1.1,37758,0.2,37756,0.1,-2.7
01/04/2013,37784,0.9,37832,0.2,37816,0.2,-15.8
01/07/2013,38044,0.9,37923,0.2,37918,0.3,-4.8
01/10/2013,38246,0.8,38033,0.3,38027,0.3,-6.7
01/01/2014,37838,1.1,38149,0.3,38162,0.4,12.5
01/04/2014,38249,1.2,38247,0.3,38262,0.3,14.5
01/07/2014,38461,1.1,38330,0.2,38334,0.2,4.0
01/10/2014,38612,1.0,38413,0.2,38404,0.2,-10.0
01/01/2015,38171,0.9,38516,0.3,38501,0.3,-15.1
01/04/2015,38640,1.0,38645,0.3,38645,0.4,-0.1
01/07/2015,38918,1.2,38792,0.4,38798,0.4,5.7
01/10/2015,39164,1.4,38943,0.4,38949,0.4,5.9
01/01/2016,38770,1.6,39091,0.4,39091,0.4,0.2
01/04/2016,39232,1.5,39244,0.4,39242,0.4,-1.3
01/07/2016,39505,1.5,39406,0.4,39400,0.4,-6.7
01/10/2016,39798,1.6,39578,0.4,39585,0.5,6.9
01/01/2017,39446,1.7,39745,0.4,39742,0.4,-3.2
01/04/2017,39900,1.7,39915,0.4,39913,0.4,-1.6
01/07/2017,40187,1.7,40089,0.4,40093,0.5,3.9
01/10/2017,40455,1.7,40262,0.4,40254,0.4,-7.7
01/01/2018,40162,1.8,40427,0.4,40432,0.4,4.4
01/04/2018,40568,1.7,40581,0.4,40590,0.4,9.0
01/07/2018,40808,1.5,40729,0.4,40738,0.4,8.4
01/10/2018,41059,1.5,40866,0.3,40849,0.3,-17.3
01/01/2019,40738,1.4,40991,0.3,40942,0.2,-49.6
01/04/2019,41091,1.3,41134,0.3,41175,0.6,40.3
01/07/2019,41261,1.1,41229,0.2,41227,0.1,-2.2
01/10/2019,41491,1.1,41227,-0.0,41247,0.0,20.0
01/01/2020,41091,0.9,41129,-0.2,41237,-0.0,108.0
01/04/2020,40726,-0.9,40952,-0.4,40867,-0.9,-85.5
01/07/2020,40830,-1.0,40826,-0.3,40795,-0.2,-31.1
01/10/2020,41059,-1.0,40788,-0.1,40803,0.0,15.3
01/01/2021,40610,-1.2,40853,0.2,40789,-0.0,-64.1
01/04/2021,40928,0.5,41007,0.4,41027,0.6,19.8
01/07/2021,41274,1.1,41188,0.4,41220,0.5,31.8
01/10/2021,41591,1.3,41385,0.5,41371,0.4,-13.8
01/01/2022,41370,1.9,41574,0.5,41586,0.5,12.1
01/04/2022,41704,1.9,41726,0.4,41740,0.4,13.8
01/07/2022,41888,1.5,41853,0.3,41842,0.2,-11.3
01/10/2022,42160,1.4,41967,0.3,41967,0.3,-0.8
01/01/2023,41850,1.2,42063,0.2,42063,0.2,0.1
