date,indicator,value
01/07/1991,originalwert_in_1000,35225
01/07/1991,originalwert_veraenderung_gegenueber_vorquartal_in_,-0.2
01/10/1991,originalwert_in_1000,35312
01/10/1991,originalwert_veraenderung_gegenueber_vorquartal_in_,0.2
01/01/1992,originalwert_in_1000,34762
01/01/1992,originalwert_veraenderung_gegenueber_vorquartal_in_,-1.6
01/01/1992,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.8
01/01/1992,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,34982
01/04/1992,originalwert_in_1000,34724
01/04/1992,originalwert_veraenderung_gegenueber_vorquartal_in_,-0.1
01/04/1992,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.6
01/04/1992,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,34866
01/07/1992,originalwert_in_1000,34792
01/07/1992,originalwert_veraenderung_gegenueber_vorquartal_in_,0.2
01/07/1992,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.2
01/07/1992,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,34680
01/10/1992,originalwert_in_1000,34738
01/10/1992,originalwert_veraenderung_gegenueber_vorquartal_in_,-0.2
01/10/1992,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.6
01/10/1992,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,34488
01/01/1993,originalwert_in_1000,34185
01/01/1993,originalwert_veraenderung_gegenueber_vorquartal_in_,-1.6
01/01/1993,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.7
01/01/1993,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,34409
01/04/1993,originalwert_in_1000,34091
01/04/1993,originalwert_veraenderung_gegenueber_vorquartal_in_,-0.3
01/04/1993,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.8
01/04/1993,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,34228
01/07/1993,originalwert_in_1000,34222
01/07/1993,originalwert_veraenderung_gegenueber_vorquartal_in_,0.4
01/07/1993,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.6
01/07/1993,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,34109
01/10/1993,originalwert_in_1000,34288
01/10/1993,originalwert_veraenderung_gegenueber_vorquartal_in_,0.2
01/10/1993,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.3
01/10/1993,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,34036
01/01/1994,originalwert_in_1000,33881
01/01/1994,originalwert_veraenderung_gegenueber_vorquartal_in_,-1.2
01/01/1994,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-0.9
01/01/1994,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,34117
01/04/1994,originalwert_in_1000,33946
01/04/1994,originalwert_veraenderung_gegenueber_vorquartal_in_,0.2
01/04/1994,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-0.4
01/04/1994,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,34080
01/07/1994,originalwert_in_1000,34247
01/07/1994,originalwert_veraenderung_gegenueber_vorquartal_in_,0.9
