datum,originalwert_in_1000,originalwert_vernderung_gegenber_vorjahresquartal_in_,trendkonjunkturkomponente_bv_41_in_1000,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vorquartal_in_,kalender_und_saisonbereinigte_werte_bv_41_in_1000,kalender_und_saisonbereinigte_werte_bv_41_vernderung_gegenber_vorquartal_in_,restkomponente_bv_41
01/07/1991,35249,,35242,-0.5,35205,-0.7,-36.9
01/10/1991,35354,,35100,-0.4,35117,-0.3,16.8
01/01/1992,34797,-1.9,34967,-0.4,34964,-0.4,-3.5
01/04/1992,34722,-1.7,34837,-0.4,34849,-0.3,12.0
01/07/1992,34772,-1.4,34687,-0.4,34710,-0.4,23.1
01/10/1992,34742,-1.7,34515,-0.5,34509,-0.6,-6.1
01/01/1993,34188,-1.8,34352,-0.5,34355,-0.4,2.8
01/04/1993,34051,-1.9,34212,-0.4,34202,-0.4,-10.0
01/07/1993,34195,-1.7,34113,-0.3,34108,-0.3,-5.2
01/10/1993,34282,-1.3,34054,-0.2,34035,-0.2,-19.5
01/01/1994,33879,-0.9,34048,-0.0,34063,0.1,14.0
01/04/1994,33899,-0.4,34070,0.1,34061,-0.0,-8.3
01/07/1994,34197,0.0,34102,0.1,34106,0.1,4.0
01/10/1994,34427,0.4,34128,0.1,34145,0.1,17.3
01/01/1995,33912,0.1,34146,0.1,34143,-0.0,-3.4
01/04/1995,34008,0.3,34158,0.0,34155,0.0,-3.8
01/07/1995,34251,0.2,34159,0.0,34150,-0.0,-8.1
01/10/1995,34465,0.1,34160,0.0,34167,0.0,7.7
01/01/1996,33873,-0.1,34154,-0.0,34151,-0.0,-2.8
01/04/1996,34022,0.0,34133,-0.1,34147,-0.0,14.0
01/07/1996,34212,-0.1,34086,-0.1,34087,-0.2,1.4
01/10/1996,34325,-0.4,34038,-0.1,34036,-0.2,-2.6
01/01/1997,33696,-0.5,34008,-0.1,34003,-0.1,-4.4
01/04/1997,33879,-0.4,34000,-0.0,34002,-0.0,2.3
01/07/1997,34175,-0.1,34019,0.1,34026,0.1,6.5
01/10/1997,34348,0.1,34074,0.2,34052,0.1,-21.6
01/01/1998,33850,0.5,34180,0.3,34157,0.3,-23.4
01/04/1998,34197,0.9,34338,0.5,34352,0.6,14.3
01/07/1998,34662,1.4,34504,0.5,34514,0.5,10.6
01/10/1998,34996,1.9,34653,0.4,34695,0.5,41.6
01/01/1999,34509,1.9,34774,0.3,34776,0.2,2.3
01/04/1999,34686,1.4,34910,0.4,34855,0.2,-55.7
01/07/1999,35239,1.7,35121,0.6,35113,0.7,-7.6
01/10/1999,35618,1.8,35371,0.7,35328,0.6,-42.7
01/01/2000,35420,2.6,35630,0.7,35673,1.0,43.1
01/04/2000,35711,3.0,35805,0.5,35848,0.5,43.1
01/07/2000,35977,2.1,35871,0.2,35881,0.1,9.9
01/10/2000,36177,1.6,35853,-0.0,35881,-0.0,27.6
01/01/2001,35458,0.1,35775,-0.2,35726,-0.4,-48.7
01/04/2001,35589,-0.3,35712,-0.2,35704,-0.1,-8.2
01/07/2001,35730,-0.7,35668,-0.1,35652,-0.1,-16.6
01/10/2001,35937,-0.7,35642,-0.1,35630,-0.1,-12.1
01/01/2002,35377,-0.2,35605,-0.1,35633,0.0,28.7
01/04/2002,35410,-0.5,35526,-0.2,35545,-0.2,18.8
01/07/2002,35486,-0.7,35402,-0.4,35405,-0.4,3.3
01/10/2002,35562,-1.0,35245,-0.4,35258,-0.4,12.7
01/01/2003,34838,-1.5,35089,-0.4,35086,-0.5,-3.3
01/04/2003,34783,-1.8,34968,-0.3,34925,-0.5,-42.7
01/07/2003,35007,-1.3,34915,-0.2,34912,-0.0,-3.2
01/10/2003,35201,-1.0,34915,0.0,34894,-0.1,-21.5
01/01/2004,34688,-0.4,34952,0.1,34964,0.2,11.9
01/04/2004,34884,0.3,34973,0.1,35019,0.2,45.7
01/07/2004,35046,0.1,34939,-0.1,34942,-0.2,2.7
01/10/2004,35205,0.0,34869,-0.2,34865,-0.2,-4.1
01/01/2005,34484,-0.6,34805,-0.2,34810,-0.2,5.0
01/04/2005,34599,-0.8,34767,-0.1,34736,-0.2,-31.2
01/07/2005,34882,-0.5,34765,-0.0,34761,0.1,-3.4
01/10/2005,35209,0.0,34804,0.1,34850,0.3,45.2
01/01/2006,34468,-0.0,34868,0.2,34814,-0.1,-54.3
01/04/2006,34861,0.8,34986,0.3,34985,0.5,-1.5
01/07/2006,35283,1.1,35143,0.4,35168,0.5,25.0
01/10/2006,35613,1.1,35320,0.5,35302,0.4,-18.0
01/01/2007,35218,2.2,35492,0.5,35511,0.6,19.0
01/04/2007,35556,2.0,35641,0.4,35656,0.4,15.0
01/07/2007,35858,1.6,35798,0.4,35776,0.3,-21.5
01/10/2007,36215,1.7,35963,0.5,35941,0.5,-22.7
01/01/2008,35904,1.9,36126,0.5,36145,0.6,19.1
01/04/2008,36160,1.7,36263,0.4,36259,0.3,-4.1
01/07/2008,36432,1.6,36365,0.3,36372,0.3,7.3
01/10/2008,36714,1.4,36410,0.1,36432,0.2,22.0
01/01/2009,36167,0.7,36403,-0.0,36420,-0.0,17.1
01/04/2009,36262,0.3,36359,-0.1,36348,-0.2,-11.2
01/07/2009,36367,-0.2,36317,-0.1,36302,-0.1,-14.6
01/10/2009,36593,-0.3,36317,0.0,36309,0.0,-8.5
01/01/2010,36059,-0.3,36371,0.1,36345,0.1,-26.4
01/04/2010,36423,0.4,36470,0.3,36483,0.4,13.0
01/07/2010,36670,0.8,36583,0.3,36598,0.3,14.2
01/10/2010,36976,1.0,36702,0.3,36703,0.3,1.5
01/01/2011,36527,1.3,36819,0.3,36818,0.3,-0.6
01/04/2011,36883,1.3,36936,0.3,36935,0.3,-0.9
01/07/2011,37125,1.2,37061,0.3,37057,0.3,-4.3
01/10/2011,37453,1.3,37189,0.3,37184,0.3,-5.3
01/01/2012,37044,1.4,37315,0.3,37322,0.4,7.4
01/04/2012,37376,1.3,37430,0.3,37431,0.3,1.6
01/07/2012,37593,1.3,37532,0.3,37530,0.3,-1.4
01/10/2012,37901,1.2,37622,0.2,37638,0.3,15.6
01/01/2013,37423,1.0,37699,0.2,37696,0.2,-2.9
01/04/2013,37715,0.9,37774,0.2,37761,0.2,-13.5
01/07/2013,37929,0.9,37864,0.2,37860,0.3,-3.8
01/10/2013,38205,0.8,37971,0.3,37963,0.3,-8.7
01/01/2014,37819,1.1,38087,0.3,38098,0.4,11.9
01/04/2014,38171,1.2,38183,0.3,38198,0.3,14.3
01/07/2014,38344,1.1,38262,0.2,38268,0.2,5.6
01/10/2014,38562,0.9,38340,0.2,38331,0.2,-9.0
01/01/2015,38130,0.8,38435,0.2,38419,0.2,-15.5
01/04/2015,38537,1.0,38556,0.3,38555,0.4,-1.2
01/07/2015,38773,1.1,38696,0.4,38701,0.4,5.4
01/10/2015,39084,1.4,38840,0.4,38847,0.4,6.3
01/01/2016,38699,1.5,38982,0.4,38982,0.3,-0.0
01/04/2016,39107,1.5,39129,0.4,39129,0.4,-0.6
