date,indicator,value
01/07/1997,originalwert_2020100,57.7
01/07/1997,trendkonjunkturkomponente_bv_41_2020100,61.5
01/07/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.2
01/07/1997,kalender_und_saisonbereinigte_werte_bv_41_2020100,61.3
01/07/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,-0.3
01/07/1997,kalenderbereinigte_werte_bv_41_2020100,57.7
01/10/1997,originalwert_2020100,67.4
01/10/1997,trendkonjunkturkomponente_bv_41_2020100,61.7
01/10/1997,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.3
01/10/1997,kalender_und_saisonbereinigte_werte_bv_41_2020100,61.5
01/10/1997,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.4
01/10/1997,kalenderbereinigte_werte_bv_41_2020100,67.1
01/01/1998,originalwert_2020100,56.7
01/01/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-0.6
01/01/1998,trendkonjunkturkomponente_bv_41_2020100,62.0
01/01/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.5
01/01/1998,kalender_und_saisonbereinigte_werte_bv_41_2020100,61.9
01/01/1998,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.6
01/01/1998,kalenderbereinigte_werte_bv_41_2020100,56.5
01/04/1998,originalwert_2020100,65.9
01/04/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.9
01/04/1998,trendkonjunkturkomponente_bv_41_2020100,62.3
01/04/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.5
01/04/1998,kalender_und_saisonbereinigte_werte_bv_41_2020100,62.1
01/04/1998,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.2
01/04/1998,kalenderbereinigte_werte_bv_41_2020100,65.3
01/07/1998,originalwert_2020100,59.0
01/07/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.3
01/07/1998,trendkonjunkturkomponente_bv_41_2020100,62.7
01/07/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.6
01/07/1998,kalender_und_saisonbereinigte_werte_bv_41_2020100,62.6
01/07/1998,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.9
01/07/1998,kalenderbereinigte_werte_bv_41_2020100,59.0
01/10/1998,originalwert_2020100,67.9
01/10/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.7
01/10/1998,trendkonjunkturkomponente_bv_41_2020100,63.1
01/10/1998,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.7
01/10/1998,kalender_und_saisonbereinigte_werte_bv_41_2020100,63.1
01/10/1998,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,0.8
01/10/1998,kalenderbereinigte_werte_bv_41_2020100,68.6
01/01/1999,originalwert_2020100,57.9
01/01/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.0
01/01/1999,trendkonjunkturkomponente_bv_41_2020100,63.4
01/01/1999,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vorquartal_in_,0.6
01/01/1999,kalender_und_saisonbereinigte_werte_bv_41_2020100,63.1
01/01/1999,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vorquartal_in_,-0.1
01/01/1999,kalenderbereinigte_werte_bv_41_2020100,57.6
01/04/1999,originalwert_2020100,67.4
01/04/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.3
01/04/1999,trendkonjunkturkomponente_bv_41_2020100,63.9
