date,indicator,value
01/07/2000,index_der_arbeitskosten_insgesamt_originalwert_2020100,62.7
01/07/2000,index_der_bruttoverdienste_originalwert_2020100,61.5
01/07/2000,index_der_lohnnebenkosten_originalwert_2020100,66.7
01/10/2000,index_der_arbeitskosten_insgesamt_originalwert_2020100,72.1
01/10/2000,index_der_bruttoverdienste_originalwert_2020100,70.6
01/10/2000,index_der_lohnnebenkosten_originalwert_2020100,77.2
01/01/2001,index_der_arbeitskosten_insgesamt_originalwert_2020100,61.3
01/01/2001,index_der_bruttoverdienste_originalwert_2020100,59.4
01/01/2001,index_der_lohnnebenkosten_originalwert_2020100,67.4
01/04/2001,index_der_arbeitskosten_insgesamt_originalwert_2020100,71.2
01/04/2001,index_der_bruttoverdienste_originalwert_2020100,70.3
01/04/2001,index_der_lohnnebenkosten_originalwert_2020100,74.5
01/07/2001,index_der_arbeitskosten_insgesamt_originalwert_2020100,63.9
01/07/2001,index_der_bruttoverdienste_originalwert_2020100,62.8
01/07/2001,index_der_lohnnebenkosten_originalwert_2020100,67.7
01/10/2001,index_der_arbeitskosten_insgesamt_originalwert_2020100,73.7
01/10/2001,index_der_bruttoverdienste_originalwert_2020100,72.4
01/10/2001,index_der_lohnnebenkosten_originalwert_2020100,77.9
01/01/2002,index_der_arbeitskosten_insgesamt_originalwert_2020100,63.6
01/01/2002,index_der_bruttoverdienste_originalwert_2020100,61.6
01/01/2002,index_der_lohnnebenkosten_originalwert_2020100,70.3
01/04/2002,index_der_arbeitskosten_insgesamt_originalwert_2020100,72.4
01/04/2002,index_der_bruttoverdienste_originalwert_2020100,71.3
01/04/2002,index_der_lohnnebenkosten_originalwert_2020100,75.8
01/07/2002,index_der_arbeitskosten_insgesamt_originalwert_2020100,65.3
01/07/2002,index_der_bruttoverdienste_originalwert_2020100,64.0
01/07/2002,index_der_lohnnebenkosten_originalwert_2020100,69.6
01/10/2002,index_der_arbeitskosten_insgesamt_originalwert_2020100,75.1
01/10/2002,index_der_bruttoverdienste_originalwert_2020100,74.0
01/10/2002,index_der_lohnnebenkosten_originalwert_2020100,79.0
01/01/2003,index_der_arbeitskosten_insgesamt_originalwert_2020100,65.1
01/01/2003,index_der_bruttoverdienste_originalwert_2020100,63.2
01/01/2003,index_der_lohnnebenkosten_originalwert_2020100,71.5
01/04/2003,index_der_arbeitskosten_insgesamt_originalwert_2020100,74.9
01/04/2003,index_der_bruttoverdienste_originalwert_2020100,73.7
01/04/2003,index_der_lohnnebenkosten_originalwert_2020100,79.1
01/07/2003,index_der_arbeitskosten_insgesamt_originalwert_2020100,67.0
01/07/2003,index_der_bruttoverdienste_originalwert_2020100,65.5
01/07/2003,index_der_lohnnebenkosten_originalwert_2020100,72.3
01/10/2003,index_der_arbeitskosten_insgesamt_originalwert_2020100,75.9
01/10/2003,index_der_bruttoverdienste_originalwert_2020100,74.6
01/10/2003,index_der_lohnnebenkosten_originalwert_2020100,80.6
01/01/2004,index_der_arbeitskosten_insgesamt_originalwert_2020100,65.8
01/01/2004,index_der_bruttoverdienste_originalwert_2020100,64.0
01/01/2004,index_der_lohnnebenkosten_originalwert_2020100,71.6
01/04/2004,index_der_arbeitskosten_insgesamt_originalwert_2020100,75.6
01/04/2004,index_der_bruttoverdienste_originalwert_2020100,74.4
01/04/2004,index_der_lohnnebenkosten_originalwert_2020100,79.5
01/07/2004,index_der_arbeitskosten_insgesamt_originalwert_2020100,67.2
01/07/2004,index_der_bruttoverdienste_originalwert_2020100,65.8
01/07/2004,index_der_lohnnebenkosten_originalwert_2020100,71.9
01/10/2004,index_der_arbeitskosten_insgesamt_originalwert_2020100,75.3
01/10/2004,index_der_bruttoverdienste_originalwert_2020100,74.2
01/10/2004,index_der_lohnnebenkosten_originalwert_2020100,79.0
01/01/2005,index_der_arbeitskosten_insgesamt_originalwert_2020100,66.7
01/01/2005,index_der_bruttoverdienste_originalwert_2020100,65.3
01/01/2005,index_der_lohnnebenkosten_originalwert_2020100,71.4
01/04/2005,index_der_arbeitskosten_insgesamt_originalwert_2020100,75.0
01/04/2005,index_der_bruttoverdienste_originalwert_2020100,74.1
01/04/2005,index_der_lohnnebenkosten_originalwert_2020100,78.1
01/07/2005,index_der_arbeitskosten_insgesamt_originalwert_2020100,67.4
01/07/2005,index_der_bruttoverdienste_originalwert_2020100,66.7
01/07/2005,index_der_lohnnebenkosten_originalwert_2020100,69.8
01/10/2005,index_der_arbeitskosten_insgesamt_originalwert_2020100,75.9
01/10/2005,index_der_bruttoverdienste_originalwert_2020100,75.5
01/10/2005,index_der_lohnnebenkosten_originalwert_2020100,77.3
01/01/2006,index_der_arbeitskosten_insgesamt_originalwert_2020100,66.3
01/01/2006,index_der_bruttoverdienste_originalwert_2020100,65.0
01/01/2006,index_der_lohnnebenkosten_originalwert_2020100,70.6
01/04/2006,index_der_arbeitskosten_insgesamt_originalwert_2020100,76.8
01/04/2006,index_der_bruttoverdienste_originalwert_2020100,76.7
01/04/2006,index_der_lohnnebenkosten_originalwert_2020100,77.2
01/07/2006,index_der_arbeitskosten_insgesamt_originalwert_2020100,68.6
01/07/2006,index_der_bruttoverdienste_originalwert_2020100,68.1
01/07/2006,index_der_lohnnebenkosten_originalwert_2020100,70.3
01/10/2006,index_der_arbeitskosten_insgesamt_originalwert_2020100,77.1
01/10/2006,index_der_bruttoverdienste_originalwert_2020100,76.8
01/10/2006,index_der_lohnnebenkosten_originalwert_2020100,78.1
01/01/2007,index_der_arbeitskosten_insgesamt_originalwert_2020100,66.7
01/01/2007,index_der_bruttoverdienste_originalwert_2020100,65.9
01/01/2007,index_der_lohnnebenkosten_originalwert_2020100,69.1
01/04/2007,index_der_arbeitskosten_insgesamt_originalwert_2020100,77.5
01/04/2007,index_der_bruttoverdienste_originalwert_2020100,78.1
01/04/2007,index_der_lohnnebenkosten_originalwert_2020100,75.4
01/07/2007,index_der_arbeitskosten_insgesamt_originalwert_2020100,69.1
01/07/2007,index_der_bruttoverdienste_originalwert_2020100,69.3
01/07/2007,index_der_lohnnebenkosten_originalwert_2020100,68.2
01/10/2007,index_der_arbeitskosten_insgesamt_originalwert_2020100,78.0
01/10/2007,index_der_bruttoverdienste_originalwert_2020100,78.7
01/10/2007,index_der_lohnnebenkosten_originalwert_2020100,75.6
01/01/2008,index_der_arbeitskosten_insgesamt_originalwert_2020100,69.3
01/01/2008,index_der_bruttoverdienste_originalwert_2020100,69.5
01/01/2008,index_der_lohnnebenkosten_originalwert_2020100,68.4
01/04/2008,index_der_arbeitskosten_insgesamt_originalwert_2020100,77.6
01/04/2008,index_der_bruttoverdienste_originalwert_2020100,78.5
01/04/2008,index_der_lohnnebenkosten_originalwert_2020100,74.4
01/07/2008,index_der_arbeitskosten_insgesamt_originalwert_2020100,70.4
01/07/2008,index_der_bruttoverdienste_originalwert_2020100,70.6
01/07/2008,index_der_lohnnebenkosten_originalwert_2020100,69.8
01/10/2008,index_der_arbeitskosten_insgesamt_originalwert_2020100,80.3
01/10/2008,index_der_bruttoverdienste_originalwert_2020100,81.1
01/10/2008,index_der_lohnnebenkosten_originalwert_2020100,77.4
01/01/2009,index_der_arbeitskosten_insgesamt_originalwert_2020100,71.2
01/01/2009,index_der_bruttoverdienste_originalwert_2020100,71.4
01/01/2009,index_der_lohnnebenkosten_originalwert_2020100,70.8
01/04/2009,index_der_arbeitskosten_insgesamt_originalwert_2020100,82.0
01/04/2009,index_der_bruttoverdienste_originalwert_2020100,82.9
01/04/2009,index_der_lohnnebenkosten_originalwert_2020100,79.0
01/07/2009,index_der_arbeitskosten_insgesamt_originalwert_2020100,72.5
01/07/2009,index_der_bruttoverdienste_originalwert_2020100,72.7
01/07/2009,index_der_lohnnebenkosten_originalwert_2020100,71.9
01/10/2009,index_der_arbeitskosten_insgesamt_originalwert_2020100,79.8
01/10/2009,index_der_bruttoverdienste_originalwert_2020100,80.3
01/10/2009,index_der_lohnnebenkosten_originalwert_2020100,77.9
01/01/2010,index_der_arbeitskosten_insgesamt_originalwert_2020100,72.1
01/01/2010,index_der_bruttoverdienste_originalwert_2020100,71.8
01/01/2010,index_der_lohnnebenkosten_originalwert_2020100,73.2
01/04/2010,index_der_arbeitskosten_insgesamt_originalwert_2020100,82.5
01/04/2010,index_der_bruttoverdienste_originalwert_2020100,82.9
01/04/2010,index_der_lohnnebenkosten_originalwert_2020100,81.1
01/07/2010,index_der_arbeitskosten_insgesamt_originalwert_2020100,73.1
01/07/2010,index_der_bruttoverdienste_originalwert_2020100,72.8
01/07/2010,index_der_lohnnebenkosten_originalwert_2020100,74.0
01/10/2010,index_der_arbeitskosten_insgesamt_originalwert_2020100,81.0
01/10/2010,index_der_bruttoverdienste_originalwert_2020100,81.1
01/10/2010,index_der_lohnnebenkosten_originalwert_2020100,80.4
01/01/2011,index_der_arbeitskosten_insgesamt_originalwert_2020100,73.1
01/01/2011,index_der_bruttoverdienste_originalwert_2020100,72.5
01/01/2011,index_der_lohnnebenkosten_originalwert_2020100,75.3
01/04/2011,index_der_arbeitskosten_insgesamt_originalwert_2020100,85.3
