arbeitskostenindex,produzierendes_gewerbe_und_dienstleistungsbereiche,index_der_arbeitskosten_insgesamt,col_4,col_5,col_6,col_7
Datum;Originalwert,2020=100;Originalwert,VeränderunggegenüberVorjahresquartalin%;Saison-undkalenderbereinigteWertenachX13JDemetra+,2020=100;Saison-undkalenderbereinigteWertenachX13JDemetra+,VeränderunggegenüberVorsquartalin%;KalenderbereinigteWertenachX13JDemetra+,2020=100;KalenderbereinigteWertenachX13JDemetra+,VeränderunggegenüberVorjahresquartalin%
01/07/1997;57,7;1,4;61,1;-0,1;57,6;1,4
01/10/1997;67,4;0,5;61,7;1,0;67,1;0,9
01/01/1998;56,7;-0,6;61,6;-0,2;56,5;0,7
01/04/1998;65,9;2,9;62,1;0,9;65,5;1,6
01/07/1998;59,0;2,3;62,6;0,7;59,0;2,4
01/10/1998;67,9;0,7;63,1;0,9;68,5;2,1
01/01/1999;57,9;2,0;62,8;-0,6;57,6;2,0
01/04/1999;67,4;2,3;63,9;1,8;67,4;2,9
01/07/1999;60,5;2,5;64,1;0,3;60,5;2,5
01/10/1999;68,9;1,6;64,4;0,5;69,8;1,9
01/01/2000;59,2;2,3;64,9;0,7;59,6;3,5
01/04/2000;69,3;2,8;65,2;0,5;68,8;2,2
01/07/2000;62,7;3,6;66,0;1,1;62,3;2,9
01/10/2000;72,1;4,6;66,3;0,5;71,6;2,6
01/01/2001;61,3;3,5;66,8;0,7;61,4;3,1
01/04/2001;71,2;2,8;67,0;0,3;70,8;2,8
01/07/2001;63,9;2,0;67,2;0,3;63,5;2,0
01/10/2001;73,7;2,2;67,9;1,0;73,1;2,1
01/01/2002;63,6;3,8;68,3;0,7;63,0;2,6
01/04/2002;72,4;1,6;68,4;0,2;72,4;2,2
01/07/2002;65,3;2,2;69,1;0,9;65,2;2,8
01/10/2002;75,1;2,0;69,4;0,5;74,5;2,0
01/01/2003;65,1;2,4;70,1;1,0;64,8;2,8
01/04/2003;74,9;3,5;70,3;0,3;74,4;2,9
01/07/2003;67,0;2,6;70,8;0,7;66,9;2,6
01/10/2003;75,9;1,1;70,6;-0,3;75,6;1,5
01/01/2004;65,8;1,1;71,1;0,7;65,8;1,6
01/04/2004;75,6;0,9;71,3;0,3;75,6;1,5
01/07/2004;67,2;0,3;71,1;-0,3;67,2;0,4
01/10/2004;75,3;-0,8;71,4;0,4;76,2;0,8
