date,indicator,value
01/03/2005,originalwert_in_1000,5266.1
01/03/2005,trendkonjunkturkomponente_bv_41_in_1000,4913.8
01/03/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.3
01/03/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,4954.2
01/03/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,0.1
01/04/2005,originalwert_in_1000,5052.4
01/04/2005,trendkonjunkturkomponente_bv_41_in_1000,4907.6
01/04/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.1
01/04/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,4920.5
01/04/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-0.7
01/05/2005,originalwert_in_1000,4884.2
01/05/2005,trendkonjunkturkomponente_bv_41_in_1000,4900.7
01/05/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.1
01/05/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,4912.1
01/05/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-0.2
01/06/2005,originalwert_in_1000,4780.6
01/06/2005,trendkonjunkturkomponente_bv_41_in_1000,4892.7
01/06/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.2
01/06/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,4897.1
01/06/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-0.3
01/07/2005,originalwert_in_1000,4836.7
01/07/2005,trendkonjunkturkomponente_bv_41_in_1000,4877.0
01/07/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.3
01/07/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,4893.8
01/07/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-0.1
01/08/2005,originalwert_in_1000,4797.6
01/08/2005,trendkonjunkturkomponente_bv_41_in_1000,4855.7
01/08/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.4
01/08/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,4835.1
01/08/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-1.2
01/09/2005,originalwert_in_1000,4646.5
01/09/2005,trendkonjunkturkomponente_bv_41_in_1000,4837.5
01/09/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.4
01/09/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,4785.2
01/09/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-1.0
01/10/2005,originalwert_in_1000,4555.1
01/10/2005,trendkonjunkturkomponente_bv_41_in_1000,4817.0
01/10/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.4
01/10/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,4770.9
01/10/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-0.3
01/11/2005,originalwert_in_1000,4531.4
01/11/2005,trendkonjunkturkomponente_bv_41_in_1000,4791.8
01/11/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.5
01/11/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,4759.5
01/11/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-0.2
01/12/2005,originalwert_in_1000,4605.2
01/12/2005,trendkonjunkturkomponente_bv_41_in_1000,4763.4
01/12/2005,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.6
01/12/2005,kalender_und_saisonbereinigte_werte_bv_41_in_1000,4741.8
01/12/2005,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-0.4
01/01/2006,originalwert_in_1000,5010.5
01/01/2006,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-1.5
01/01/2006,originalwert_in_1000_veraenderung_gegenueber_vorjahresmonat_absolut,-76.4
01/01/2006,trendkonjunkturkomponente_bv_41_in_1000,4733.0
01/01/2006,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.6
01/01/2006,kalender_und_saisonbereinigte_werte_bv_41_in_1000,4780.0
01/01/2006,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,0.8
01/02/2006,originalwert_in_1000,5047.5
01/02/2006,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-4.6
01/02/2006,originalwert_in_1000_veraenderung_gegenueber_vorjahresmonat_absolut,-240.8
01/02/2006,trendkonjunkturkomponente_bv_41_in_1000,4698.5
01/02/2006,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.7
01/02/2006,kalender_und_saisonbereinigte_werte_bv_41_in_1000,4743.3
01/02/2006,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-0.8
01/03/2006,originalwert_in_1000,4977.6
01/03/2006,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-5.5
01/03/2006,originalwert_in_1000_veraenderung_gegenueber_vorjahresmonat_absolut,-288.5
01/03/2006,trendkonjunkturkomponente_bv_41_in_1000,4661.3
01/03/2006,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.8
01/03/2006,kalender_und_saisonbereinigte_werte_bv_41_in_1000,4702.2
01/03/2006,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-0.9
01/04/2006,originalwert_in_1000,4790.7
01/04/2006,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-5.2
01/04/2006,originalwert_in_1000_veraenderung_gegenueber_vorjahresmonat_absolut,-261.8
01/04/2006,trendkonjunkturkomponente_bv_41_in_1000,4619.8
01/04/2006,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-0.9
01/04/2006,kalender_und_saisonbereinigte_werte_bv_41_in_1000,4674.4
01/04/2006,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-0.6
01/05/2006,originalwert_in_1000,4538.3
01/05/2006,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-7.1
01/05/2006,originalwert_in_1000_veraenderung_gegenueber_vorjahresmonat_absolut,-345.9
01/05/2006,trendkonjunkturkomponente_bv_41_in_1000,4572.4
01/05/2006,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-1.0
01/05/2006,kalender_und_saisonbereinigte_werte_bv_41_in_1000,4570.1
01/05/2006,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-2.2
01/06/2006,originalwert_in_1000,4398.8
01/06/2006,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-8.0
01/06/2006,originalwert_in_1000_veraenderung_gegenueber_vorjahresmonat_absolut,-381.9
01/06/2006,trendkonjunkturkomponente_bv_41_in_1000,4518.7
01/06/2006,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-1.2
01/06/2006,kalender_und_saisonbereinigte_werte_bv_41_in_1000,4513.5
01/06/2006,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-1.2
01/07/2006,originalwert_in_1000,4386.3
01/07/2006,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-9.3
01/07/2006,originalwert_in_1000_veraenderung_gegenueber_vorjahresmonat_absolut,-450.4
01/07/2006,trendkonjunkturkomponente_bv_41_in_1000,4459.7
01/07/2006,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-1.3
01/07/2006,kalender_und_saisonbereinigte_werte_bv_41_in_1000,4439.9
01/07/2006,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-1.6
01/08/2006,originalwert_in_1000,4372.0
01/08/2006,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-8.9
01/08/2006,originalwert_in_1000_veraenderung_gegenueber_vorjahresmonat_absolut,-425.6
01/08/2006,trendkonjunkturkomponente_bv_41_in_1000,4396.8
01/08/2006,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,-1.4
01/08/2006,kalender_und_saisonbereinigte_werte_bv_41_in_1000,4394.0
01/08/2006,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,-1.0
01/09/2006,originalwert_in_1000,4237.8
01/09/2006,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-8.8
