date,indicator,value
01/03/2005,insgesamt_in_1000,5266
01/03/2005,maenner_in_1000,2926
01/03/2005,frauen_in_1000,2340
01/03/2005,jugendliche_unter_20_jahren_in_1000,127
01/03/2005,langzeitarbeitslose_in_1000,1634
01/04/2005,insgesamt_in_1000,5052
01/04/2005,maenner_in_1000,2741
01/04/2005,frauen_in_1000,2311
01/04/2005,jugendliche_unter_20_jahren_in_1000,115
01/04/2005,langzeitarbeitslose_in_1000,1620
01/05/2005,insgesamt_in_1000,4884
01/05/2005,maenner_in_1000,2623
01/05/2005,frauen_in_1000,2261
01/05/2005,jugendliche_unter_20_jahren_in_1000,107
01/05/2005,langzeitarbeitslose_in_1000,1602
01/06/2005,insgesamt_in_1000,4781
01/06/2005,maenner_in_1000,2548
01/06/2005,frauen_in_1000,2233
01/06/2005,jugendliche_unter_20_jahren_in_1000,107
01/06/2005,langzeitarbeitslose_in_1000,1585
01/07/2005,insgesamt_in_1000,4837
01/07/2005,maenner_in_1000,2552
01/07/2005,frauen_in_1000,2285
01/07/2005,jugendliche_unter_20_jahren_in_1000,138
01/07/2005,langzeitarbeitslose_in_1000,1595
01/08/2005,insgesamt_in_1000,4798
01/08/2005,maenner_in_1000,2508
01/08/2005,frauen_in_1000,2289
01/08/2005,jugendliche_unter_20_jahren_in_1000,154
01/08/2005,langzeitarbeitslose_in_1000,1577
01/09/2005,insgesamt_in_1000,4647
01/09/2005,maenner_in_1000,2421
01/09/2005,frauen_in_1000,2226
01/09/2005,jugendliche_unter_20_jahren_in_1000,141
01/09/2005,langzeitarbeitslose_in_1000,1559
01/10/2005,insgesamt_in_1000,4555
01/10/2005,maenner_in_1000,2366
01/10/2005,frauen_in_1000,2189
01/10/2005,jugendliche_unter_20_jahren_in_1000,123
01/10/2005,langzeitarbeitslose_in_1000,1548
01/11/2005,insgesamt_in_1000,4531
01/11/2005,maenner_in_1000,2357
01/11/2005,frauen_in_1000,2173
01/11/2005,jugendliche_unter_20_jahren_in_1000,114
01/11/2005,langzeitarbeitslose_in_1000,1538
01/12/2005,insgesamt_in_1000,4605
01/12/2005,maenner_in_1000,2432
01/12/2005,frauen_in_1000,2172
01/12/2005,jugendliche_unter_20_jahren_in_1000,109
01/12/2005,langzeitarbeitslose_in_1000,1551
01/01/2006,insgesamt_in_1000,5010
01/01/2006,maenner_in_1000,2732
01/01/2006,frauen_in_1000,2278
01/01/2006,jugendliche_unter_20_jahren_in_1000,111
01/01/2006,langzeitarbeitslose_in_1000,1674
01/02/2006,insgesamt_in_1000,5047
01/02/2006,maenner_in_1000,2776
01/02/2006,frauen_in_1000,2271
01/02/2006,jugendliche_unter_20_jahren_in_1000,115
01/02/2006,langzeitarbeitslose_in_1000,1733
01/03/2006,insgesamt_in_1000,4978
01/03/2006,maenner_in_1000,2730
01/03/2006,frauen_in_1000,2248
01/03/2006,jugendliche_unter_20_jahren_in_1000,115
01/03/2006,langzeitarbeitslose_in_1000,1761
01/04/2006,insgesamt_in_1000,4791
01/04/2006,maenner_in_1000,2569
01/04/2006,frauen_in_1000,2222
01/04/2006,jugendliche_unter_20_jahren_in_1000,109
01/04/2006,langzeitarbeitslose_in_1000,1736
01/05/2006,insgesamt_in_1000,4538
01/05/2006,maenner_in_1000,2378
01/05/2006,frauen_in_1000,2160
01/05/2006,jugendliche_unter_20_jahren_in_1000,100
01/05/2006,langzeitarbeitslose_in_1000,1710
01/06/2006,insgesamt_in_1000,4399
01/06/2006,maenner_in_1000,2276
01/06/2006,frauen_in_1000,2123
01/06/2006,jugendliche_unter_20_jahren_in_1000,98
01/06/2006,langzeitarbeitslose_in_1000,1702
01/07/2006,insgesamt_in_1000,4386
01/07/2006,maenner_in_1000,2234
01/07/2006,frauen_in_1000,2152
01/07/2006,jugendliche_unter_20_jahren_in_1000,120
01/07/2006,langzeitarbeitslose_in_1000,1688
01/08/2006,insgesamt_in_1000,4372
01/08/2006,maenner_in_1000,2200
01/08/2006,frauen_in_1000,2172
01/08/2006,jugendliche_unter_20_jahren_in_1000,142
01/08/2006,langzeitarbeitslose_in_1000,1667
01/09/2006,insgesamt_in_1000,4238
01/09/2006,maenner_in_1000,2122
01/09/2006,frauen_in_1000,2116
01/09/2006,jugendliche_unter_20_jahren_in_1000,124
01/09/2006,langzeitarbeitslose_in_1000,1642
01/10/2006,insgesamt_in_1000,4084
01/10/2006,maenner_in_1000,2034
01/10/2006,frauen_in_1000,2050
01/10/2006,jugendliche_unter_20_jahren_in_1000,101
01/10/2006,langzeitarbeitslose_in_1000,1608
01/11/2006,insgesamt_in_1000,3996
01/11/2006,maenner_in_1000,1989
01/11/2006,frauen_in_1000,2007
01/11/2006,jugendliche_unter_20_jahren_in_1000,90
01/11/2006,langzeitarbeitslose_in_1000,1567
01/12/2006,insgesamt_in_1000,4008
01/12/2006,maenner_in_1000,2011
01/12/2006,frauen_in_1000,1997
01/12/2006,jugendliche_unter_20_jahren_in_1000,85
01/12/2006,langzeitarbeitslose_in_1000,1550
01/01/2007,insgesamt_in_1000,4262
01/01/2007,maenner_in_1000,2205
01/01/2007,frauen_in_1000,2057
01/01/2007,jugendliche_unter_20_jahren_in_1000,84
01/01/2007,langzeitarbeitslose_in_1000,1917
01/02/2007,insgesamt_in_1000,4226
01/02/2007,maenner_in_1000,2201
01/02/2007,frauen_in_1000,2025
01/02/2007,jugendliche_unter_20_jahren_in_1000,84
01/02/2007,langzeitarbeitslose_in_1000,1882
01/03/2007,insgesamt_in_1000,4105
01/03/2007,maenner_in_1000,2125
01/03/2007,frauen_in_1000,1980
01/03/2007,jugendliche_unter_20_jahren_in_1000,81
01/03/2007,langzeitarbeitslose_in_1000,1852
01/04/2007,insgesamt_in_1000,3958
01/04/2007,maenner_in_1000,2012
01/04/2007,frauen_in_1000,1946
01/04/2007,jugendliche_unter_20_jahren_in_1000,74
01/04/2007,langzeitarbeitslose_in_1000,1878
01/05/2007,insgesamt_in_1000,3796
01/05/2007,maenner_in_1000,1910
01/05/2007,frauen_in_1000,1886
01/05/2007,jugendliche_unter_20_jahren_in_1000,70
01/05/2007,langzeitarbeitslose_in_1000,1817
01/06/2007,insgesamt_in_1000,3673
01/06/2007,maenner_in_1000,1834
01/06/2007,frauen_in_1000,1839
01/06/2007,jugendliche_unter_20_jahren_in_1000,69
01/06/2007,langzeitarbeitslose_in_1000,1744
01/07/2007,insgesamt_in_1000,3701
01/07/2007,maenner_in_1000,1829
01/07/2007,frauen_in_1000,1872
01/07/2007,jugendliche_unter_20_jahren_in_1000,90
01/07/2007,langzeitarbeitslose_in_1000,1702
01/08/2007,insgesamt_in_1000,3692
01/08/2007,maenner_in_1000,1810
01/08/2007,frauen_in_1000,1882
01/08/2007,jugendliche_unter_20_jahren_in_1000,121
01/08/2007,langzeitarbeitslose_in_1000,1675
01/09/2007,insgesamt_in_1000,3531
01/09/2007,maenner_in_1000,1734
01/09/2007,frauen_in_1000,1797
01/09/2007,jugendliche_unter_20_jahren_in_1000,101
01/09/2007,langzeitarbeitslose_in_1000,1620
01/10/2007,insgesamt_in_1000,3421
01/10/2007,maenner_in_1000,1683
01/10/2007,frauen_in_1000,1738
01/10/2007,jugendliche_unter_20_jahren_in_1000,79
01/10/2007,langzeitarbeitslose_in_1000,1577
