date,indicator,value
01/03/2005,insgesamt_in_1000,3477
01/03/2005,maenner_in_1000,1938
01/03/2005,frauen_in_1000,1539
01/03/2005,jugendliche_unter_20_jahren_in_1000,92
01/03/2005,langzeitarbeitslose_in_1000,991
01/04/2005,insgesamt_in_1000,3339
01/04/2005,maenner_in_1000,1816
01/04/2005,frauen_in_1000,1523
01/04/2005,jugendliche_unter_20_jahren_in_1000,81
01/04/2005,langzeitarbeitslose_in_1000,990
01/05/2005,insgesamt_in_1000,3242
01/05/2005,maenner_in_1000,1746
01/05/2005,frauen_in_1000,1496
01/05/2005,jugendliche_unter_20_jahren_in_1000,76
01/05/2005,langzeitarbeitslose_in_1000,986
01/06/2005,insgesamt_in_1000,3188
01/06/2005,maenner_in_1000,1705
01/06/2005,frauen_in_1000,1483
01/06/2005,jugendliche_unter_20_jahren_in_1000,75
01/06/2005,langzeitarbeitslose_in_1000,982
01/07/2005,insgesamt_in_1000,3240
01/07/2005,maenner_in_1000,1717
01/07/2005,frauen_in_1000,1523
01/07/2005,jugendliche_unter_20_jahren_in_1000,90
01/07/2005,langzeitarbeitslose_in_1000,996
01/08/2005,insgesamt_in_1000,3238
01/08/2005,maenner_in_1000,1702
01/08/2005,frauen_in_1000,1536
01/08/2005,jugendliche_unter_20_jahren_in_1000,101
01/08/2005,langzeitarbeitslose_in_1000,993
01/09/2005,insgesamt_in_1000,3141
01/09/2005,maenner_in_1000,1644
01/09/2005,frauen_in_1000,1496
01/09/2005,jugendliche_unter_20_jahren_in_1000,93
01/09/2005,langzeitarbeitslose_in_1000,990
01/10/2005,insgesamt_in_1000,3099
01/10/2005,maenner_in_1000,1619
01/10/2005,frauen_in_1000,1479
01/10/2005,jugendliche_unter_20_jahren_in_1000,84
01/10/2005,langzeitarbeitslose_in_1000,993
01/11/2005,insgesamt_in_1000,3081
01/11/2005,maenner_in_1000,1612
01/11/2005,frauen_in_1000,1468
01/11/2005,jugendliche_unter_20_jahren_in_1000,80
01/11/2005,langzeitarbeitslose_in_1000,992
01/12/2005,insgesamt_in_1000,3120
01/12/2005,maenner_in_1000,1653
01/12/2005,frauen_in_1000,1465
01/12/2005,jugendliche_unter_20_jahren_in_1000,77
01/12/2005,langzeitarbeitslose_in_1000,1003
01/01/2006,insgesamt_in_1000,3362
01/01/2006,maenner_in_1000,1834
01/01/2006,frauen_in_1000,1529
01/01/2006,jugendliche_unter_20_jahren_in_1000,79
01/01/2006,langzeitarbeitslose_in_1000,1096
01/02/2006,insgesamt_in_1000,3370
01/02/2006,maenner_in_1000,1851
01/02/2006,frauen_in_1000,1519
01/02/2006,jugendliche_unter_20_jahren_in_1000,82
01/02/2006,langzeitarbeitslose_in_1000,1153
01/03/2006,insgesamt_in_1000,3318
01/03/2006,maenner_in_1000,1815
01/03/2006,frauen_in_1000,1503
01/03/2006,jugendliche_unter_20_jahren_in_1000,83
01/03/2006,langzeitarbeitslose_in_1000,1180
01/04/2006,insgesamt_in_1000,3202
01/04/2006,maenner_in_1000,1712
01/04/2006,frauen_in_1000,1489
01/04/2006,jugendliche_unter_20_jahren_in_1000,78
01/04/2006,langzeitarbeitslose_in_1000,1164
01/05/2006,insgesamt_in_1000,3049
01/05/2006,maenner_in_1000,1597
01/05/2006,frauen_in_1000,1452
01/05/2006,jugendliche_unter_20_jahren_in_1000,72
01/05/2006,langzeitarbeitslose_in_1000,1153
01/06/2006,insgesamt_in_1000,2966
01/06/2006,maenner_in_1000,1536
01/06/2006,frauen_in_1000,1430
01/06/2006,jugendliche_unter_20_jahren_in_1000,71
01/06/2006,langzeitarbeitslose_in_1000,1152
01/07/2006,insgesamt_in_1000,2960
01/07/2006,maenner_in_1000,1511
01/07/2006,frauen_in_1000,1449
01/07/2006,jugendliche_unter_20_jahren_in_1000,83
01/07/2006,langzeitarbeitslose_in_1000,1141
01/08/2006,insgesamt_in_1000,2941
01/08/2006,maenner_in_1000,1484
01/08/2006,frauen_in_1000,1458
01/08/2006,jugendliche_unter_20_jahren_in_1000,95
01/08/2006,langzeitarbeitslose_in_1000,1125
01/09/2006,insgesamt_in_1000,2835
01/09/2006,maenner_in_1000,1423
01/09/2006,frauen_in_1000,1413
01/09/2006,jugendliche_unter_20_jahren_in_1000,82
01/09/2006,langzeitarbeitslose_in_1000,1105
01/10/2006,insgesamt_in_1000,2738
01/10/2006,maenner_in_1000,1368
01/10/2006,frauen_in_1000,1371
01/10/2006,jugendliche_unter_20_jahren_in_1000,69
01/10/2006,langzeitarbeitslose_in_1000,1083
01/11/2006,insgesamt_in_1000,2673
01/11/2006,maenner_in_1000,1334
01/11/2006,frauen_in_1000,1339
01/11/2006,jugendliche_unter_20_jahren_in_1000,62
01/11/2006,langzeitarbeitslose_in_1000,1052
01/12/2006,insgesamt_in_1000,2670
01/12/2006,maenner_in_1000,1340
01/12/2006,frauen_in_1000,1331
01/12/2006,jugendliche_unter_20_jahren_in_1000,59
01/12/2006,langzeitarbeitslose_in_1000,1034
01/01/2007,insgesamt_in_1000,2816
01/01/2007,maenner_in_1000,1451
01/01/2007,frauen_in_1000,1365
01/01/2007,jugendliche_unter_20_jahren_in_1000,58
01/01/2007,langzeitarbeitslose_in_1000,1277
01/02/2007,insgesamt_in_1000,2784
01/02/2007,maenner_in_1000,1444
01/02/2007,frauen_in_1000,1341
01/02/2007,jugendliche_unter_20_jahren_in_1000,59
01/02/2007,langzeitarbeitslose_in_1000,1245
01/03/2007,insgesamt_in_1000,2696
01/03/2007,maenner_in_1000,1388
01/03/2007,frauen_in_1000,1308
01/03/2007,jugendliche_unter_20_jahren_in_1000,57
01/03/2007,langzeitarbeitslose_in_1000,1232
01/04/2007,insgesamt_in_1000,2600
01/04/2007,maenner_in_1000,1313
01/04/2007,frauen_in_1000,1287
01/04/2007,jugendliche_unter_20_jahren_in_1000,52
01/04/2007,langzeitarbeitslose_in_1000,1244
01/05/2007,insgesamt_in_1000,2493
01/05/2007,maenner_in_1000,1247
01/05/2007,frauen_in_1000,1246
01/05/2007,jugendliche_unter_20_jahren_in_1000,50
01/05/2007,langzeitarbeitslose_in_1000,1196
01/06/2007,insgesamt_in_1000,2418
01/06/2007,maenner_in_1000,1201
01/06/2007,frauen_in_1000,1217
01/06/2007,jugendliche_unter_20_jahren_in_1000,49
01/06/2007,langzeitarbeitslose_in_1000,1145
01/07/2007,insgesamt_in_1000,2441
01/07/2007,maenner_in_1000,1201
01/07/2007,frauen_in_1000,1239
01/07/2007,jugendliche_unter_20_jahren_in_1000,63
01/07/2007,langzeitarbeitslose_in_1000,1113
01/08/2007,insgesamt_in_1000,2435
01/08/2007,maenner_in_1000,1189
01/08/2007,frauen_in_1000,1246
01/08/2007,jugendliche_unter_20_jahren_in_1000,81
01/08/2007,langzeitarbeitslose_in_1000,1099
01/09/2007,insgesamt_in_1000,2326
01/09/2007,maenner_in_1000,1138
01/09/2007,frauen_in_1000,1189
01/09/2007,jugendliche_unter_20_jahren_in_1000,67
01/09/2007,langzeitarbeitslose_in_1000,1067
01/10/2007,insgesamt_in_1000,2257
01/10/2007,maenner_in_1000,1107
01/10/2007,frauen_in_1000,1150
01/10/2007,jugendliche_unter_20_jahren_in_1000,54
01/10/2007,langzeitarbeitslose_in_1000,1037
01/11/2007,insgesamt_in_1000,2217
01/11/2007,maenner_in_1000,1095
01/11/2007,frauen_in_1000,1122
01/11/2007,jugendliche_unter_20_jahren_in_1000,50
01/11/2007,langzeitarbeitslose_in_1000,998
01/12/2007,insgesamt_in_1000,2223
01/12/2007,maenner_in_1000,1117
01/12/2007,frauen_in_1000,1106
01/12/2007,jugendliche_unter_20_jahren_in_1000,48
01/12/2007,langzeitarbeitslose_in_1000,963
01/01/2008,insgesamt_in_1000,2376
01/01/2008,maenner_in_1000,1231
01/01/2008,frauen_in_1000,1145
01/01/2008,jugendliche_unter_20_jahren_in_1000,49
01/01/2008,langzeitarbeitslose_in_1000,969
01/02/2008,insgesamt_in_1000,2340
01/02/2008,maenner_in_1000,1218
01/02/2008,frauen_in_1000,1122
01/02/2008,jugendliche_unter_20_jahren_in_1000,49
01/02/2008,langzeitarbeitslose_in_1000,947
01/03/2008,insgesamt_in_1000,2265
01/03/2008,maenner_in_1000,1171
01/03/2008,frauen_in_1000,1094
01/03/2008,jugendliche_unter_20_jahren_in_1000,46
01/03/2008,langzeitarbeitslose_in_1000,925
01/04/2008,insgesamt_in_1000,2210
01/04/2008,maenner_in_1000,1128
01/04/2008,frauen_in_1000,1082
01/04/2008,jugendliche_unter_20_jahren_in_1000,42
01/04/2008,langzeitarbeitslose_in_1000,916
01/05/2008,insgesamt_in_1000,2134
01/05/2008,maenner_in_1000,1080
01/05/2008,frauen_in_1000,1053
01/05/2008,jugendliche_unter_20_jahren_in_1000,40
01/05/2008,langzeitarbeitslose_in_1000,893
01/06/2008,insgesamt_in_1000,2068
01/06/2008,maenner_in_1000,1039
01/06/2008,frauen_in_1000,1029
01/06/2008,jugendliche_unter_20_jahren_in_1000,39
01/06/2008,langzeitarbeitslose_in_1000,866
01/07/2008,insgesamt_in_1000,2115
01/07/2008,maenner_in_1000,1052
01/07/2008,frauen_in_1000,1062
01/07/2008,jugendliche_unter_20_jahren_in_1000,52
01/07/2008,langzeitarbeitslose_in_1000,858
01/08/2008,insgesamt_in_1000,2104
01/08/2008,maenner_in_1000,1042
01/08/2008,frauen_in_1000,1062
01/08/2008,jugendliche_unter_20_jahren_in_1000,61
01/08/2008,langzeitarbeitslose_in_1000,844
01/09/2008,insgesamt_in_1000,2037
01/09/2008,maenner_in_1000,1010
01/09/2008,frauen_in_1000,1026
01/09/2008,jugendliche_unter_20_jahren_in_1000,52
01/09/2008,langzeitarbeitslose_in_1000,822
01/10/2008,insgesamt_in_1000,1985
01/10/2008,maenner_in_1000,991
01/10/2008,frauen_in_1000,994
01/10/2008,jugendliche_unter_20_jahren_in_1000,42
01/10/2008,langzeitarbeitslose_in_1000,804
01/11/2008,insgesamt_in_1000,1980
01/11/2008,maenner_in_1000,1002
01/11/2008,frauen_in_1000,978
01/11/2008,jugendliche_unter_20_jahren_in_1000,39
01/11/2008,langzeitarbeitslose_in_1000,783
01/12/2008,insgesamt_in_1000,2054
01/12/2008,maenner_in_1000,1068
01/12/2008,frauen_in_1000,985
01/12/2008,jugendliche_unter_20_jahren_in_1000,40
01/12/2008,langzeitarbeitslose_in_1000,766
01/01/2009,insgesamt_in_1000,2301
01/01/2009,maenner_in_1000,1248
01/01/2009,frauen_in_1000,1053
01/01/2009,jugendliche_unter_20_jahren_in_1000,43
01/01/2009,langzeitarbeitslose_in_1000,784
01/02/2009,insgesamt_in_1000,2341
01/02/2009,maenner_in_1000,1288
01/02/2009,frauen_in_1000,1054
01/02/2009,jugendliche_unter_20_jahren_in_1000,46
01/02/2009,langzeitarbeitslose_in_1000,772
01/03/2009,insgesamt_in_1000,2372
01/03/2009,maenner_in_1000,1313
01/03/2009,frauen_in_1000,1059
01/03/2009,jugendliche_unter_20_jahren_in_1000,47
01/03/2009,langzeitarbeitslose_in_1000,769
01/04/2009,insgesamt_in_1000,2393
01/04/2009,maenner_in_1000,1314
01/04/2009,frauen_in_1000,1078
01/04/2009,jugendliche_unter_20_jahren_in_1000,44
