date,indicator,value
01/03/2005,insgesamt_in_1000,1789
01/03/2005,maenner_in_1000,988
01/03/2005,frauen_in_1000,800
01/03/2005,jugendliche_unter_20_jahren_in_1000,36
01/03/2005,langzeitarbeitslose_in_1000,643
01/04/2005,insgesamt_in_1000,1713
01/04/2005,maenner_in_1000,925
01/04/2005,frauen_in_1000,788
01/04/2005,jugendliche_unter_20_jahren_in_1000,34
01/04/2005,langzeitarbeitslose_in_1000,630
01/05/2005,insgesamt_in_1000,1643
01/05/2005,maenner_in_1000,878
01/05/2005,frauen_in_1000,765
01/05/2005,jugendliche_unter_20_jahren_in_1000,31
01/05/2005,langzeitarbeitslose_in_1000,616
01/06/2005,insgesamt_in_1000,1592
01/06/2005,maenner_in_1000,843
01/06/2005,frauen_in_1000,750
01/06/2005,jugendliche_unter_20_jahren_in_1000,32
01/06/2005,langzeitarbeitslose_in_1000,603
01/07/2005,insgesamt_in_1000,1597
01/07/2005,maenner_in_1000,834
01/07/2005,frauen_in_1000,762
01/07/2005,jugendliche_unter_20_jahren_in_1000,48
01/07/2005,langzeitarbeitslose_in_1000,600
01/08/2005,insgesamt_in_1000,1560
01/08/2005,maenner_in_1000,806
01/08/2005,frauen_in_1000,753
01/08/2005,jugendliche_unter_20_jahren_in_1000,53
01/08/2005,langzeitarbeitslose_in_1000,584
01/09/2005,insgesamt_in_1000,1506
01/09/2005,maenner_in_1000,776
01/09/2005,frauen_in_1000,730
01/09/2005,jugendliche_unter_20_jahren_in_1000,49
01/09/2005,langzeitarbeitslose_in_1000,569
01/10/2005,insgesamt_in_1000,1456
01/10/2005,maenner_in_1000,747
01/10/2005,frauen_in_1000,710
01/10/2005,jugendliche_unter_20_jahren_in_1000,38
01/10/2005,langzeitarbeitslose_in_1000,555
01/11/2005,insgesamt_in_1000,1450
01/11/2005,maenner_in_1000,745
01/11/2005,frauen_in_1000,705
01/11/2005,jugendliche_unter_20_jahren_in_1000,34
01/11/2005,langzeitarbeitslose_in_1000,547
01/12/2005,insgesamt_in_1000,1485
01/12/2005,maenner_in_1000,778
01/12/2005,frauen_in_1000,707
01/12/2005,jugendliche_unter_20_jahren_in_1000,32
01/12/2005,langzeitarbeitslose_in_1000,548
01/01/2006,insgesamt_in_1000,1648
01/01/2006,maenner_in_1000,898
01/01/2006,frauen_in_1000,750
01/01/2006,jugendliche_unter_20_jahren_in_1000,32
01/01/2006,langzeitarbeitslose_in_1000,577
01/02/2006,insgesamt_in_1000,1677
01/02/2006,maenner_in_1000,925
01/02/2006,frauen_in_1000,752
01/02/2006,jugendliche_unter_20_jahren_in_1000,33
01/02/2006,langzeitarbeitslose_in_1000,580
01/03/2006,insgesamt_in_1000,1659
01/03/2006,maenner_in_1000,915
01/03/2006,frauen_in_1000,745
01/03/2006,jugendliche_unter_20_jahren_in_1000,32
01/03/2006,langzeitarbeitslose_in_1000,581
01/04/2006,insgesamt_in_1000,1589
01/04/2006,maenner_in_1000,856
01/04/2006,frauen_in_1000,733
01/04/2006,jugendliche_unter_20_jahren_in_1000,30
01/04/2006,langzeitarbeitslose_in_1000,572
01/05/2006,insgesamt_in_1000,1490
01/05/2006,maenner_in_1000,781
01/05/2006,frauen_in_1000,708
01/05/2006,jugendliche_unter_20_jahren_in_1000,28
01/05/2006,langzeitarbeitslose_in_1000,557
01/06/2006,insgesamt_in_1000,1432
01/06/2006,maenner_in_1000,739
01/06/2006,frauen_in_1000,693
01/06/2006,jugendliche_unter_20_jahren_in_1000,27
01/06/2006,langzeitarbeitslose_in_1000,550
01/07/2006,insgesamt_in_1000,1426
01/07/2006,maenner_in_1000,723
01/07/2006,frauen_in_1000,703
01/07/2006,jugendliche_unter_20_jahren_in_1000,37
01/07/2006,langzeitarbeitslose_in_1000,547
01/08/2006,insgesamt_in_1000,1431
01/08/2006,maenner_in_1000,716
01/08/2006,frauen_in_1000,714
01/08/2006,jugendliche_unter_20_jahren_in_1000,47
01/08/2006,langzeitarbeitslose_in_1000,542
01/09/2006,insgesamt_in_1000,1402
01/09/2006,maenner_in_1000,699
01/09/2006,frauen_in_1000,704
01/09/2006,jugendliche_unter_20_jahren_in_1000,41
01/09/2006,langzeitarbeitslose_in_1000,536
01/10/2006,insgesamt_in_1000,1346
01/10/2006,maenner_in_1000,667
01/10/2006,frauen_in_1000,680
01/10/2006,jugendliche_unter_20_jahren_in_1000,32
01/10/2006,langzeitarbeitslose_in_1000,525
