date,indicator,value
01/03/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,20.7
01/03/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,21.7
01/03/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,19.5
01/03/2005,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,22.6
01/04/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,19.8
01/04/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,20.4
01/04/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,19.2
01/04/2005,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,21.6
01/05/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,19.0
01/05/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,19.3
01/05/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,18.6
01/05/2005,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,20.7
01/06/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,18.5
01/06/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,18.7
01/06/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,18.4
01/06/2005,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,20.4
01/07/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,18.6
01/07/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,18.5
01/07/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,18.7
01/07/2005,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,20.4
01/08/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,18.1
01/08/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,17.9
01/08/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,18.4
01/08/2005,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,20.0
01/09/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,17.5
01/09/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,17.2
01/09/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,17.9
01/09/2005,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,19.3
01/10/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,16.9
01/10/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,16.6
01/10/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,17.4
01/10/2005,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,18.7
01/11/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,16.9
01/11/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,16.5
01/11/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,17.3
01/11/2005,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,18.6
01/12/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,17.3
01/12/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,17.2
01/12/2005,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,17.3
01/12/2005,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,19.0
01/01/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,19.2
01/01/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,19.9
01/01/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,18.4
01/01/2006,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,21.1
01/02/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,19.5
01/02/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,20.5
01/02/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,18.4
01/02/2006,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,21.5
01/03/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,19.3
01/03/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,20.3
01/03/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,18.2
01/03/2006,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,21.3
01/04/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,18.5
01/04/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,19.0
01/04/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,17.9
01/04/2006,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,20.3
01/05/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,17.4
01/05/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,17.4
01/05/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,17.5
01/05/2006,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,19.4
01/06/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,16.8
01/06/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,16.5
01/06/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,17.1
01/06/2006,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,18.7
01/07/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,16.7
01/07/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,16.1
01/07/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,17.3
01/07/2006,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,18.6
01/08/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,16.7
01/08/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,15.9
01/08/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,17.6
01/08/2006,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,18.6
01/09/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,16.4
01/09/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,15.5
01/09/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,17.4
01/09/2006,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,18.3
01/10/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,15.8
01/10/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,14.8
01/10/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,16.8
01/10/2006,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,17.5
01/11/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,15.5
01/11/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,14.6
01/11/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,16.5
01/11/2006,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,17.2
01/12/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,15.7
01/12/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,14.9
01/12/2006,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,16.4
01/12/2006,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,17.4
01/01/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,16.9
01/01/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,16.8
01/01/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,17.1
01/01/2007,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,18.8
01/02/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,16.9
01/02/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,16.9
01/02/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,16.9
01/02/2007,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,18.8
01/03/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,16.5
01/03/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,16.4
01/03/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,16.6
01/03/2007,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,18.4
01/04/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,15.9
01/04/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,15.6
01/04/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,16.3
01/04/2007,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,17.7
01/05/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,15.2
01/05/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,14.7
01/05/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,15.7
01/05/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_jugendliche_unter_20_jahren_in_,7.0
01/05/2007,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,16.9
01/06/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,14.6
01/06/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,14.0
01/06/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,15.3
01/06/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_jugendliche_unter_20_jahren_in_,6.7
01/06/2007,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,16.3
01/07/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,14.7
01/07/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,13.9
01/07/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,15.5
01/07/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_jugendliche_unter_20_jahren_in_,9.3
01/07/2007,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,16.3
01/08/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,14.6
01/08/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,13.8
01/08/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,15.6
01/08/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_jugendliche_unter_20_jahren_in_,13.6
01/08/2007,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,16.3
01/09/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,14.0
01/09/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,13.2
01/09/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,14.9
01/09/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_jugendliche_unter_20_jahren_in_,11.2
01/09/2007,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,15.6
01/10/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,13.6
01/10/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,12.8
01/10/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,14.4
01/10/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_jugendliche_unter_20_jahren_in_,8.4
01/10/2007,arbeitslosenquote_aller_abhaengig_zivilen_erwerbspersonen_in_,15.1
01/11/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_insgesamt_in_,13.4
01/11/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_maenner_in_,12.7
01/11/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_frauen_in_,14.1
01/11/2007,arbeitslosenquote_aller_zivilen_erwerbspersonen_jugendliche_unter_20_jahren_in_,7.3
