datum,originalwert_2021100,originalwert_vernderung_gegenber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_2021100,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vormonat_in_,kalender_und_saisonbereinigte_werte_bv_41_2021100,kalender_und_saisonbereinigte_werte_bv_41_vernderung_gegenber_vormonat_in_,restkomponente_bv_41
01/03/1997,130.1,,120.2,-0.3,119.3,-1.1,-0.9
01/04/1997,116.8,,119.6,-0.5,114.9,-3.7,-4.7
01/05/1997,125.1,,119.1,-0.4,121.9,6.1,2.7
01/06/1997,138.3,,118.6,-0.4,118.2,-3.0,-0.4
01/07/1997,124.2,,118.4,-0.2,115.6,-2.2,-2.8
01/08/1997,117.7,,118.4,-0.0,118.5,2.5,0.1
01/09/1997,133.2,,118.2,-0.2,119.4,0.8,1.3
01/10/1997,118.8,,117.9,-0.2,122.4,2.4,4.5
01/11/1997,97.6,,117.6,-0.3,114.9,-6.1,-2.6
01/12/1997,117.1,,117.3,-0.3,120.9,5.2,3.7
01/01/1998,86.3,-10.1,117.0,-0.2,115.6,-4.5,-1.4
01/02/1998,103.2,-3.6,116.8,-0.2,116.6,0.9,-0.2
01/03/1998,133.7,2.8,116.5,-0.2,116.3,-0.3,-0.3
01/04/1998,117.0,0.2,116.2,-0.3,117.4,1.0,1.2
01/05/1998,118.7,-5.1,115.9,-0.3,113.5,-3.3,-2.3
01/06/1998,132.5,-4.2,115.7,-0.2,113.7,0.2,-2.0
01/07/1998,126.8,2.1,115.7,0.0,117.7,3.5,2.0
01/08/1998,112.7,-4.2,115.8,0.1,115.7,-1.7,-0.1
01/09/1998,129.6,-2.7,115.9,0.1,115.4,-0.3,-0.5
01/10/1998,109.4,-7.9,116.2,0.3,112.3,-2.7,-4.0
01/11/1998,103.1,5.6,116.8,0.4,118.6,5.6,1.8
01/12/1998,113.0,-3.5,117.2,0.4,117.0,-1.3,-0.1
01/01/1999,88.5,2.5,117.5,0.3,117.3,0.2,-0.2
01/02/1999,104.7,1.5,117.7,0.2,119.8,2.1,2.0
01/03/1999,135.3,1.2,117.7,-0.1,117.3,-2.1,-0.4
01/04/1999,120.0,2.6,117.4,-0.3,117.6,0.3,0.2
01/05/1999,123.9,4.4,116.9,-0.4,116.6,-0.8,-0.3
01/06/1999,141.1,6.5,116.3,-0.6,120.0,2.9,3.7
01/07/1999,121.4,-4.3,115.4,-0.7,114.8,-4.3,-0.6
01/08/1999,114.1,1.2,114.4,-0.9,115.7,0.8,1.4
01/09/1999,125.9,-2.9,113.3,-1.0,112.8,-2.5,-0.5
01/10/1999,112.5,2.8,112.0,-1.1,115.0,1.9,3.0
01/11/1999,95.2,-7.7,110.5,-1.4,109.4,-4.8,-1.0
01/12/1999,100.3,-11.2,108.9,-1.4,104.8,-4.2,-4.1
01/01/2000,82.6,-6.7,107.6,-1.2,107.3,2.4,-0.3
01/02/2000,90.3,-13.8,106.5,-1.1,104.6,-2.5,-1.9
01/03/2000,127.6,-5.7,105.4,-1.0,108.2,3.5,2.9
01/04/2000,104.7,-12.7,104.4,-0.9,104.0,-3.9,-0.4
01/05/2000,119.6,-3.5,103.5,-0.9,105.4,1.3,1.9
01/06/2000,117.1,-17.0,102.7,-0.7,98.7,-6.3,-4.0
01/07/2000,106.0,-12.7,102.1,-0.6,103.2,4.6,1.2
01/08/2000,96.6,-15.3,101.7,-0.4,98.6,-4.5,-3.1
01/09/2000,114.6,-9.0,101.3,-0.4,103.3,4.8,2.0
01/10/2000,94.6,-15.9,101.0,-0.4,99.1,-4.0,-1.8
01/11/2000,88.1,-7.5,100.6,-0.3,101.0,1.8,0.3
