date,indicator,value
01/03/1997,originalwert_2021100,130.1
01/03/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,121.1
01/03/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-4.0
01/04/1997,originalwert_2021100,116.8
01/04/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,112.0
01/04/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-7.5
01/05/1997,originalwert_2021100,125.1
01/05/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,123.5
01/05/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,10.3
01/06/1997,originalwert_2021100,138.3
01/06/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,117.1
01/06/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-5.2
01/07/1997,originalwert_2021100,124.2
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,117.2
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.1
01/08/1997,originalwert_2021100,117.7
01/08/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,121.5
01/08/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,3.7
01/09/1997,originalwert_2021100,133.2
01/09/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,118.8
01/09/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-2.2
01/10/1997,originalwert_2021100,118.8
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,119.4
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.5
01/11/1997,originalwert_2021100,97.6
01/11/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,110.8
01/11/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-7.2
01/12/1997,originalwert_2021100,117.1
01/12/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,118.1
01/12/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,6.6
01/01/1998,originalwert_2021100,86.3
01/01/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-10.1
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,112.4
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-4.8
01/02/1998,originalwert_2021100,103.2
01/02/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-3.6
01/02/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,121.5
01/02/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,8.1
01/03/1998,originalwert_2021100,133.7
01/03/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,2.8
01/03/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,117.4
01/03/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-3.4
01/04/1998,originalwert_2021100,117.0
01/04/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,0.2
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,116.2
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-1.0
01/05/1998,originalwert_2021100,118.7
01/05/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-5.1
01/05/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,115.1
01/05/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-0.9
01/06/1998,originalwert_2021100,132.5
01/06/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-4.2
01/06/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,113.6
01/06/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-1.3
01/07/1998,originalwert_2021100,126.8
01/07/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,2.1
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,119.1
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,4.8
01/08/1998,originalwert_2021100,112.7
01/08/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-4.2
01/08/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,115.3
01/08/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-3.2
01/09/1998,originalwert_2021100,129.6
01/09/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-2.7
01/09/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,114.4
01/09/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-0.8
01/10/1998,originalwert_2021100,109.4
01/10/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-7.9
01/10/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,110.5
01/10/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-3.4
01/11/1998,originalwert_2021100,103.1
01/11/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,5.6
01/11/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,115.7
01/11/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,4.7
01/12/1998,originalwert_2021100,113.0
01/12/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-3.5
01/12/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,113.9
01/12/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-1.6
01/01/1999,originalwert_2021100,88.5
01/01/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,2.5
01/01/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,118.3
01/01/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,3.9
01/02/1999,originalwert_2021100,104.7
01/02/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.5
01/02/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,123.7
01/02/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,4.6
01/03/1999,originalwert_2021100,135.3
01/03/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.2
01/03/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,116.7
01/03/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-5.7
01/04/1999,originalwert_2021100,120.0
01/04/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,2.6
01/04/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,118.7
01/04/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,1.7
01/05/1999,originalwert_2021100,123.9
01/05/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,4.4
01/05/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,119.8
01/05/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.9
01/06/1999,originalwert_2021100,141.1
01/06/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,6.5
01/06/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,118.4
01/06/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-1.2
01/07/1999,originalwert_2021100,121.4
01/07/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-4.3
01/07/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,116.2
01/07/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-1.9
01/08/1999,originalwert_2021100,114.1
01/08/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.2
01/08/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,114.0
