datum,originalwert_2021100,originalwert_vernderung_gegenber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_2021100,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vormonat_in_,kalender_und_saisonbereinigte_werte_bv_41_2021100,kalender_und_saisonbereinigte_werte_bv_41_vernderung_gegenber_vormonat_in_,restkomponente_bv_41
01/03/1997,97.2,,98.4,-1.0,95.1,-11.6,-3.2
01/04/1997,104.9,,97.5,-0.9,97.5,2.5,-0.0
01/05/1997,98.1,,96.7,-0.8,96.3,-1.2,-0.4
01/06/1997,125.5,,96.1,-0.7,99.9,3.7,3.8
01/07/1997,110.0,,95.6,-0.6,93.0,-6.9,-2.6
01/08/1997,103.7,,95.6,0.1,99.1,6.5,3.4
01/09/1997,119.6,,96.1,0.5,90.4,-8.7,-5.7
01/10/1997,104.0,,96.7,0.7,96.2,6.5,-0.5
01/11/1997,83.4,,97.5,0.8,97.2,1.0,-0.4
01/12/1997,83.0,,98.5,1.0,102.1,5.0,3.6
01/01/1998,61.8,1.3,99.6,1.1,99.0,-3.0,-0.6
01/02/1998,69.9,-15.3,100.8,1.2,98.1,-0.9,-2.7
01/03/1998,112.3,15.5,102.1,1.2,106.3,8.4,4.2
01/04/1998,106.8,1.8,103.2,1.1,103.3,-2.8,0.1
01/05/1998,105.2,7.2,104.2,0.9,102.1,-1.1,-2.0
01/06/1998,128.9,2.7,105.0,0.8,105.8,3.6,0.7
01/07/1998,125.7,14.3,105.7,0.6,106.9,1.1,1.3
01/08/1998,107.2,3.4,106.3,0.6,102.4,-4.2,-3.8
01/09/1998,143.5,20.0,106.7,0.4,113.3,10.6,6.7
01/10/1998,115.0,10.6,106.9,0.2,109.0,-3.8,2.1
01/11/1998,94.4,13.2,106.7,-0.2,109.4,0.4,2.8
01/12/1998,84.3,1.6,106.3,-0.3,102.1,-6.7,-4.2
01/01/1999,67.4,9.1,105.8,-0.5,106.0,3.8,0.2
01/02/1999,77.0,10.2,105.2,-0.6,104.7,-1.2,-0.4
01/03/1999,110.3,-1.8,104.4,-0.7,100.2,-4.4,-4.2
01/04/1999,107.0,0.2,103.7,-0.7,103.2,3.0,-0.5
01/05/1999,110.5,5.0,103.1,-0.5,105.5,2.2,2.4
01/06/1999,123.8,-4.0,102.6,-0.5,101.4,-3.9,-1.2
01/07/1999,120.8,-3.9,102.1,-0.5,104.0,2.6,1.9
01/08/1999,112.2,4.7,101.7,-0.3,105.6,1.6,3.9
01/09/1999,123.7,-13.8,101.2,-0.5,99.8,-5.5,-1.4
01/10/1999,102.2,-11.1,100.5,-0.6,97.9,-1.9,-2.7
01/11/1999,81.3,-13.9,99.9,-0.6,96.2,-1.7,-3.7
01/12/1999,88.6,5.1,99.2,-0.7,100.7,4.6,1.4
01/01/2000,62.4,-7.4,98.3,-0.9,100.3,-0.3,2.0
01/02/2000,75.2,-2.3,97.3,-1.1,97.9,-2.4,0.6
01/03/2000,111.2,0.8,96.3,-1.0,99.8,2.0,3.5
01/04/2000,98.5,-7.9,95.3,-1.1,96.2,-3.7,0.9
01/05/2000,106.3,-3.8,94.3,-1.1,92.3,-4.0,-2.0
01/06/2000,110.2,-11.0,93.5,-0.8,91.9,-0.4,-1.7
01/07/2000,102.2,-15.4,93.0,-0.6,91.9,0.0,-1.1
01/08/2000,100.6,-10.3,92.7,-0.3,90.5,-1.5,-2.2
01/09/2000,106.5,-13.9,92.7,-0.1,91.1,0.6,-1.6
01/10/2000,97.3,-4.8,92.6,-0.0,95.2,4.5,2.5
01/11/2000,81.1,-0.2,92.6,0.0,93.6,-1.7,0.9
01/12/2000,82.7,-6.7,92.5,-0.1,94.5,1.0,1.9
01/01/2001,54.6,-12.5,92.5,-0.0,89.4,-5.3,-3.1
01/02/2001,71.5,-4.9,92.6,0.1,93.7,4.8,1.1
01/03/2001,100.7,-9.4,92.7,0.2,90.2,-3.7,-2.5
01/04/2001,95.5,-3.0,93.0,0.3,91.7,1.6,-1.4
01/05/2001,109.8,3.3,93.3,0.4,97.1,6.0,3.8
01/06/2001,117.2,6.4,93.6,0.2,95.8,-1.4,2.3
01/07/2001,100.1,-2.1,93.8,0.2,93.0,-2.9,-0.7
01/08/2001,104.9,4.3,93.9,0.1,95.8,2.9,1.9
01/09/2001,102.6,-3.7,94.0,0.1,90.7,-5.3,-3.3
01/10/2001,95.7,-1.6,94.1,0.1,91.5,1.0,-2.6
01/11/2001,84.2,3.8,94.3,0.2,94.7,3.4,0.4
01/12/2001,77.3,-6.5,94.5,0.2,93.6,-1.2,-0.9
01/01/2002,62.8,15.0,94.6,0.2,96.4,3.0,1.7
01/02/2002,71.4,-0.1,94.8,0.2,94.5,-1.9,-0.2
01/03/2002,103.5,2.8,94.9,0.1,97.1,2.7,2.2
01/04/2002,106.4,11.4,95.0,0.1,98.3,1.2,3.3
01/05/2002,98.6,-10.2,94.9,-0.1,92.7,-5.6,-2.1
