datum,originalwert_2021100,originalwert_vernderung_gegenber_vorjahresmonat_in_,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_vernderung_gegenber_vorsmonat_in_
01/03/1997,97.2,,95.0,-14.2
01/04/1997,104.9,,98.4,3.6
01/05/1997,98.1,,96.3,-2.1
01/06/1997,125.5,,101.7,5.6
01/07/1997,110.0,,96.6,-5.0
01/08/1997,103.7,,97.6,1.0
01/09/1997,119.6,,95.6,-2.0
01/10/1997,104.0,,96.0,0.4
01/11/1997,83.4,,97.0,1.0
01/12/1997,83.0,,96.0,-1.0
01/01/1998,61.8,1.3,97.8,1.9
01/02/1998,69.9,-15.3,96.2,-1.6
01/03/1998,112.3,15.5,103.4,7.5
01/04/1998,106.8,1.8,104.1,0.7
01/05/1998,105.2,7.2,101.0,-3.0
01/06/1998,128.9,2.7,104.7,3.7
01/07/1998,125.7,14.3,109.9,5.0
01/08/1998,107.2,3.4,100.3,-8.7
01/09/1998,143.5,20.0,115.9,15.6
01/10/1998,115.0,10.6,106.3,-8.3
01/11/1998,94.4,13.2,107.2,0.8
01/12/1998,84.3,1.6,96.9,-9.6
01/01/1999,67.4,9.1,111.5,15.1
01/02/1999,77.0,10.2,105.4,-5.5
01/03/1999,110.3,-1.8,99.3,-5.8
01/04/1999,107.0,0.2,103.6,4.3
01/05/1999,110.5,5.0,105.6,1.9
01/06/1999,123.8,-4.0,98.2,-7.0
01/07/1999,120.8,-3.9,107.4,9.4
01/08/1999,112.2,4.7,102.8,-4.3
01/09/1999,123.7,-13.8,100.0,-2.7
01/10/1999,102.2,-11.1,97.0,-3.0
01/11/1999,81.3,-13.9,91.7,-5.5
01/12/1999,88.6,5.1,101.3,10.5
01/01/2000,62.4,-7.4,100.5,-0.8
01/02/2000,75.2,-2.3,100.7,0.2
01/03/2000,111.2,0.8,100.9,0.2
01/04/2000,98.5,-7.9,98.6,-2.3
01/05/2000,106.3,-3.8,94.8,-3.9
01/06/2000,110.2,-11.0,90.3,-4.7
01/07/2000,102.2,-15.4,92.3,2.2
01/08/2000,100.6,-10.3,90.6,-1.8
01/09/2000,106.5,-13.9,88.4,-2.4
