datum,originalwert_2021100,originalwert_vernderung_gegenber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_2021100,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vormonat_in_
01/03/1997,51.9,,50.8,0.6
01/04/1997,56.6,,51.2,0.8
01/05/1997,48.1,,51.6,0.8
01/06/1997,53.9,,52.0,0.8
01/07/1997,53.2,,52.4,0.8
01/08/1997,45.1,,53.0,1.1
01/09/1997,56.9,,53.5,0.9
01/10/1997,54.9,,53.9,0.7
01/11/1997,52.5,,54.4,0.9
01/12/1997,52.7,,54.8,0.7
01/01/1998,53.6,8.1,55.3,0.9
01/02/1998,54.2,13.6,55.6,0.5
01/03/1998,63.4,22.2,55.9,0.5
01/04/1998,57.3,1.2,56.0,0.2
01/05/1998,53.8,11.9,56.1,0.2
01/06/1998,56.9,5.6,56.1,0.0
01/07/1998,58.4,9.8,56.0,-0.2
01/08/1998,47.0,4.2,55.9,-0.2
01/09/1998,59.7,4.9,55.6,-0.5
01/10/1998,56.9,3.6,55.5,-0.2
01/11/1998,55.3,5.3,55.6,0.2
01/12/1998,55.4,5.1,55.5,-0.2
01/01/1999,50.4,-6.0,55.5,0.0
01/02/1999,53.7,-0.9,55.5,0.0
01/03/1999,62.5,-1.4,55.7,0.4
01/04/1999,55.8,-2.6,56.1,0.7
01/05/1999,52.7,-2.0,56.4,0.5
01/06/1999,61.1,7.4,57.0,1.1
01/07/1999,56.8,-2.7,57.6,1.1
01/08/1999,54.9,16.8,58.2,1.0
01/09/1999,62.4,4.5,58.9,1.2
01/10/1999,59.8,5.1,59.5,1.0
01/11/1999,62.9,13.7,60.5,1.7
01/12/1999,60.4,9.0,61.0,0.8
01/01/2000,56.5,12.1,61.7,1.1
01/02/2000,64.5,20.1,62.7,1.6
01/03/2000,72.2,15.5,63.5,1.3
01/04/2000,61.8,10.8,64.2,1.1
01/05/2000,69.1,31.1,65.0,1.2
01/06/2000,66.0,8.0,65.7,1.1
01/07/2000,64.5,13.6,66.4,1.1
01/08/2000,61.2,11.5,66.9,0.8
01/09/2000,66.7,6.9,67.4,0.7
01/10/2000,67.7,13.2,67.8,0.6
01/11/2000,71.6,13.8,68.0,0.3
01/12/2000,68.2,12.9,67.9,-0.1
01/01/2001,66.7,18.1,67.6,-0.4
01/02/2001,66.7,3.4,67.2,-0.6
01/03/2001,74.3,2.9,66.9,-0.4
01/04/2001,62.9,1.8,66.5,-0.6
01/05/2001,68.2,-1.3,66.0,-0.8
01/06/2001,65.5,-0.8,65.6,-0.6
01/07/2001,63.9,-0.9,65.0,-0.9
01/08/2001,60.3,-1.5,64.6,-0.6
01/09/2001,61.6,-7.6,64.4,-0.3
01/10/2001,63.7,-5.9,64.2,-0.3
01/11/2001,65.6,-8.4,64.2,0.0
01/12/2001,61.9,-9.2,64.2,0.0
01/01/2002,64.1,-3.9,64.2,0.0
01/02/2002,61.2,-8.2,64.3,0.2
01/03/2002,66.6,-10.4,64.6,0.5
01/04/2002,66.5,5.7,64.9,0.5
01/05/2002,65.8,-3.5,65.0,0.2
01/06/2002,66.4,1.4,65.2,0.3
01/07/2002,66.6,4.2,65.4,0.3
01/08/2002,60.5,0.3,65.5,0.2
01/09/2002,65.2,5.8,65.5,0.0
01/10/2002,67.2,5.5,65.4,-0.2
01/11/2002,66.7,1.7,65.3,-0.2
01/12/2002,60.1,-2.9,65.1,-0.3
01/01/2003,65.9,2.8,64.5,-0.9
01/02/2003,66.1,8.0,64.7,0.3
01/03/2003,67.1,0.8,64.8,0.2
01/04/2003,64.5,-3.0,64.8,0.0
01/05/2003,62.6,-4.9,64.9,0.2
01/06/2003,64.5,-2.9,65.0,0.2
01/07/2003,65.6,-1.5,65.2,0.3
01/08/2003,56.1,-7.3,65.7,0.8
01/09/2003,69.1,6.0,66.1,0.6
01/10/2003,68.8,2.4,66.5,0.6
01/11/2003,66.7,0.0,67.0,0.8
01/12/2003,67.2,11.8,67.5,0.7
01/01/2004,64.8,-1.7,67.9,0.6
01/02/2004,66.5,0.6,68.5,0.9
01/03/2004,78.5,17.0,69.0,0.7
01/04/2004,70.0,8.5,69.4,0.6
01/05/2004,68.0,8.6,69.6,0.3
01/06/2004,73.2,13.5,69.9,0.4
01/07/2004,69.5,5.9,70.2,0.4
01/08/2004,61.5,9.6,70.4,0.3
01/09/2004,73.3,6.1,70.6,0.3
01/10/2004,70.5,2.5,70.8,0.3
01/11/2004,71.2,6.7,71.1,0.4
01/12/2004,80.3,19.5,71.4,0.4
01/01/2005,68.8,6.2,71.7,0.4
01/02/2005,69.0,3.8,72.1,0.6
01/03/2005,77.9,-0.8,72.5,0.6
01/04/2005,72.7,3.9,73.2,1.0
01/05/2005,69.6,2.4,73.8,0.8
01/06/2005,81.3,11.1,74.5,0.9
01/07/2005,72.8,4.7,75.2,0.9
01/08/2005,67.6,9.9,75.9,0.9
01/09/2005,80.5,9.8,76.7,1.1
01/10/2005,75.4,7.0,77.4,0.9
01/11/2005,82.5,15.9,78.1,0.9
01/12/2005,81.7,1.7,78.6,0.6
01/01/2006,79.2,15.1,79.2,0.8
01/02/2006,78.2,13.3,79.6,0.5
01/03/2006,89.5,14.9,80.1,0.6
01/04/2006,75.2,3.4,80.5,0.5
01/05/2006,82.5,18.5,81.0,0.6
01/06/2006,80.8,-0.6,81.3,0.4
01/07/2006,78.9,8.4,81.9,0.7
01/08/2006,78.9,16.7,82.5,0.7
01/09/2006,84.4,4.8,83.1,0.7
01/10/2006,81.1,7.6,83.9,1.0
01/11/2006,85.0,3.0,84.6,0.8
01/12/2006,84.6,3.5,85.5,1.1
01/01/2007,85.6,8.1,86.4,1.1
01/02/2007,88.4,13.0,87.3,1.0
01/03/2007,96.8,8.2,88.2,1.0
01/04/2007,84.3,12.1,89.2,1.1
01/05/2007,90.4,9.6,90.1,1.0
01/06/2007,98.7,22.2,91.0,1.0
01/07/2007,88.4,12.0,91.7,0.8
01/08/2007,82.3,4.3,92.4,0.8
01/09/2007,86.9,3.0,93.1,0.8
01/10/2007,96.9,19.5,93.6,0.5
01/11/2007,99.3,16.8,94.0,0.4
01/12/2007,92.6,9.5,94.0,0.0
01/01/2008,93.4,9.1,99.6,6.0
01/02/2008,95.7,8.3,96.5,-3.1
01/03/2008,92.3,-4.6,93.5,-3.1
01/04/2008,97.0,15.1,90.6,-3.1
01/05/2008,86.2,-4.6,87.5,-3.4
01/06/2008,88.9,-9.9,84.2,-3.8
01/07/2008,84.8,-4.1,80.7,-4.2
01/08/2008,75.1,-8.7,77.1,-4.5
01/09/2008,81.2,-6.6,73.9,-4.2
01/10/2008,73.2,-24.5,70.9,-4.1
01/11/2008,67.3,-32.2,68.5,-3.4
01/12/2008,62.8,-32.2,66.2,-3.4
01/01/2009,54.7,-41.4,64.2,-3.0
01/02/2009,55.5,-42.0,62.4,-2.8
01/03/2009,65.7,-28.8,61.1,-2.1
01/04/2009,56.4,-41.9,60.4,-1.1
01/05/2009,58.0,-32.7,60.2,-0.3
01/06/2009,63.9,-28.1,60.6,0.7
01/07/2009,66.1,-22.1,61.3,1.2
01/08/2009,56.9,-24.2,62.3,1.6
01/09/2009,68.8,-15.3,63.7,2.2
01/10/2009,64.9,-11.3,65.2,2.4
01/11/2009,69.0,2.5,66.7,2.3
01/12/2009,67.8,8.0,68.2,2.2
01/01/2010,64.0,17.0,69.6,2.1
01/02/2010,67.3,21.3,71.1,2.2
01/03/2010,82.7,25.9,72.5,2.0
01/04/2010,73.9,31.0,73.8,1.8
01/05/2010,73.2,26.2,75.2,1.9
01/06/2010,84.4,32.1,76.5,1.7
01/07/2010,75.4,14.1,77.9,1.8
01/08/2010,72.6,27.6,79.3,1.8
01/09/2010,81.4,18.3,80.7,1.8
01/10/2010,78.2,20.5,82.0,1.6
01/11/2010,90.0,30.4,83.1,1.3
01/12/2010,86.4,27.4,83.9,1.0
01/01/2011,81.3,27.0,84.7,1.0
01/02/2011,87.1,29.4,85.2,0.6
01/03/2011,92.7,12.1,85.4,0.2
01/04/2011,82.0,11.0,85.6,0.2
01/05/2011,93.3,27.5,85.7,0.1
01/06/2011,92.0,9.0,85.5,-0.2
01/07/2011,80.8,7.2,85.2,-0.4
01/08/2011,77.5,6.7,84.8,-0.5
01/09/2011,83.7,2.8,84.4,-0.5
01/10/2011,80.7,3.2,84.0,-0.5
01/11/2011,84.2,-6.4,83.4,-0.7
01/12/2011,87.4,1.2,83.0,-0.5
01/01/2012,78.2,-3.8,82.6,-0.5
01/02/2012,81.9,-6.0,82.2,-0.5
01/03/2012,94.6,2.0,81.9,-0.4
01/04/2012,79.3,-3.3,81.8,-0.1
01/05/2012,82.1,-12.0,81.5,-0.4
01/06/2012,85.5,-7.1,81.5,0.0
01/07/2012,80.7,-0.1,81.6,0.1
01/08/2012,73.9,-4.6,81.7,0.1
01/09/2012,77.5,-7.4,81.9,0.2
01/10/2012,84.4,4.6,82.0,0.1
01/11/2012,83.5,-0.8,82.2,0.2
01/12/2012,80.7,-7.7,82.5,0.4
01/01/2013,80.7,3.2,82.8,0.4
01/02/2013,82.0,0.1,83.3,0.6
01/03/2013,89.0,-5.9,83.8,0.6
01/04/2013,84.1,6.1,84.4,0.7
01/05/2013,79.6,-3.0,85.1,0.8
01/06/2013,93.4,9.2,85.6,0.6
01/07/2013,85.7,6.2,86.1,0.6
01/08/2013,76.2,3.1,86.6,0.6
01/09/2013,88.8,14.6,87.0,0.5
01/10/2013,86.6,2.6,87.3,0.3
01/11/2013,89.2,6.8,87.6,0.3
01/12/2013,89.4,10.8,87.8,0.2
01/01/2014,86.6,7.3,87.9,0.1
01/02/2014,88.0,7.3,88.0,0.1
01/03/2014,92.5,3.9,88.0,0.0
01/04/2014,88.7,5.5,88.1,0.1
01/05/2014,83.8,5.3,88.2,0.1
01/06/2014,86.2,-7.7,88.3,0.1
01/07/2014,94.6,10.4,88.5,0.2
01/08/2014,74.3,-2.5,88.8,0.3
01/09/2014,90.1,1.5,89.1,0.3
01/10/2014,91.1,5.2,89.4,0.3
01/11/2014,88.5,-0.8,89.8,0.4
01/12/2014,95.2,6.5,90.1,0.3
01/01/2015,85.5,-1.3,90.4,0.3
01/02/2015,86.2,-2.0,90.6,0.2
01/03/2015,100.5,8.6,90.7,0.1
01/04/2015,91.6,3.3,90.8,0.1
01/05/2015,83.3,-0.6,90.8,0.0
01/06/2015,102.0,18.3,90.7,-0.1
01/07/2015,92.9,-1.8,90.6,-0.1
01/08/2015,77.1,3.8,90.4,-0.2
01/09/2015,89.5,-0.7,90.2,-0.2
01/10/2015,89.9,-1.3,90.1,-0.1
01/11/2015,91.8,3.7,89.9,-0.2
01/12/2015,93.5,-1.8,89.8,-0.1
01/01/2016,83.9,-1.9,89.7,-0.1
01/02/2016,89.3,3.6,89.8,0.1
01/03/2016,101.7,1.2,89.9,0.1
01/04/2016,90.8,-0.9,90.1,0.2
01/05/2016,86.5,3.8,90.5,0.4
01/06/2016,99.5,-2.5,90.9,0.4
01/07/2016,86.8,-6.6,91.5,0.7
01/08/2016,82.2,6.6,92.0,0.5
01/09/2016,92.0,2.8,92.5,0.5
01/10/2016,90.6,0.8,92.9,0.4
01/11/2016,94.1,2.5,93.3,0.4
01/12/2016,108.1,15.6,93.7,0.4
01/01/2017,89.1,6.2,94.1,0.4
01/02/2017,92.3,3.4,94.5,0.4
01/03/2017,110.0,8.2,95.1,0.6
01/04/2017,90.4,-0.4,95.7,0.6
01/05/2017,94.8,9.6,96.3,0.6
01/06/2017,99.3,-0.2,97.0,0.7
01/07/2017,90.0,3.7,97.6,0.6
01/08/2017,86.3,5.0,98.2,0.6
01/09/2017,99.1,7.7,98.7,0.5
01/10/2017,97.5,7.6,98.9,0.2
01/11/2017,102.6,9.0,99.1,0.2
01/12/2017,111.5,3.1,99.1,0.0
01/01/2018,98.3,10.3,99.2,0.1
01/02/2018,98.4,6.6,99.1,-0.1
01/03/2018,107.7,-2.1,98.9,-0.2
01/04/2018,94.7,4.8,98.7,-0.2
01/05/2018,95.1,0.3,98.4,-0.3
01/06/2018,99.9,0.6,98.1,-0.3
01/07/2018,90.8,0.9,97.7,-0.4
01/08/2018,86.1,-0.2,97.3,-0.4
01/09/2018,93.6,-5.5,96.8,-0.5
01/10/2018,99.4,1.9,96.5,-0.3
01/11/2018,102.5,-0.1,96.2,-0.3
01/12/2018,104.2,-6.5,95.8,-0.4
01/01/2019,95.6,-2.7,95.4,-0.4
01/02/2019,89.3,-9.2,95.2,-0.2
01/03/2019,101.7,-5.6,95.0,-0.2
01/04/2019,91.6,-3.3,95.0,0.0
01/05/2019,91.5,-3.8,94.7,-0.3
01/06/2019,92.2,-7.7,94.0,-0.7
01/07/2019,92.3,1.7,93.1,-1.0
01/08/2019,78.3,-9.1,91.9,-1.3
01/09/2019,93.7,0.1,90.6,-1.4
01/10/2019,94.6,-4.8,89.1,-1.7
01/11/2019,92.5,-9.8,87.8,-1.5
01/12/2019,93.1,-10.7,86.6,-1.4
01/01/2020,93.8,-1.9,85.7,-1.0
01/02/2020,88.4,-1.0,84.7,-1.2
01/03/2020,79.6,-21.7,83.9,-0.9
01/04/2020,45.9,-49.9,83.4,-0.6
01/05/2020,55.2,-39.7,83.5,0.1
01/06/2020,88.3,-4.2,83.9,0.5
01/07/2020,86.0,-6.8,85.0,1.3
01/08/2020,76.9,-1.8,86.2,1.4
01/09/2020,93.1,-0.6,87.9,2.0
01/10/2020,97.4,3.0,89.9,2.3
01/11/2020,99.7,7.8,91.9,2.2
01/12/2020,100.1,7.5,93.8,2.1
01/01/2021,85.4,-9.0,95.7,2.0
01/02/2021,93.4,5.7,97.5,1.9
01/03/2021,114.1,43.3,99.1,1.6
01/04/2021,98.0,113.5,100.2,1.1
01/05/2021,91.5,65.8,100.9,0.7
01/06/2021,110.6,25.3,101.4,0.5
01/07/2021,109.2,27.0,101.6,0.2
01/08/2021,85.2,10.8,101.7,0.1
01/09/2021,105.7,13.5,101.5,-0.2
01/10/2021,93.9,-3.6,101.4,-0.1
01/11/2021,103.1,3.4,101.1,-0.3
01/12/2021,110.0,9.9,100.7,-0.4
01/01/2022,103.6,21.3,100.0,-0.7
01/02/2022,102.2,9.4,99.0,-1.0
01/03/2022,109.9,-3.7,98.0,-1.0
01/04/2022,86.8,-11.4,96.9,-1.1
01/05/2022,95.3,4.2,96.0,-0.9
01/06/2022,96.3,-12.9,95.2,-0.8
01/07/2022,91.5,-16.2,94.3,-0.9
