date,indicator,value
01/03/1997,originalwert_2021100,51.9
01/03/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,51.6
01/03/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,5.7
01/04/1997,originalwert_2021100,56.6
01/04/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,52.7
01/04/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,2.1
01/05/1997,originalwert_2021100,48.1
01/05/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,51.3
01/05/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-2.7
01/06/1997,originalwert_2021100,53.9
01/06/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,51.6
01/06/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.6
01/07/1997,originalwert_2021100,53.2
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,51.7
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.2
01/08/1997,originalwert_2021100,45.1
01/08/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,52.7
01/08/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,1.9
01/09/1997,originalwert_2021100,56.9
01/09/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,54.4
01/09/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,3.2
01/10/1997,originalwert_2021100,54.9
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,53.2
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-2.2
01/11/1997,originalwert_2021100,52.5
01/11/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,52.8
01/11/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-0.8
01/12/1997,originalwert_2021100,52.7
01/12/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,53.7
01/12/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,1.7
01/01/1998,originalwert_2021100,53.6
01/01/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,8.1
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,56.0
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,4.3
01/02/1998,originalwert_2021100,54.2
01/02/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,13.6
01/02/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,55.5
01/02/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-0.9
01/03/1998,originalwert_2021100,63.4
01/03/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,22.2
01/03/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,57.3
01/03/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,3.2
