date,indicator,value
01/03/1997,originalwert_2021100,43.7
01/03/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,43.1
01/03/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,3.1
01/04/1997,originalwert_2021100,47.5
01/04/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,44.5
01/04/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,3.2
01/05/1997,originalwert_2021100,39.7
01/05/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,42.6
01/05/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-4.3
01/06/1997,originalwert_2021100,46.1
01/06/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,43.8
01/06/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,2.8
01/07/1997,originalwert_2021100,44.1
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,43.8
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.0
01/08/1997,originalwert_2021100,38.5
01/08/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,45.6
01/08/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,4.1
01/09/1997,originalwert_2021100,48.9
01/09/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,46.8
01/09/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,2.6
01/10/1997,originalwert_2021100,47.1
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,45.6
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-2.6
01/11/1997,originalwert_2021100,43.5
01/11/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,44.1
