datum,originalwert_2021100,originalwert_vernderung_gegenber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_2021100,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vormonat_in_
01/03/1997,77.4,,75.9,0.3
01/04/1997,81.6,,76.1,0.3
01/05/1997,71.2,,76.4,0.4
01/06/1997,79.3,,76.8,0.5
01/07/1997,79.9,,77.4,0.8
01/08/1997,69.3,,77.8,0.5
01/09/1997,82.0,,78.1,0.4
01/10/1997,80.5,,78.8,0.9
01/11/1997,78.0,,79.1,0.4
01/12/1997,72.5,,79.7,0.8
01/01/1998,78.8,6.2,80.0,0.4
01/02/1998,79.8,8.0,80.4,0.5
01/03/1998,90.9,17.4,80.6,0.2
01/04/1998,80.1,-1.8,80.7,0.1
01/05/1998,76.7,7.7,80.6,-0.1
01/06/1998,80.5,1.5,80.5,-0.1
01/07/1998,84.2,5.4,80.2,-0.4
01/08/1998,72.3,4.3,79.9,-0.4
01/09/1998,84.9,3.5,79.4,-0.6
01/10/1998,80.5,0.0,79.2,-0.3
01/11/1998,80.1,2.7,79.0,-0.3
01/12/1998,72.4,-0.1,78.8,-0.3
01/01/1999,74.2,-5.8,78.7,-0.1
01/02/1999,76.0,-4.8,78.5,-0.3
01/03/1999,89.6,-1.4,78.9,0.5
01/04/1999,77.1,-3.7,79.1,0.3
01/05/1999,74.6,-2.7,79.3,0.3
01/06/1999,84.0,4.3,79.7,0.5
01/07/1999,80.7,-4.2,80.1,0.5
01/08/1999,77.8,7.6,80.7,0.7
01/09/1999,85.8,1.1,81.5,1.0
01/10/1999,83.2,3.4,82.1,0.7
01/11/1999,86.7,8.2,82.8,0.9
01/12/1999,79.5,9.8,83.3,0.6
01/01/2000,78.4,5.7,83.9,0.7
01/02/2000,88.1,15.9,84.5,0.7
01/03/2000,94.7,5.7,85.2,0.8
01/04/2000,81.7,6.0,85.7,0.6
01/05/2000,92.1,23.5,86.1,0.5
01/06/2000,85.2,1.4,86.5,0.5
01/07/2000,84.9,5.2,86.9,0.5
01/08/2000,84.9,9.1,87.2,0.3
01/09/2000,88.1,2.7,87.3,0.1
01/10/2000,85.9,3.2,87.3,0.0
01/11/2000,90.8,4.7,87.2,-0.1
01/12/2000,80.5,1.3,87.0,-0.2
01/01/2001,87.3,11.4,86.5,-0.6
01/02/2001,85.9,-2.5,86.1,-0.5
01/03/2001,96.0,1.4,85.7,-0.5
01/04/2001,80.9,-1.0,85.0,-0.8
01/05/2001,85.4,-7.3,84.5,-0.6
01/06/2001,80.5,-5.5,83.9,-0.7
01/07/2001,83.4,-1.8,83.4,-0.6
01/08/2001,82.4,-2.9,83.0,-0.5
01/09/2001,80.3,-8.9,82.5,-0.6
01/10/2001,82.7,-3.7,81.9,-0.7
01/11/2001,82.6,-9.0,81.7,-0.2
01/12/2001,73.6,-8.6,81.3,-0.5
01/01/2002,82.6,-5.4,81.2,-0.1
01/02/2002,78.9,-8.1,81.0,-0.2
01/03/2002,82.2,-14.4,81.0,0.0
01/04/2002,83.8,3.6,81.1,0.1
01/05/2002,76.7,-10.2,81.0,-0.1
01/06/2002,81.1,0.7,81.1,0.1
01/07/2002,84.5,1.3,81.2,0.1
01/08/2002,77.1,-6.4,81.3,0.1
01/09/2002,82.7,3.0,81.4,0.1
01/10/2002,84.5,2.2,81.2,-0.2
01/11/2002,81.9,-0.8,81.1,-0.1
01/12/2002,73.7,0.1,81.1,0.0
01/01/2003,81.5,-1.3,80.4,-0.9
01/02/2003,83.6,6.0,80.6,0.2
01/03/2003,83.3,1.3,80.7,0.1
01/04/2003,79.8,-4.8,80.7,0.0
01/05/2003,78.7,2.6,80.9,0.2
01/06/2003,78.4,-3.3,81.0,0.1
01/07/2003,83.6,-1.1,81.2,0.2
01/08/2003,71.9,-6.7,81.7,0.6
01/09/2003,85.3,3.1,82.0,0.4
01/10/2003,86.2,2.0,82.4,0.5
01/11/2003,83.4,1.8,82.8,0.5
01/12/2003,77.4,5.0,83.0,0.2
01/01/2004,80.5,-1.2,83.5,0.6
01/02/2004,83.6,0.0,83.9,0.5
01/03/2004,96.1,15.4,84.1,0.2
01/04/2004,84.5,5.9,84.3,0.2
01/05/2004,79.4,0.9,84.4,0.1
01/06/2004,87.2,11.2,84.4,0.0
01/07/2004,84.7,1.3,84.4,0.0
01/08/2004,79.0,9.9,84.4,0.0
01/09/2004,86.9,1.9,84.4,0.0
01/10/2004,86.2,0.0,84.3,-0.1
01/11/2004,86.8,4.1,84.4,0.1
01/12/2004,87.2,12.7,84.5,0.1
01/01/2005,82.4,2.4,84.7,0.2
01/02/2005,82.0,-1.9,84.8,0.1
01/03/2005,89.9,-6.5,85.1,0.4
01/04/2005,86.6,2.5,85.4,0.4
01/05/2005,80.7,1.6,85.7,0.4
01/06/2005,93.3,7.0,86.2,0.6
01/07/2005,85.0,0.4,86.6,0.5
01/08/2005,84.2,6.6,86.9,0.3
01/09/2005,91.3,5.1,87.4,0.6
01/10/2005,86.2,0.0,87.9,0.6
01/11/2005,93.0,7.1,88.3,0.5
01/12/2005,86.0,-1.4,88.9,0.7
01/01/2006,89.4,8.5,89.5,0.7
