datum,originalwert_2021100,originalwert_vernderung_gegenber_vorjahresmonat_in_,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_vernderung_gegenber_vorsmonat_in_
01/03/1997,57.8,,57.3,3.4
01/04/1997,61.8,,57.9,1.0
01/05/1997,52.9,,56.8,-1.9
01/06/1997,60.0,,57.9,1.9
01/07/1997,59.1,,57.8,-0.2
01/08/1997,51.4,,58.4,1.0
01/09/1997,62.8,,59.7,2.2
01/10/1997,61.1,,59.2,-0.8
01/11/1997,58.1,,58.7,-0.8
01/12/1997,56.2,,59.9,2.0
01/01/1998,59.2,5.7,60.5,1.0
01/02/1998,60.0,8.1,60.1,-0.7
01/03/1998,68.2,18.0,61.3,2.0
01/04/1998,60.9,-1.5,61.2,-0.2
01/05/1998,57.4,8.5,60.3,-1.5
01/06/1998,61.1,1.8,60.4,0.2
01/07/1998,61.7,4.4,60.4,0.0
01/08/1998,52.3,1.8,58.6,-3.0
01/09/1998,63.4,1.0,60.4,3.1
01/10/1998,60.3,-1.3,58.2,-3.6
01/11/1998,58.8,1.2,57.5,-1.2
01/12/1998,56.4,0.4,59.3,3.1
01/01/1999,55.3,-6.6,58.5,-1.3
01/02/1999,58.5,-2.5,58.6,0.2
01/03/1999,67.8,-0.6,58.9,0.5
01/04/1999,59.3,-2.6,59.3,0.7
01/05/1999,56.7,-1.2,59.7,0.7
01/06/1999,64.2,5.1,61.5,3.0
01/07/1999,61.4,-0.5,61.8,0.5
01/08/1999,59.4,13.6,64.6,4.5
01/09/1999,66.7,5.2,63.6,-1.5
01/10/1999,63.9,6.0,64.1,0.8
01/11/1999,67.2,14.3,64.9,1.2
01/12/1999,63.6,12.8,65.2,0.5
01/01/2000,61.5,11.2,62.8,-3.7
01/02/2000,69.4,18.6,66.4,5.7
01/03/2000,76.8,13.3,68.0,2.4
01/04/2000,64.1,8.1,68.7,1.0
01/05/2000,72.5,27.9,68.8,0.1
01/06/2000,68.5,6.7,70.3,2.2
01/07/2000,67.4,9.8,70.3,0.0
01/08/2000,66.8,12.5,70.6,0.4
01/09/2000,71.2,6.7,70.3,-0.4
01/10/2000,70.3,10.0,70.5,0.3
01/11/2000,73.2,8.9,70.7,0.3
01/12/2000,67.9,6.8,71.8,1.6
01/01/2001,70.9,15.3,69.5,-3.2
01/02/2001,69.5,0.1,69.8,0.4
01/03/2001,76.4,-0.5,69.1,-1.0
01/04/2001,64.5,0.6,66.7,-3.5
01/05/2001,70.2,-3.2,68.9,3.3
01/06/2001,67.2,-1.9,69.1,0.3
01/07/2001,66.6,-1.2,67.0,-3.0
01/08/2001,64.2,-3.9,67.8,1.2
01/09/2001,64.0,-10.1,65.4,-3.5
01/10/2001,66.5,-5.4,64.6,-1.2
01/11/2001,66.8,-8.7,64.7,0.2
01/12/2001,61.4,-9.6,67.6,4.5
01/01/2002,67.9,-4.2,66.2,-2.1
01/02/2002,65.7,-5.5,65.8,-0.6
01/03/2002,69.4,-9.2,67.2,2.1
01/04/2002,69.5,7.8,67.4,0.3
01/05/2002,66.7,-5.0,69.2,2.7
01/06/2002,68.4,1.8,68.6,-0.9
01/07/2002,69.4,4.2,67.5,-1.6
01/08/2002,62.9,-2.0,69.0,2.2
01/09/2002,68.7,7.3,68.1,-1.3
01/10/2002,69.7,4.8,67.6,-0.7
01/11/2002,68.9,3.1,68.7,1.6
01/12/2002,61.2,-0.3,66.4,-3.3
01/01/2003,69.4,2.2,68.3,2.9
01/02/2003,69.1,5.2,68.2,-0.1
01/03/2003,70.2,1.2,66.7,-2.2
01/04/2003,66.7,-4.0,66.9,0.3
01/05/2003,64.6,-3.1,65.3,-2.4
01/06/2003,66.2,-3.2,67.9,4.0
01/07/2003,68.9,-0.7,67.0,-1.3
01/08/2003,59.4,-5.6,67.4,0.6
01/09/2003,71.8,4.5,68.8,2.1
01/10/2003,71.6,2.7,69.5,1.0
01/11/2003,69.1,0.3,69.8,0.4
01/12/2003,67.8,10.8,71.6,2.6
01/01/2004,68.8,-0.9,70.0,-2.2
01/02/2004,70.3,1.7,70.6,0.9
01/03/2004,81.5,16.1,71.6,1.4
01/04/2004,72.2,8.2,72.5,1.3
01/05/2004,69.6,7.7,72.7,0.3
01/06/2004,75.1,13.4,72.1,-0.8
01/07/2004,72.2,4.8,72.7,0.8
01/08/2004,65.4,10.1,71.4,-1.8
