datum,originalwert_2021100,originalwert_vernderung_gegenber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_2021100,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vormonat_in_
01/03/1997,72.9,,73.6,0.5
01/04/1997,79.4,,74.1,0.7
01/05/1997,69.8,,74.6,0.7
01/06/1997,78.7,,75.0,0.5
01/07/1997,78.7,,75.3,0.4
01/08/1997,68.0,,75.9,0.8
01/09/1997,78.3,,76.2,0.4
01/10/1997,79.2,,76.6,0.5
01/11/1997,77.9,,77.0,0.5
01/12/1997,68.9,,77.2,0.3
01/01/1998,76.3,5.1,77.2,0.0
01/02/1998,76.6,6.1,77.3,0.1
01/03/1998,84.3,15.6,77.1,-0.3
01/04/1998,77.6,-2.3,76.9,-0.3
01/05/1998,74.6,6.9,76.7,-0.3
01/06/1998,77.1,-2.0,76.4,-0.4
01/07/1998,78.9,0.3,75.9,-0.7
01/08/1998,69.9,2.8,75.5,-0.5
01/09/1998,76.9,-1.8,75.1,-0.5
01/10/1998,77.4,-2.3,74.7,-0.5
01/11/1998,76.0,-2.4,74.5,-0.3
01/12/1998,67.0,-2.8,74.5,0.0
01/01/1999,70.6,-7.5,74.4,-0.1
01/02/1999,72.0,-6.0,74.6,0.3
01/03/1999,84.5,0.2,74.9,0.4
01/04/1999,74.5,-4.0,75.2,0.4
01/05/1999,72.5,-2.8,75.9,0.9
01/06/1999,79.9,3.6,76.5,0.8
01/07/1999,78.5,-0.5,77.1,0.8
01/08/1999,74.9,7.2,77.9,1.0
01/09/1999,81.3,5.7,78.7,1.0
01/10/1999,80.2,3.6,79.4,0.9
01/11/1999,85.4,12.4,80.0,0.8
01/12/1999,76.0,13.4,80.6,0.7
01/01/2000,78.3,10.9,81.2,0.7
01/02/2000,84.4,17.2,81.8,0.7
01/03/2000,90.9,7.6,82.2,0.5
01/04/2000,77.2,3.6,82.6,0.5
01/05/2000,90.5,24.8,83.0,0.5
01/06/2000,79.5,-0.5,83.3,0.4
01/07/2000,82.8,5.5,83.5,0.2
01/08/2000,81.9,9.3,83.8,0.4
01/09/2000,83.6,2.8,83.8,0.0
