date,indicator,value
01/03/1997,originalwert_2021100,72.9
01/03/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,74.2
01/03/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,2.1
01/04/1997,originalwert_2021100,79.4
01/04/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,74.0
01/04/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-0.3
01/05/1997,originalwert_2021100,69.8
01/05/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,74.4
01/05/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.5
01/06/1997,originalwert_2021100,78.7
01/06/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,76.1
01/06/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,2.3
01/07/1997,originalwert_2021100,78.7
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,75.6
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-0.7
01/08/1997,originalwert_2021100,68.0
01/08/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,74.9
01/08/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-0.9
01/09/1997,originalwert_2021100,78.3
01/09/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,75.4
01/09/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.7
01/10/1997,originalwert_2021100,79.2
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,76.2
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,1.1
01/11/1997,originalwert_2021100,77.9
01/11/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,77.9
01/11/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,2.2
01/12/1997,originalwert_2021100,68.9
01/12/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,77.5
01/12/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-0.5
01/01/1998,originalwert_2021100,76.3
01/01/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,5.1
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,77.2
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-0.4
01/02/1998,originalwert_2021100,76.6
01/02/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,6.1
01/02/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,77.1
01/02/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-0.1
01/03/1998,originalwert_2021100,84.3
01/03/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,15.6
01/03/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,77.2
01/03/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.1
01/04/1998,originalwert_2021100,77.6
01/04/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-2.3
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,77.6
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.5
01/05/1998,originalwert_2021100,74.6
01/05/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,6.9
01/05/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,77.7
01/05/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.1
01/06/1998,originalwert_2021100,77.1
01/06/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-2.0
01/06/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,76.4
01/06/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-1.7
01/07/1998,originalwert_2021100,78.9
01/07/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,0.3
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,75.5
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-1.2
01/08/1998,originalwert_2021100,69.9
01/08/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,2.8
01/08/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,76.3
01/08/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,1.1
01/09/1998,originalwert_2021100,76.9
01/09/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-1.8
01/09/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,74.1
01/09/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-2.9
01/10/1998,originalwert_2021100,77.4
01/10/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-2.3
01/10/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,74.2
01/10/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.1
01/11/1998,originalwert_2021100,76.0
01/11/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-2.4
01/11/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,73.4
01/11/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-1.1
01/12/1998,originalwert_2021100,67.0
01/12/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-2.8
01/12/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,73.6
01/12/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.3
01/01/1999,originalwert_2021100,70.6
01/01/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-7.5
01/01/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,74.1
01/01/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.7
01/02/1999,originalwert_2021100,72.0
01/02/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-6.0
01/02/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,72.7
01/02/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-1.9
01/03/1999,originalwert_2021100,84.5
01/03/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,0.2
01/03/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,74.7
01/03/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,2.8
01/04/1999,originalwert_2021100,74.5
01/04/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-4.0
01/04/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,74.6
01/04/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-0.1
01/05/1999,originalwert_2021100,72.5
01/05/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-2.8
01/05/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,75.6
01/05/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,1.3
01/06/1999,originalwert_2021100,79.9
01/06/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,3.6
01/06/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,76.5
01/06/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,1.2
01/07/1999,originalwert_2021100,78.5
01/07/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-0.5
01/07/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,77.7
01/07/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,1.6
01/08/1999,originalwert_2021100,74.9
01/08/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,7.2
01/08/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,79.0
01/08/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,1.7
01/09/1999,originalwert_2021100,81.3
01/09/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,5.7
01/09/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,78.4
01/09/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-0.8
01/10/1999,originalwert_2021100,80.2
01/10/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,3.6
01/10/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,79.7
01/10/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,1.7
01/11/1999,originalwert_2021100,85.4
01/11/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,12.4
01/11/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,81.3
01/11/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,2.0
01/12/1999,originalwert_2021100,76.0
01/12/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,13.4
01/12/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,81.5
01/12/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.2
01/01/2000,originalwert_2021100,78.3
01/01/2000,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,10.9
01/01/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,79.1
01/01/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-2.9
01/02/2000,originalwert_2021100,84.4
01/02/2000,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,17.2
01/02/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,81.1
01/02/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,2.5
01/03/2000,originalwert_2021100,90.9
01/03/2000,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,7.6
01/03/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,81.6
01/03/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,0.6
01/04/2000,originalwert_2021100,77.2
01/04/2000,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,3.6
01/04/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,83.2
01/04/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,2.0
01/05/2000,originalwert_2021100,90.5
01/05/2000,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,24.8
01/05/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,84.8
01/05/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,1.9
01/06/2000,originalwert_2021100,79.5
01/06/2000,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,-0.5
01/06/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,82.0
01/06/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorsmonat_in_,-3.3
01/07/2000,originalwert_2021100,82.8
01/07/2000,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,5.5
01/07/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2021100,84.9
