date,indicator,value
01/07/2008;85,messzahlen_2021100bauinstallation_2,2
01/10/2008;82,messzahlen_2021100bauinstallation_2,1
01/01/2009;81,messzahlen_2021100bauinstallation_2,7
01/04/2009;83,messzahlen_2021100bauinstallation_2,1
01/07/2009;86,messzahlen_2021100bauinstallation_2,1
01/10/2009;83,messzahlen_2021100bauinstallation_2,4
01/01/2010;82,messzahlen_2021100bauinstallation_2,8
01/04/2010;84,messzahlen_2021100bauinstallation_2,4
01/07/2010;88,messzahlen_2021100bauinstallation_2,3
01/10/2010;85,messzahlen_2021100bauinstallation_2,2
01/01/2011;84,messzahlen_2021100bauinstallation_2,1
01/04/2011;86,messzahlen_2021100bauinstallation_2,7
01/07/2011;89,messzahlen_2021100bauinstallation_2,8
01/10/2011;87,messzahlen_2021100bauinstallation_2,0
01/01/2012;86,messzahlen_2021100bauinstallation_2,3
01/04/2012;87,messzahlen_2021100bauinstallation_2,6
01/07/2012;90,messzahlen_2021100bauinstallation_2,6
01/10/2012;88,messzahlen_2021100bauinstallation_2,2
01/01/2013;86,messzahlen_2021100bauinstallation_2,0
01/04/2013;88,messzahlen_2021100bauinstallation_2,9
01/07/2013;91,messzahlen_2021100bauinstallation_2,4
01/10/2013;88,messzahlen_2021100bauinstallation_2,7
01/01/2014;89,messzahlen_2021100bauinstallation_2,9
01/04/2014;90,messzahlen_2021100bauinstallation_2,8
01/07/2014;92,messzahlen_2021100bauinstallation_2,2
01/10/2014;89,messzahlen_2021100bauinstallation_2,3
01/01/2015;89,messzahlen_2021100bauinstallation_2,0
01/04/2015;90,messzahlen_2021100bauinstallation_2,9
01/07/2015;92,messzahlen_2021100bauinstallation_2,6
01/10/2015;90,messzahlen_2021100bauinstallation_2,7
01/01/2016;90,messzahlen_2021100bauinstallation_2,7
01/04/2016;91,messzahlen_2021100bauinstallation_2,4
01/07/2016;94,messzahlen_2021100bauinstallation_2,3
01/10/2016;92,messzahlen_2021100bauinstallation_2,9
01/01/2017;92,messzahlen_2021100bauinstallation_2,8
01/04/2017;93,messzahlen_2021100bauinstallation_2,5
01/07/2017;96,messzahlen_2021100bauinstallation_2,8
01/10/2017;94,messzahlen_2021100bauinstallation_2,4
01/01/2018;94,messzahlen_2021100bauinstallation_2,6
01/04/2018;95,messzahlen_2021100bauinstallation_2,4
01/07/2018;97,messzahlen_2021100bauinstallation_2,9
01/10/2018;96,messzahlen_2021100bauinstallation_2,3
01/01/2019;96,messzahlen_2021100bauinstallation_2,0
01/04/2019;96,messzahlen_2021100bauinstallation_2,4
01/07/2019;99,messzahlen_2021100bauinstallation_2,1
01/10/2019;97,messzahlen_2021100bauinstallation_2,9
01/01/2020;97,messzahlen_2021100bauinstallation_2,9
01/04/2020;97,messzahlen_2021100bauinstallation_2,2
01/07/2020;100,messzahlen_2021100bauinstallation_2,9
01/10/2020;98,messzahlen_2021100bauinstallation_2,0
01/01/2021;99,messzahlen_2021100bauinstallation_2,5
01/04/2021;99,messzahlen_2021100bauinstallation_2,0
01/07/2021;101,messzahlen_2021100bauinstallation_2,9
01/10/2021;100,messzahlen_2021100bauinstallation_2,3
01/01/2022;100,messzahlen_2021100bauinstallation_2,6
01/04/2022;100,messzahlen_2021100bauinstallation_2,5
01/07/2022;102,messzahlen_2021100bauinstallation_2,7
01/10/2022;100,messzahlen_2021100bauinstallation_2,8
01/01/2023;100,messzahlen_2021100bauinstallation_2,9
01/04/2023;100,messzahlen_2021100bauinstallation_2,8
01/07/2023;102,messzahlen_2021100bauinstallation_2,8
01/10/2023;100,messzahlen_2021100bauinstallation_2,7
01/01/2024;100,messzahlen_2021100bauinstallation_2,4
01/04/2024;99,messzahlen_2021100bauinstallation_2,0
01/07/2024;101,messzahlen_2021100bauinstallation_2,7
01/10/2024;99,messzahlen_2021100bauinstallation_2,1
01/01/2025;98,messzahlen_2021100bauinstallation_2,3
01/04/2025;99,messzahlen_2021100bauinstallation_2,8
01/07/2025;100,messzahlen_2021100bauinstallation_2,2
01/10/2025;99,messzahlen_2021100bauinstallation_2,8
01/01/2026;98,messzahlen_2021100bauinstallation_2,1
