datum,originalwert_2015100,originalwert_vernderung_gegenber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_2015100,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vormonat_in_,kalender_und_saisonbereinigte_werte_bv_41_2015100,kalender_und_saisonbereinigte_werte_bv_41_vernderung_gegenber_vormonat_in_,restkomponente_bv_41
01/03/1994,83.6,,83.5,0.1,83.6,0.2,0.1
01/04/1994,83.7,,83.6,0.1,83.7,0.2,0.1
01/05/1994,83.8,,83.7,0.1,83.7,0.0,0.0
01/06/1994,83.8,,83.8,0.1,83.8,0.1,0.0
01/07/1994,83.8,,83.9,0.1,83.8,0.0,-0.0
01/08/1994,83.8,,84.0,0.2,83.8,-0.1,-0.2
01/09/1994,83.9,,84.1,0.2,83.9,0.1,-0.2
01/10/1994,84.1,,84.3,0.2,84.3,0.4,0.0
01/11/1994,84.3,,84.4,0.1,84.5,0.2,0.1
01/12/1994,84.5,,84.5,0.1,84.6,0.2,0.1
01/01/1995,84.9,1.7,84.6,0.1,84.8,0.2,0.2
01/02/1995,85.0,1.7,84.7,0.1,84.8,0.1,0.1
01/03/1995,84.8,1.4,84.8,0.1,84.8,-0.1,-0.1
01/04/1995,84.8,1.3,84.9,0.1,84.8,-0.0,-0.1
01/05/1995,85.0,1.4,85.0,0.1,84.9,0.1,-0.1
01/06/1995,85.0,1.4,85.0,0.1,85.0,0.1,-0.1
01/07/1995,85.1,1.6,85.1,0.1,85.1,0.2,0.0
01/08/1995,85.4,1.9,85.1,0.0,85.4,0.3,0.3
01/09/1995,85.4,1.8,85.1,0.0,85.4,-0.0,0.2
01/10/1995,85.0,1.1,85.2,0.0,85.1,-0.3,-0.0
01/11/1995,84.9,0.7,85.1,-0.0,85.1,-0.0,-0.0
01/12/1995,84.9,0.5,85.1,-0.0,85.1,-0.1,-0.0
01/01/1996,85.0,0.1,85.1,-0.0,85.0,-0.1,-0.1
01/02/1996,85.1,0.1,85.1,-0.0,85.0,0.0,-0.1
01/03/1996,85.2,0.5,85.1,-0.0,85.1,0.1,0.1
01/04/1996,85.3,0.6,85.0,-0.0,85.2,0.1,0.1
01/05/1996,85.4,0.5,85.0,-0.0,85.2,-0.0,0.2
01/06/1996,85.2,0.2,85.0,-0.0,85.1,-0.1,0.1
01/07/1996,84.9,-0.2,85.0,-0.0,84.9,-0.2,-0.1
01/08/1996,84.7,-0.8,85.0,0.0,84.7,-0.2,-0.3
01/09/1996,84.8,-0.7,85.0,0.0,84.8,0.1,-0.2
01/10/1996,85.0,-0.0,85.1,0.1,85.1,0.3,-0.0
01/11/1996,84.8,-0.1,85.2,0.1,85.1,-0.0,-0.1
01/12/1996,85.0,0.1,85.3,0.1,85.2,0.2,-0.1
01/01/1997,85.4,0.5,85.4,0.2,85.4,0.2,0.0
01/02/1997,85.6,0.6,85.6,0.2,85.6,0.2,0.0
01/03/1997,85.8,0.7,85.7,0.2,85.7,0.2,-0.0
01/04/1997,86.0,0.8,85.9,0.2,85.9,0.2,-0.1
01/05/1997,86.2,0.9,86.1,0.2,86.0,0.2,-0.0
01/06/1997,86.3,1.3,86.3,0.2,86.2,0.2,-0.0
01/07/1997,86.5,1.9,86.4,0.2,86.4,0.3,0.0
01/08/1997,86.8,2.5,86.5,0.1,86.7,0.3,0.2
01/09/1997,86.7,2.2,86.6,0.1,86.7,-0.0,0.1
01/10/1997,86.7,2.0,86.7,0.1,86.8,0.1,0.1
01/11/1997,86.7,2.2,86.7,0.0,86.8,0.1,0.1
01/12/1997,86.6,1.9,86.8,0.0,86.8,-0.0,0.0
01/01/1998,86.7,1.5,86.7,-0.0,86.8,0.0,0.1
01/02/1998,86.7,1.3,86.7,-0.0,86.8,-0.1,0.0
01/03/1998,86.7,1.0,86.6,-0.1,86.7,-0.1,0.0
01/04/1998,86.7,0.8,86.6,-0.1,86.6,-0.1,0.1
01/05/1998,86.5,0.3,86.4,-0.1,86.4,-0.2,0.0
01/06/1998,86.4,0.1,86.3,-0.2,86.3,-0.1,0.0
01/07/1998,86.3,-0.2,86.2,-0.2,86.2,-0.2,0.0
01/08/1998,86.2,-0.7,86.0,-0.2,86.0,-0.2,0.0
01/09/1998,86.0,-0.8,85.9,-0.2,85.9,-0.1,0.0
01/10/1998,85.6,-1.3,85.7,-0.2,85.7,-0.3,-0.1
01/11/1998,85.6,-1.3,85.6,-0.1,85.6,-0.0,0.0
01/12/1998,85.4,-1.4,85.5,-0.1,85.5,-0.2,-0.0
01/01/1999,85.1,-1.8,85.4,-0.1,85.3,-0.3,-0.2
01/02/1999,85.2,-1.7,85.4,-0.1,85.3,0.0,-0.1
01/03/1999,85.3,-1.6,85.4,-0.0,85.3,0.1,-0.0
01/04/1999,85.4,-1.5,85.4,0.0,85.3,0.0,-0.1
01/05/1999,85.5,-1.2,85.5,0.1,85.4,0.1,-0.1
01/06/1999,85.6,-0.9,85.6,0.1,85.6,0.2,-0.0
01/07/1999,85.8,-0.6,85.7,0.2,85.7,0.2,0.0
01/08/1999,85.9,-0.3,85.9,0.2,85.8,0.1,-0.1
01/09/1999,86.1,0.1,86.1,0.2,86.0,0.2,-0.1
01/10/1999,86.3,0.8,86.3,0.3,86.2,0.3,-0.1
01/11/1999,86.4,0.9,86.5,0.3,86.4,0.2,-0.1
01/12/1999,86.8,1.6,86.8,0.3,86.9,0.5,0.1
01/01/2000,87.1,2.4,87.1,0.3,87.3,0.4,0.2
01/02/2000,87.3,2.5,87.3,0.3,87.4,0.2,0.1
01/03/2000,87.5,2.6,87.6,0.3,87.6,0.2,-0.0
01/04/2000,87.9,2.9,87.9,0.3,87.9,0.3,-0.0
01/05/2000,88.3,3.3,88.1,0.3,88.1,0.3,0.0
01/06/2000,88.3,3.2,88.4,0.3,88.2,0.1,-0.1
01/07/2000,88.5,3.1,88.6,0.3,88.5,0.2,-0.1
01/08/2000,88.8,3.4,88.8,0.2,88.8,0.4,0.0
01/09/2000,89.2,3.6,89.0,0.2,89.1,0.3,0.1
01/10/2000,89.6,3.8,89.2,0.2,89.5,0.4,0.3
01/11/2000,89.5,3.6,89.3,0.1,89.5,0.0,0.2
01/12/2000,89.2,2.8,89.4,0.1,89.3,-0.2,-0.0
01/01/2001,89.1,2.3,89.5,0.1,89.3,-0.0,-0.1
01/02/2001,89.3,2.3,89.5,0.1,89.5,0.1,-0.1
01/03/2001,89.4,2.2,89.5,0.0,89.5,0.0,-0.1
01/04/2001,89.6,1.9,89.5,-0.0,89.5,0.0,-0.0
01/05/2001,89.8,1.7,89.5,-0.0,89.6,0.1,0.1
01/06/2001,89.8,1.7,89.5,-0.0,89.6,0.0,0.2
01/07/2001,89.7,1.4,89.4,-0.1,89.6,-0.0,0.2
01/08/2001,89.3,0.6,89.4,-0.1,89.3,-0.3,-0.0
01/09/2001,89.2,0.0,89.3,-0.1,89.2,-0.2,-0.1
01/10/2001,89.0,-0.7,89.3,-0.1,89.0,-0.2,-0.2
01/11/2001,89.0,-0.6,89.2,-0.0,89.1,0.1,-0.1
01/12/2001,89.0,-0.2,89.2,-0.0,89.2,0.1,-0.0
01/01/2002,89.0,-0.1,89.1,-0.0,89.1,-0.0,-0.0
01/02/2002,89.0,-0.3,89.1,-0.0,89.1,-0.1,-0.1
01/03/2002,89.2,-0.2,89.1,-0.0,89.1,0.1,0.0
01/04/2002,89.3,-0.3,89.1,-0.0,89.1,0.0,0.0
01/05/2002,89.2,-0.7,89.1,0.0,89.1,-0.0,-0.0
01/06/2002,89.2,-0.7,89.1,0.0,89.1,0.0,0.0
01/07/2002,89.1,-0.7,89.1,0.0,89.1,-0.0,-0.1
01/08/2002,89.1,-0.2,89.2,0.0,89.1,0.1,-0.0
01/09/2002,89.2,0.0,89.2,0.0,89.2,0.0,0.0
01/10/2002,89.1,0.1,89.2,-0.0,89.2,0.0,0.0
01/11/2002,89.0,-0.0,89.2,-0.0,89.1,-0.1,-0.0
01/12/2002,89.0,-0.0,89.1,-0.0,89.2,0.1,0.0
01/01/2003,89.2,0.2,89.1,-0.0,89.3,0.1,0.2
01/02/2003,89.3,0.3,89.1,-0.0,89.3,0.0,0.2
01/03/2003,89.3,0.1,89.0,-0.0,89.1,-0.2,0.1
01/04/2003,89.2,-0.1,89.0,-0.1,89.0,-0.2,0.0
01/05/2003,88.9,-0.3,88.9,-0.1,88.8,-0.2,-0.1
01/06/2003,88.7,-0.6,88.9,-0.1,88.8,-0.1,-0.1
01/07/2003,88.7,-0.4,88.8,-0.0,88.8,0.0,-0.1
01/08/2003,88.8,-0.3,88.8,-0.0,88.8,-0.0,-0.0
01/09/2003,88.9,-0.3,88.8,-0.0,88.8,0.0,0.0
01/10/2003,88.8,-0.3,88.8,-0.0,88.7,-0.1,-0.0
01/11/2003,88.8,-0.2,88.8,0.0,88.8,0.1,0.0
01/12/2003,88.6,-0.4,88.8,0.0,88.8,0.0,-0.0
01/01/2004,88.6,-0.7,88.9,0.1,88.8,-0.1,-0.1
01/02/2004,88.7,-0.7,89.0,0.1,88.8,0.0,-0.2
01/03/2004,89.1,-0.2,89.1,0.1,89.0,0.3,-0.1
01/04/2004,89.4,0.2,89.2,0.1,89.2,0.3,0.0
01/05/2004,89.6,0.8,89.3,0.1,89.5,0.3,0.2
01/06/2004,89.4,0.8,89.4,0.1,89.5,-0.1,0.1
01/07/2004,89.5,0.9,89.5,0.1,89.5,0.1,0.0
01/08/2004,89.8,1.1,89.6,0.1,89.7,0.2,0.1
01/09/2004,89.8,1.0,89.7,0.1,89.7,-0.0,-0.0
01/10/2004,90.0,1.4,89.8,0.1,89.8,0.2,0.1
01/11/2004,89.9,1.2,89.8,0.1,89.9,0.0,0.1
01/12/2004,89.5,1.0,89.9,0.1,89.8,-0.1,-0.0
01/01/2005,89.8,1.4,89.9,0.1,90.0,0.2,0.1
01/02/2005,90.0,1.5,90.0,0.0,90.1,0.1,0.1
01/03/2005,90.1,1.1,90.0,0.0,90.1,-0.0,0.1
01/04/2005,90.1,0.8,90.0,0.0,90.0,-0.1,-0.1
01/05/2005,89.9,0.3,90.1,0.1,89.9,-0.1,-0.2
01/06/2005,90.1,0.8,90.1,0.1,90.1,0.3,-0.0
01/07/2005,90.3,0.9,90.2,0.1,90.2,0.1,-0.0
01/08/2005,90.3,0.6,90.3,0.1,90.2,0.0,-0.1
01/09/2005,90.6,0.9,90.4,0.1,90.5,0.3,0.1
01/10/2005,90.7,0.8,90.6,0.1,90.5,0.0,-0.0
01/11/2005,90.6,0.8,90.7,0.2,90.6,0.1,-0.1
01/12/2005,90.5,1.1,90.8,0.2,90.8,0.2,-0.0
01/01/2006,90.7,1.0,91.0,0.2,90.9,0.1,-0.1
01/02/2006,91.0,1.1,91.2,0.2,91.1,0.2,-0.1
01/03/2006,91.3,1.3,91.3,0.2,91.3,0.2,-0.0
01/04/2006,91.7,1.8,91.5,0.2,91.5,0.3,0.0
01/05/2006,91.9,2.2,91.7,0.2,91.8,0.3,0.1
01/06/2006,91.9,2.0,91.8,0.2,91.8,0.0,0.0
01/07/2006,92.2,2.1,91.9,0.1,92.0,0.2,0.0
01/08/2006,92.2,2.1,92.1,0.1,92.1,0.1,0.0
01/09/2006,92.1,1.7,92.2,0.1,92.1,-0.0,-0.1
01/10/2006,92.4,1.9,92.3,0.1,92.4,0.3,0.1
01/11/2006,92.4,2.0,92.4,0.1,92.5,0.2,0.1
01/12/2006,92.3,2.0,92.5,0.1,92.7,0.1,0.2
01/01/2007,92.4,1.9,92.6,0.1,92.6,-0.0,0.0
01/02/2007,92.5,1.6,92.6,0.1,92.6,0.0,-0.0
01/03/2007,92.6,1.4,92.7,0.1,92.7,0.1,0.0
01/04/2007,92.9,1.3,92.7,0.1,92.8,0.1,0.1
01/05/2007,93.0,1.2,92.8,0.1,92.8,-0.0,0.0
01/06/2007,93.1,1.3,92.9,0.1,92.8,0.0,-0.0
01/07/2007,93.2,1.1,92.9,0.1,92.8,-0.1,-0.2
01/08/2007,93.1,1.0,93.0,0.1,92.8,0.0,-0.2
01/09/2007,93.1,1.1,93.1,0.1,92.9,0.1,-0.2
01/10/2007,93.1,0.8,93.3,0.2,93.1,0.2,-0.2
01/11/2007,93.1,0.8,93.5,0.2,93.3,0.3,-0.1
01/12/2007,93.0,0.8,93.7,0.2,93.6,0.3,-0.1
01/01/2008,93.7,1.4,93.9,0.3,94.0,0.5,0.1
