date,indicator,value
01/07/1997,originalwert_kettenindex_2020100,58.85
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,60.43
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.9
01/10/1997,originalwert_kettenindex_2020100,69.78
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,62.40
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,3.3
01/01/1998,originalwert_kettenindex_2020100,59.56
01/01/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,13.4
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,65.57
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,5.1
01/04/1998,originalwert_kettenindex_2020100,65.22
01/04/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,8.1
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,66.42
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.3
01/07/1998,originalwert_kettenindex_2020100,66.22
01/07/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,12.5
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,67.81
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,2.1
01/10/1998,originalwert_kettenindex_2020100,78.49
01/10/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,12.5
01/10/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,68.70
01/10/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.3
01/01/1999,originalwert_kettenindex_2020100,65.23
01/01/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,9.5
01/01/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,71.47
01/01/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,4.0
01/04/1999,originalwert_kettenindex_2020100,70.89
01/04/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,8.7
01/04/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,71.22
01/04/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.3
01/07/1999,originalwert_kettenindex_2020100,71.15
01/07/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,7.4
01/07/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,72.87
01/07/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,2.3
01/10/1999,originalwert_kettenindex_2020100,83.58
01/10/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,6.5
01/10/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,73.02
01/10/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.2
01/01/2000,originalwert_kettenindex_2020100,71.74
01/01/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,10.0
01/01/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,77.04
01/01/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,5.5
01/04/2000,originalwert_kettenindex_2020100,77.81
01/04/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,9.8
01/04/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,79.07
01/04/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,2.6
01/07/2000,originalwert_kettenindex_2020100,79.24
01/07/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,11.4
01/07/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,82.44
01/07/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,4.3
01/10/2000,originalwert_kettenindex_2020100,91.32
01/10/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,9.3
01/10/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,81.64
01/10/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-1.0
01/01/2001,originalwert_kettenindex_2020100,76.34
01/01/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,6.4
01/01/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,82.38
01/01/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.9
01/04/2001,originalwert_kettenindex_2020100,77.59
01/04/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-0.3
01/04/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,78.64
01/04/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-4.5
01/07/2001,originalwert_kettenindex_2020100,73.50
01/07/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-7.2
01/07/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,76.24
01/07/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-3.1
01/10/2001,originalwert_kettenindex_2020100,82.93
01/10/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-9.2
01/10/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,74.46
01/10/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-2.3
01/01/2002,originalwert_kettenindex_2020100,64.46
01/01/2002,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-15.6
01/01/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,71.63
01/01/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-3.8
01/04/2002,originalwert_kettenindex_2020100,71.93
01/04/2002,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-7.3
01/04/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,72.21
01/04/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.8
01/07/2002,originalwert_kettenindex_2020100,69.21
01/07/2002,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-5.8
01/07/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,71.10
01/07/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-1.5
01/10/2002,originalwert_kettenindex_2020100,78.94
01/10/2002,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-4.8
01/10/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,71.12
01/10/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.0
01/01/2003,originalwert_kettenindex_2020100,65.24
01/01/2003,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.2
01/01/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,72.04
01/01/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.3
01/04/2003,originalwert_kettenindex_2020100,69.74
01/04/2003,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-3.0
01/04/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,70.78
01/04/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-1.7
01/07/2003,originalwert_kettenindex_2020100,69.06
01/07/2003,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-0.2
01/07/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,70.82
01/07/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.1
01/10/2003,originalwert_kettenindex_2020100,79.25
01/10/2003,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.4
01/10/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,70.88
01/10/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.1
01/01/2004,originalwert_kettenindex_2020100,63.36
01/01/2004,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-2.9
01/01/2004,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,69.06
01/01/2004,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-2.6
01/04/2004,originalwert_kettenindex_2020100,73.38
01/04/2004,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,5.2
01/04/2004,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,73.57
01/04/2004,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,6.5
01/07/2004,originalwert_kettenindex_2020100,72.40
01/07/2004,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,4.8
01/07/2004,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,74.41
01/07/2004,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.1
01/10/2004,originalwert_kettenindex_2020100,84.40
01/10/2004,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,6.5
01/10/2004,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,73.67
01/10/2004,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-1.0
01/01/2005,originalwert_kettenindex_2020100,66.00
01/01/2005,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,4.2
01/01/2005,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,74.18
01/01/2005,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.7
01/04/2005,originalwert_kettenindex_2020100,77.84
01/04/2005,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,6.1
01/04/2005,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,76.27
01/04/2005,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,2.8
01/07/2005,originalwert_kettenindex_2020100,75.84
01/07/2005,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,4.8
01/07/2005,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,78.34
01/07/2005,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,2.7
01/10/2005,originalwert_kettenindex_2020100,94.08
01/10/2005,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,11.5
01/10/2005,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,83.21
01/10/2005,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,6.2
01/01/2006,originalwert_kettenindex_2020100,76.46
01/01/2006,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,15.8
01/01/2006,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,82.74
01/01/2006,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.6
01/04/2006,originalwert_kettenindex_2020100,88.59
01/04/2006,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,13.8
01/04/2006,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,90.23
01/04/2006,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,9.1
01/07/2006,originalwert_kettenindex_2020100,83.88
01/07/2006,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,10.6
01/07/2006,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,87.78
01/07/2006,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-2.7
01/10/2006,originalwert_kettenindex_2020100,103.02
01/10/2006,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,9.5
01/10/2006,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,91.76
01/10/2006,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,4.5
01/01/2007,originalwert_kettenindex_2020100,84.65
01/01/2007,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,10.7
01/01/2007,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,92.34
01/01/2007,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.6
01/04/2007,originalwert_kettenindex_2020100,93.78
01/04/2007,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,5.9
01/04/2007,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,95.15
01/04/2007,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,3.0
01/07/2007,originalwert_kettenindex_2020100,91.15
01/07/2007,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,8.7
01/07/2007,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,95.37
01/07/2007,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.2
