date,indicator,value
01/03/2019,index_der_durchschnittswerte_importe_2010100,90.3
01/03/2019,index_der_durchschnittswerte_exporte_2010100,91.6
01/03/2019,austauschverhaeltnis_terms_of_trade,101.4
01/04/2019,index_der_durchschnittswerte_importe_2010100,89.9
01/04/2019,index_der_durchschnittswerte_exporte_2010100,91.3
01/04/2019,austauschverhaeltnis_terms_of_trade,101.6
01/05/2019,index_der_durchschnittswerte_importe_2010100,90.0
01/05/2019,index_der_durchschnittswerte_exporte_2010100,91.5
01/05/2019,austauschverhaeltnis_terms_of_trade,101.7
01/06/2019,index_der_durchschnittswerte_importe_2010100,90.4
01/06/2019,index_der_durchschnittswerte_exporte_2010100,92.2
01/06/2019,austauschverhaeltnis_terms_of_trade,102.0
01/07/2019,index_der_durchschnittswerte_importe_2010100,89.9
01/07/2019,index_der_durchschnittswerte_exporte_2010100,92.8
01/07/2019,austauschverhaeltnis_terms_of_trade,103.2
01/08/2019,index_der_durchschnittswerte_importe_2010100,89.0
01/08/2019,index_der_durchschnittswerte_exporte_2010100,92.3
01/08/2019,austauschverhaeltnis_terms_of_trade,103.7
01/09/2019,index_der_durchschnittswerte_importe_2010100,89.8
01/09/2019,index_der_durchschnittswerte_exporte_2010100,92.2
01/09/2019,austauschverhaeltnis_terms_of_trade,102.7
01/10/2019,index_der_durchschnittswerte_importe_2010100,92.4
01/10/2019,index_der_durchschnittswerte_exporte_2010100,93.5
01/10/2019,austauschverhaeltnis_terms_of_trade,101.2
01/11/2019,index_der_durchschnittswerte_importe_2010100,92.1
01/11/2019,index_der_durchschnittswerte_exporte_2010100,93.6
01/11/2019,austauschverhaeltnis_terms_of_trade,101.6
01/12/2019,index_der_durchschnittswerte_importe_2010100,93.1
01/12/2019,index_der_durchschnittswerte_exporte_2010100,95.7
01/12/2019,austauschverhaeltnis_terms_of_trade,102.8
01/01/2020,index_der_durchschnittswerte_importe_2010100,92.0
01/01/2020,index_der_durchschnittswerte_exporte_2010100,93.1
01/01/2020,austauschverhaeltnis_terms_of_trade,101.2
01/02/2020,index_der_durchschnittswerte_importe_2010100,90.9
01/02/2020,index_der_durchschnittswerte_exporte_2010100,93.9
01/02/2020,austauschverhaeltnis_terms_of_trade,103.3
