date,indicator,value
01/03/2003,gebaeudebaumassnahmen_anzahl,27791
01/03/2003,wohnungen_anzahl,27721
01/03/2003,wohnflaeche_1000_m2,3443
01/03/2003,veranschlagte_kosten_des_bauwerks_1000_eur,6354329
01/04/2003,gebaeudebaumassnahmen_anzahl,25250
01/04/2003,wohnungen_anzahl,24889
01/04/2003,wohnflaeche_1000_m2,3045
01/04/2003,veranschlagte_kosten_des_bauwerks_1000_eur,5634438
01/05/2003,gebaeudebaumassnahmen_anzahl,24138
01/05/2003,wohnungen_anzahl,23031
01/05/2003,wohnflaeche_1000_m2,2797
01/05/2003,veranschlagte_kosten_des_bauwerks_1000_eur,6243105
01/06/2003,gebaeudebaumassnahmen_anzahl,23241
01/06/2003,wohnungen_anzahl,22051
01/06/2003,wohnflaeche_1000_m2,2657
01/06/2003,veranschlagte_kosten_des_bauwerks_1000_eur,5966082
01/07/2003,gebaeudebaumassnahmen_anzahl,24136
01/07/2003,wohnungen_anzahl,22282
01/07/2003,wohnflaeche_1000_m2,2712
01/07/2003,veranschlagte_kosten_des_bauwerks_1000_eur,5745391
01/08/2003,gebaeudebaumassnahmen_anzahl,21258
01/08/2003,wohnungen_anzahl,20926
01/08/2003,wohnflaeche_1000_m2,2471
01/08/2003,veranschlagte_kosten_des_bauwerks_1000_eur,5231148
01/09/2003,gebaeudebaumassnahmen_anzahl,21844
01/09/2003,wohnungen_anzahl,21112
01/09/2003,wohnflaeche_1000_m2,2501
01/09/2003,veranschlagte_kosten_des_bauwerks_1000_eur,5240981
01/10/2003,gebaeudebaumassnahmen_anzahl,22828
01/10/2003,wohnungen_anzahl,22418
01/10/2003,wohnflaeche_1000_m2,2666
01/10/2003,veranschlagte_kosten_des_bauwerks_1000_eur,5247617
01/11/2003,gebaeudebaumassnahmen_anzahl,21140
01/11/2003,wohnungen_anzahl,20728
01/11/2003,wohnflaeche_1000_m2,2492
01/11/2003,veranschlagte_kosten_des_bauwerks_1000_eur,4922114
01/12/2003,gebaeudebaumassnahmen_anzahl,27890
01/12/2003,wohnungen_anzahl,30672
01/12/2003,wohnflaeche_1000_m2,3664
01/12/2003,veranschlagte_kosten_des_bauwerks_1000_eur,6803535
01/01/2004,gebaeudebaumassnahmen_anzahl,29742
01/01/2004,wohnungen_anzahl,29390
01/01/2004,wohnflaeche_1000_m2,3719
01/01/2004,veranschlagte_kosten_des_bauwerks_1000_eur,6126580
01/02/2004,gebaeudebaumassnahmen_anzahl,29318
01/02/2004,wohnungen_anzahl,29143
01/02/2004,wohnflaeche_1000_m2,3677
01/02/2004,veranschlagte_kosten_des_bauwerks_1000_eur,6326010
01/03/2004,gebaeudebaumassnahmen_anzahl,30115
01/03/2004,wohnungen_anzahl,30318
01/03/2004,wohnflaeche_1000_m2,3755
01/03/2004,veranschlagte_kosten_des_bauwerks_1000_eur,6608498
01/04/2004,gebaeudebaumassnahmen_anzahl,22749
01/04/2004,wohnungen_anzahl,23467
01/04/2004,wohnflaeche_1000_m2,2808
01/04/2004,veranschlagte_kosten_des_bauwerks_1000_eur,5262908
01/05/2004,gebaeudebaumassnahmen_anzahl,21308
01/05/2004,wohnungen_anzahl,19976
01/05/2004,wohnflaeche_1000_m2,2449
01/05/2004,veranschlagte_kosten_des_bauwerks_1000_eur,4895237
01/06/2004,gebaeudebaumassnahmen_anzahl,21844
01/06/2004,wohnungen_anzahl,20143
01/06/2004,wohnflaeche_1000_m2,2439
01/06/2004,veranschlagte_kosten_des_bauwerks_1000_eur,5299888
01/07/2004,gebaeudebaumassnahmen_anzahl,20015
01/07/2004,wohnungen_anzahl,18531
01/07/2004,wohnflaeche_1000_m2,2220
01/07/2004,veranschlagte_kosten_des_bauwerks_1000_eur,4982622
01/08/2004,gebaeudebaumassnahmen_anzahl,20033
01/08/2004,wohnungen_anzahl,19244
01/08/2004,wohnflaeche_1000_m2,2290
01/08/2004,veranschlagte_kosten_des_bauwerks_1000_eur,4786599
01/09/2004,gebaeudebaumassnahmen_anzahl,18907
01/09/2004,wohnungen_anzahl,18250
01/09/2004,wohnflaeche_1000_m2,2150
01/09/2004,veranschlagte_kosten_des_bauwerks_1000_eur,4660198
01/10/2004,gebaeudebaumassnahmen_anzahl,18823
01/10/2004,wohnungen_anzahl,18693
01/10/2004,wohnflaeche_1000_m2,2166
01/10/2004,veranschlagte_kosten_des_bauwerks_1000_eur,4690005
01/11/2004,gebaeudebaumassnahmen_anzahl,18328
01/11/2004,wohnungen_anzahl,19125
01/11/2004,wohnflaeche_1000_m2,2189
01/11/2004,veranschlagte_kosten_des_bauwerks_1000_eur,4435496
01/12/2004,gebaeudebaumassnahmen_anzahl,20505
01/12/2004,wohnungen_anzahl,21843
01/12/2004,wohnflaeche_1000_m2,2580
01/12/2004,veranschlagte_kosten_des_bauwerks_1000_eur,5371979
01/01/2005,gebaeudebaumassnahmen_anzahl,20242
01/01/2005,wohnungen_anzahl,20503
01/01/2005,wohnflaeche_1000_m2,2510
01/01/2005,veranschlagte_kosten_des_bauwerks_1000_eur,4576081
01/02/2005,gebaeudebaumassnahmen_anzahl,19035
01/02/2005,wohnungen_anzahl,19977
01/02/2005,wohnflaeche_1000_m2,2384
01/02/2005,veranschlagte_kosten_des_bauwerks_1000_eur,4479558
01/03/2005,gebaeudebaumassnahmen_anzahl,20233
01/03/2005,wohnungen_anzahl,20475
01/03/2005,wohnflaeche_1000_m2,2438
01/03/2005,veranschlagte_kosten_des_bauwerks_1000_eur,5034232
01/04/2005,gebaeudebaumassnahmen_anzahl,19726
01/04/2005,wohnungen_anzahl,18562
01/04/2005,wohnflaeche_1000_m2,2286
01/04/2005,veranschlagte_kosten_des_bauwerks_1000_eur,4520264
01/05/2005,gebaeudebaumassnahmen_anzahl,19167
01/05/2005,wohnungen_anzahl,18658
01/05/2005,wohnflaeche_1000_m2,2228
01/05/2005,veranschlagte_kosten_des_bauwerks_1000_eur,4531981
01/06/2005,gebaeudebaumassnahmen_anzahl,20829
01/06/2005,wohnungen_anzahl,19567
01/06/2005,wohnflaeche_1000_m2,2331
01/06/2005,veranschlagte_kosten_des_bauwerks_1000_eur,4704970
01/07/2005,gebaeudebaumassnahmen_anzahl,19779
01/07/2005,wohnungen_anzahl,18674
01/07/2005,wohnflaeche_1000_m2,2229
01/07/2005,veranschlagte_kosten_des_bauwerks_1000_eur,4813253
01/08/2005,gebaeudebaumassnahmen_anzahl,21112
01/08/2005,wohnungen_anzahl,19501
01/08/2005,wohnflaeche_1000_m2,2361
01/08/2005,veranschlagte_kosten_des_bauwerks_1000_eur,4988817
01/09/2005,gebaeudebaumassnahmen_anzahl,20038
01/09/2005,wohnungen_anzahl,20013
01/09/2005,wohnflaeche_1000_m2,2372
01/09/2005,veranschlagte_kosten_des_bauwerks_1000_eur,4999805
01/10/2005,gebaeudebaumassnahmen_anzahl,18562
01/10/2005,wohnungen_anzahl,18195
01/10/2005,wohnflaeche_1000_m2,2140
01/10/2005,veranschlagte_kosten_des_bauwerks_1000_eur,4637769
01/11/2005,gebaeudebaumassnahmen_anzahl,19588
01/11/2005,wohnungen_anzahl,20480
01/11/2005,wohnflaeche_1000_m2,2408
01/11/2005,veranschlagte_kosten_des_bauwerks_1000_eur,4814986
01/12/2005,gebaeudebaumassnahmen_anzahl,23791
01/12/2005,wohnungen_anzahl,25883
01/12/2005,wohnflaeche_1000_m2,3117
01/12/2005,veranschlagte_kosten_des_bauwerks_1000_eur,5952276
01/01/2006,gebaeudebaumassnahmen_anzahl,25411
01/01/2006,wohnungen_anzahl,26977
01/01/2006,wohnflaeche_1000_m2,3337
01/01/2006,veranschlagte_kosten_des_bauwerks_1000_eur,5696986
01/02/2006,gebaeudebaumassnahmen_anzahl,23376
01/02/2006,wohnungen_anzahl,24900
01/02/2006,wohnflaeche_1000_m2,3078
01/02/2006,veranschlagte_kosten_des_bauwerks_1000_eur,5532812
01/03/2006,gebaeudebaumassnahmen_anzahl,25734
01/03/2006,wohnungen_anzahl,27337
01/03/2006,wohnflaeche_1000_m2,3345
01/03/2006,veranschlagte_kosten_des_bauwerks_1000_eur,6329380
01/04/2006,gebaeudebaumassnahmen_anzahl,21097
01/04/2006,wohnungen_anzahl,21148
01/04/2006,wohnflaeche_1000_m2,2561
01/04/2006,veranschlagte_kosten_des_bauwerks_1000_eur,5097946
01/05/2006,gebaeudebaumassnahmen_anzahl,22514
