date,indicator,value
01/03/2003,gebaeudebaumassnahmen_anzahl,20078
01/03/2003,wohnungen_anzahl,24944
01/03/2003,wohnflaeche_1000_m2,3002
01/03/2003,veranschlagte_kosten_des_bauwerks_1000_eur,5430185
01/04/2003,gebaeudebaumassnahmen_anzahl,17544
01/04/2003,wohnungen_anzahl,22366
01/04/2003,wohnflaeche_1000_m2,2633
01/04/2003,veranschlagte_kosten_des_bauwerks_1000_eur,4696977
01/05/2003,gebaeudebaumassnahmen_anzahl,16419
01/05/2003,wohnungen_anzahl,20526
01/05/2003,wohnflaeche_1000_m2,2389
01/05/2003,veranschlagte_kosten_des_bauwerks_1000_eur,5112874
01/06/2003,gebaeudebaumassnahmen_anzahl,15626
01/06/2003,wohnungen_anzahl,19474
01/06/2003,wohnflaeche_1000_m2,2259
01/06/2003,veranschlagte_kosten_des_bauwerks_1000_eur,4966314
01/07/2003,gebaeudebaumassnahmen_anzahl,16233
01/07/2003,wohnungen_anzahl,19934
01/07/2003,wohnflaeche_1000_m2,2316
01/07/2003,veranschlagte_kosten_des_bauwerks_1000_eur,4681992
01/08/2003,gebaeudebaumassnahmen_anzahl,14460
01/08/2003,wohnungen_anzahl,18793
01/08/2003,wohnflaeche_1000_m2,2126
01/08/2003,veranschlagte_kosten_des_bauwerks_1000_eur,4356630
01/09/2003,gebaeudebaumassnahmen_anzahl,14936
01/09/2003,wohnungen_anzahl,18749
01/09/2003,wohnflaeche_1000_m2,2147
01/09/2003,veranschlagte_kosten_des_bauwerks_1000_eur,4266807
01/10/2003,gebaeudebaumassnahmen_anzahl,15993
01/10/2003,wohnungen_anzahl,20234
01/10/2003,wohnflaeche_1000_m2,2324
01/10/2003,veranschlagte_kosten_des_bauwerks_1000_eur,4279349
01/11/2003,gebaeudebaumassnahmen_anzahl,15096
01/11/2003,wohnungen_anzahl,18682
01/11/2003,wohnflaeche_1000_m2,2182
01/11/2003,veranschlagte_kosten_des_bauwerks_1000_eur,4069219
01/12/2003,gebaeudebaumassnahmen_anzahl,21349
01/12/2003,wohnungen_anzahl,28066
01/12/2003,wohnflaeche_1000_m2,3284
01/12/2003,veranschlagte_kosten_des_bauwerks_1000_eur,5849027
01/01/2004,gebaeudebaumassnahmen_anzahl,22357
01/01/2004,wohnungen_anzahl,26811
01/01/2004,wohnflaeche_1000_m2,3309
01/01/2004,veranschlagte_kosten_des_bauwerks_1000_eur,5293194
01/02/2004,gebaeudebaumassnahmen_anzahl,21189
01/02/2004,wohnungen_anzahl,26165
01/02/2004,wohnflaeche_1000_m2,3188
01/02/2004,veranschlagte_kosten_des_bauwerks_1000_eur,5340624
01/03/2004,gebaeudebaumassnahmen_anzahl,21160
01/03/2004,wohnungen_anzahl,27076
01/03/2004,wohnflaeche_1000_m2,3244
01/03/2004,veranschlagte_kosten_des_bauwerks_1000_eur,5548907
01/04/2004,gebaeudebaumassnahmen_anzahl,15491
01/04/2004,wohnungen_anzahl,20861
01/04/2004,wohnflaeche_1000_m2,2405
01/04/2004,veranschlagte_kosten_des_bauwerks_1000_eur,4399066
01/05/2004,gebaeudebaumassnahmen_anzahl,14150
01/05/2004,wohnungen_anzahl,17830
01/05/2004,wohnflaeche_1000_m2,2063
01/05/2004,veranschlagte_kosten_des_bauwerks_1000_eur,4021902
