date,indicator,value
01/03/2017,anzahl_der_betriebe,8153
01/03/2017,taetige_personen_1000,436
01/03/2017,entgelte_1000_eur,1299904
01/03/2017,geleistete_arbeitsstunden_1000,48744
01/04/2017,anzahl_der_betriebe,8157
01/04/2017,taetige_personen_1000,441
01/04/2017,entgelte_1000_eur,1366026
01/04/2017,geleistete_arbeitsstunden_1000,44948
01/05/2017,anzahl_der_betriebe,8146
01/05/2017,taetige_personen_1000,444
01/05/2017,entgelte_1000_eur,1442335
01/05/2017,geleistete_arbeitsstunden_1000,50819
01/06/2017,anzahl_der_betriebe,8134
01/06/2017,taetige_personen_1000,445
01/06/2017,entgelte_1000_eur,1436016
01/06/2017,geleistete_arbeitsstunden_1000,49087
01/07/2017,anzahl_der_betriebe,8117
01/07/2017,taetige_personen_1000,447
01/07/2017,entgelte_1000_eur,1428642
01/07/2017,geleistete_arbeitsstunden_1000,48398
01/08/2017,anzahl_der_betriebe,8107
01/08/2017,taetige_personen_1000,450
01/08/2017,entgelte_1000_eur,1467550
01/08/2017,geleistete_arbeitsstunden_1000,49724
01/09/2017,anzahl_der_betriebe,8091
01/09/2017,taetige_personen_1000,451
01/09/2017,entgelte_1000_eur,1404568
01/09/2017,geleistete_arbeitsstunden_1000,50248
01/10/2017,anzahl_der_betriebe,8074
01/10/2017,taetige_personen_1000,450
01/10/2017,entgelte_1000_eur,1438265
01/10/2017,geleistete_arbeitsstunden_1000,47770
01/11/2017,anzahl_der_betriebe,8064
01/11/2017,taetige_personen_1000,448
01/11/2017,entgelte_1000_eur,1718504
01/11/2017,geleistete_arbeitsstunden_1000,51704
01/12/2017,anzahl_der_betriebe,8050
01/12/2017,taetige_personen_1000,441
01/12/2017,entgelte_1000_eur,1356767
01/12/2017,geleistete_arbeitsstunden_1000,34996
01/01/2018,anzahl_der_betriebe,8499
01/01/2018,taetige_personen_1000,448
01/01/2018,entgelte_1000_eur,1302877
01/01/2018,geleistete_arbeitsstunden_1000,34406
01/02/2018,anzahl_der_betriebe,8491
01/02/2018,taetige_personen_1000,448
01/02/2018,entgelte_1000_eur,1166950
01/02/2018,geleistete_arbeitsstunden_1000,32337
01/03/2018,anzahl_der_betriebe,8498
01/03/2018,taetige_personen_1000,455
01/03/2018,entgelte_1000_eur,1305193
01/03/2018,geleistete_arbeitsstunden_1000,42395
01/04/2018,anzahl_der_betriebe,8475
01/04/2018,taetige_personen_1000,460
01/04/2018,entgelte_1000_eur,1498297
01/04/2018,geleistete_arbeitsstunden_1000,49999
01/05/2018,anzahl_der_betriebe,8472
01/05/2018,taetige_personen_1000,463
01/05/2018,entgelte_1000_eur,1557122
01/05/2018,geleistete_arbeitsstunden_1000,50156
01/06/2018,anzahl_der_betriebe,8460
01/06/2018,taetige_personen_1000,467
01/06/2018,entgelte_1000_eur,1546713
01/06/2018,geleistete_arbeitsstunden_1000,52356
01/07/2018,anzahl_der_betriebe,8445
01/07/2018,taetige_personen_1000,468
01/07/2018,entgelte_1000_eur,1607665
01/07/2018,geleistete_arbeitsstunden_1000,52587
01/08/2018,anzahl_der_betriebe,8431
01/08/2018,taetige_personen_1000,472
01/08/2018,entgelte_1000_eur,1596055
01/08/2018,geleistete_arbeitsstunden_1000,50977
01/09/2018,anzahl_der_betriebe,8418
01/09/2018,taetige_personen_1000,474
01/09/2018,entgelte_1000_eur,1510032
01/09/2018,geleistete_arbeitsstunden_1000,51110
01/10/2018,anzahl_der_betriebe,8403
01/10/2018,taetige_personen_1000,474
01/10/2018,entgelte_1000_eur,1623065
01/10/2018,geleistete_arbeitsstunden_1000,54685
01/11/2018,anzahl_der_betriebe,8397
01/11/2018,taetige_personen_1000,472
01/11/2018,entgelte_1000_eur,1938409
01/11/2018,geleistete_arbeitsstunden_1000,53187
01/12/2018,anzahl_der_betriebe,8390
01/12/2018,taetige_personen_1000,464
01/12/2018,entgelte_1000_eur,1497691
01/12/2018,geleistete_arbeitsstunden_1000,36603
01/01/2019,anzahl_der_betriebe,8858
01/01/2019,taetige_personen_1000,473
01/01/2019,entgelte_1000_eur,1399378
01/01/2019,geleistete_arbeitsstunden_1000,33184
01/02/2019,anzahl_der_betriebe,8846
01/02/2019,taetige_personen_1000,474
01/02/2019,entgelte_1000_eur,1355499
01/02/2019,geleistete_arbeitsstunden_1000,40464
01/03/2019,anzahl_der_betriebe,8842
01/03/2019,taetige_personen_1000,481
01/03/2019,entgelte_1000_eur,1453858
01/03/2019,geleistete_arbeitsstunden_1000,47565
01/04/2019,anzahl_der_betriebe,8839
01/04/2019,taetige_personen_1000,485
01/04/2019,entgelte_1000_eur,1682307
01/04/2019,geleistete_arbeitsstunden_1000,52753
01/05/2019,anzahl_der_betriebe,8833
01/05/2019,taetige_personen_1000,487
01/05/2019,entgelte_1000_eur,1662244
01/05/2019,geleistete_arbeitsstunden_1000,53737
01/06/2019,anzahl_der_betriebe,8822
01/06/2019,taetige_personen_1000,488
01/06/2019,entgelte_1000_eur,1694374
01/06/2019,geleistete_arbeitsstunden_1000,49075
01/07/2019,anzahl_der_betriebe,8804
01/07/2019,taetige_personen_1000,490
01/07/2019,entgelte_1000_eur,1743413
01/07/2019,geleistete_arbeitsstunden_1000,56737
01/08/2019,anzahl_der_betriebe,8789
01/08/2019,taetige_personen_1000,493
01/08/2019,entgelte_1000_eur,1666251
01/08/2019,geleistete_arbeitsstunden_1000,50472
01/09/2019,anzahl_der_betriebe,8784
01/09/2019,taetige_personen_1000,496
01/09/2019,entgelte_1000_eur,1637779
01/09/2019,geleistete_arbeitsstunden_1000,54425
01/10/2019,anzahl_der_betriebe,8775
01/10/2019,taetige_personen_1000,495
01/10/2019,entgelte_1000_eur,1724216
01/10/2019,geleistete_arbeitsstunden_1000,55623
01/11/2019,anzahl_der_betriebe,8770
01/11/2019,taetige_personen_1000,493
01/11/2019,entgelte_1000_eur,2038385
01/11/2019,geleistete_arbeitsstunden_1000,53296
01/12/2019,anzahl_der_betriebe,8748
01/12/2019,taetige_personen_1000,486
01/12/2019,entgelte_1000_eur,1632218
01/12/2019,geleistete_arbeitsstunden_1000,38570
01/01/2020,anzahl_der_betriebe,9183
01/01/2020,taetige_personen_1000,496
01/01/2020,entgelte_1000_eur,1543082
01/01/2020,geleistete_arbeitsstunden_1000,39883
01/01/2020,baugewerblicher_umsatz_mill_eur,4778
01/02/2020,anzahl_der_betriebe,9169
01/02/2020,taetige_personen_1000,496
01/02/2020,entgelte_1000_eur,1441113
01/02/2020,geleistete_arbeitsstunden_1000,41026
01/02/2020,baugewerblicher_umsatz_mill_eur,5710
01/03/2020,anzahl_der_betriebe,9163
01/03/2020,taetige_personen_1000,502
01/03/2020,entgelte_1000_eur,1568761
01/03/2020,geleistete_arbeitsstunden_1000,51196
01/03/2020,baugewerblicher_umsatz_mill_eur,7633
01/04/2020,anzahl_der_betriebe,9144
01/04/2020,taetige_personen_1000,502
01/04/2020,entgelte_1000_eur,1738278
01/04/2020,geleistete_arbeitsstunden_1000,53988
01/04/2020,baugewerblicher_umsatz_mill_eur,7763
01/05/2020,anzahl_der_betriebe,9135
01/05/2020,taetige_personen_1000,503
01/05/2020,entgelte_1000_eur,1663717
01/05/2020,geleistete_arbeitsstunden_1000,51699
01/05/2020,baugewerblicher_umsatz_mill_eur,7961
01/06/2020,anzahl_der_betriebe,9126
01/06/2020,taetige_personen_1000,505
01/06/2020,entgelte_1000_eur,1767859
01/06/2020,geleistete_arbeitsstunden_1000,54651
01/06/2020,baugewerblicher_umsatz_mill_eur,8762
01/07/2020,anzahl_der_betriebe,9117
01/07/2020,taetige_personen_1000,507
01/07/2020,entgelte_1000_eur,1834405
01/07/2020,geleistete_arbeitsstunden_1000,57807
01/07/2020,baugewerblicher_umsatz_mill_eur,8703
01/08/2020,anzahl_der_betriebe,9112
01/08/2020,taetige_personen_1000,510
01/08/2020,entgelte_1000_eur,1714048
01/08/2020,geleistete_arbeitsstunden_1000,49880
01/08/2020,baugewerblicher_umsatz_mill_eur,8021
01/09/2020,anzahl_der_betriebe,9095
01/09/2020,taetige_personen_1000,513
01/09/2020,entgelte_1000_eur,1775321
01/09/2020,geleistete_arbeitsstunden_1000,58170
01/09/2020,baugewerblicher_umsatz_mill_eur,8849
01/10/2020,anzahl_der_betriebe,9086
01/10/2020,taetige_personen_1000,511
01/10/2020,entgelte_1000_eur,1777102
01/10/2020,geleistete_arbeitsstunden_1000,57367
01/10/2020,baugewerblicher_umsatz_mill_eur,9163
01/11/2020,anzahl_der_betriebe,9078
01/11/2020,taetige_personen_1000,510
01/11/2020,entgelte_1000_eur,2122150
01/11/2020,geleistete_arbeitsstunden_1000,56672
01/11/2020,baugewerblicher_umsatz_mill_eur,9899
01/12/2020,anzahl_der_betriebe,9067
01/12/2020,taetige_personen_1000,503
01/12/2020,entgelte_1000_eur,1747841
01/12/2020,geleistete_arbeitsstunden_1000,40426
01/12/2020,baugewerblicher_umsatz_mill_eur,11011
01/01/2021,anzahl_der_betriebe,9413
01/01/2021,taetige_personen_1000,508
01/01/2021,entgelte_1000_eur,1486540
01/01/2021,geleistete_arbeitsstunden_1000,32240
01/01/2021,baugewerblicher_umsatz_mill_eur,4114
01/02/2021,anzahl_der_betriebe,9406
01/02/2021,taetige_personen_1000,509
01/02/2021,entgelte_1000_eur,1418196
01/02/2021,geleistete_arbeitsstunden_1000,37033
01/02/2021,baugewerblicher_umsatz_mill_eur,4873
01/03/2021,anzahl_der_betriebe,9386
01/03/2021,taetige_personen_1000,515
01/03/2021,entgelte_1000_eur,1727423
01/03/2021,geleistete_arbeitsstunden_1000,57902
01/03/2021,baugewerblicher_umsatz_mill_eur,7432
01/04/2021,anzahl_der_betriebe,9375
01/04/2021,taetige_personen_1000,518
01/04/2021,entgelte_1000_eur,1869460
01/04/2021,geleistete_arbeitsstunden_1000,55543
01/04/2021,baugewerblicher_umsatz_mill_eur,7940
01/05/2021,anzahl_der_betriebe,9363
01/05/2021,taetige_personen_1000,518
01/05/2021,entgelte_1000_eur,1777619
01/05/2021,geleistete_arbeitsstunden_1000,52277
01/05/2021,baugewerblicher_umsatz_mill_eur,7994
01/06/2021,anzahl_der_betriebe,9358
01/06/2021,taetige_personen_1000,519
01/06/2021,entgelte_1000_eur,1858841
01/06/2021,geleistete_arbeitsstunden_1000,57957
01/06/2021,baugewerblicher_umsatz_mill_eur,8930
01/07/2021,anzahl_der_betriebe,9342
01/07/2021,taetige_personen_1000,519
01/07/2021,entgelte_1000_eur,1884710
01/07/2021,geleistete_arbeitsstunden_1000,56353
01/07/2021,baugewerblicher_umsatz_mill_eur,9083
01/08/2021,anzahl_der_betriebe,9328
01/08/2021,taetige_personen_1000,523
01/08/2021,entgelte_1000_eur,1844252
01/08/2021,geleistete_arbeitsstunden_1000,51533
01/08/2021,baugewerblicher_umsatz_mill_eur,8564
01/09/2021,anzahl_der_betriebe,9307
01/09/2021,taetige_personen_1000,524
01/09/2021,entgelte_1000_eur,1849833
01/09/2021,geleistete_arbeitsstunden_1000,58674
01/09/2021,baugewerblicher_umsatz_mill_eur,9279
01/10/2021,anzahl_der_betriebe,9301
01/10/2021,taetige_personen_1000,524
01/10/2021,entgelte_1000_eur,1820339
01/10/2021,geleistete_arbeitsstunden_1000,56322
01/10/2021,baugewerblicher_umsatz_mill_eur,9436
01/11/2021,anzahl_der_betriebe,9290
01/11/2021,taetige_personen_1000,523
01/11/2021,entgelte_1000_eur,2316465
01/11/2021,geleistete_arbeitsstunden_1000,57545
01/11/2021,baugewerblicher_umsatz_mill_eur,10434
01/12/2021,anzahl_der_betriebe,9278
01/12/2021,taetige_personen_1000,517
01/12/2021,entgelte_1000_eur,1867440
01/12/2021,geleistete_arbeitsstunden_1000,41283
01/12/2021,baugewerblicher_umsatz_mill_eur,10912
01/01/2022,anzahl_der_betriebe,9531
01/01/2022,taetige_personen_1000,520
01/01/2022,entgelte_1000_eur,1648302
01/01/2022,geleistete_arbeitsstunden_1000,38156
01/01/2022,baugewerblicher_umsatz_mill_eur,4940
01/02/2022,anzahl_der_betriebe,9515
