volumenindex_des_auftragsbestands_im_bauhauptgewerbe,originalwert,col_3,col_4,col_5,col_6
Datum;Insgesamt,2021=100;Wohnungsbau,2021=100;HochbauohneWohnungsbau,2021=100;Stra�enbau,2021=100;TiefbauohneStra�enbau,2021=100
01/07/2000;64,0;59,7;77,0;52,4;59,7
01/10/2000;57,9;50,0;73,3;44,5;54,1
01/01/2001;61,3;53,2;75,7;50,3;57,7
01/04/2001;64,5;55,2;81,0;56,5;57,9
01/07/2001;60,6;49,8;77,9;54,3;53,1
01/10/2001;54,4;40,7;73,9;43,3;49,2
01/01/2002;59,6;46,3;75,0;51,7;56,3
01/04/2002;59,7;45,6;72,8;55,8;57,1
01/07/2002;57,5;39,7;72,0;54,3;55,7
01/10/2002;51,6;37,0;65,1;46,0;49,8
01/01/2003;54,8;38,7;65,0;55,1;54,1
01/04/2003;55,2;39,6;64,9;55,3;55,1
01/07/2003;52,3;38,4;61,0;51,7;52,2
01/10/2003;47,0;36,4;57,6;40,3;46,3
01/01/2004;51,0;38,3;61,2;49,6;49,1
01/04/2004;50,4;38,0;57,9;53,4;48,8
01/07/2004;47,9;36,3;55,4;49,9;46,4
01/10/2004;42,0;31,1;51,7;40,9;39,7
01/01/2005;45,5;36,2;54,0;48,3;41,3
01/04/2005;47,6;36,3;56,3;52,1;43,4
01/07/2005;47,4;34,8;54,7;53,7;44,5
01/10/2005;43,5;31,7;54,7;43,7;39,7
01/01/2006;49,1;36,6;60,0;51,5;44,4
01/04/2006;51,1;37,9;60,3;58,6;45,9
01/07/2006;48,6;36,6;57,5;55,5;43,5
01/10/2006;42,0;31,4;54,0;41,2;36,9
01/01/2007;46,5;31,9;58,5;47,0;42,9
01/04/2007;50,7;33,6;63,8;55,2;45,9
01/07/2007;51,2;32,6;64,0;57,3;46,5
01/10/2007;48,6;29,3;61,9;49,3;46,5
01/01/2008;52,3;28,7;66,8;57,0;49,5
01/04/2008;54,7;29,7;69,7;61,9;51,0
01/07/2008;52,2;29,1;66,5;59,3;48,3
01/10/2008;46,4;24,4;59,7;48,2;45,4
01/01/2009;48,9;25,3;57,4;59,3;49,4
01/04/2009;51,6;28,0;57,0;68,7;51,6
01/07/2009;50,7;27,9;57,8;61,9;51,3
01/10/2009;45,6;26,7;53,8;49,8;46,6
01/01/2010;53,9;31,5;59,1;62,2;57,9
01/04/2010;55,6;32,1;62,1;66,6;57,6
01/07/2010;53,4;32,7;59,4;63,1;54,7
01/10/2010;48,9;33,3;54,9;52,8;50,2
01/01/2011;52,9;36,6;56,6;56,6;57,1
01/04/2011;55,4;40,8;60,3;57,9;58,0
01/07/2011;53,4;39,8;58,7;54,3;55,6
01/10/2011;46,4;38,5;54,2;40,3;46,7
01/01/2012;53,4;41,7;59,7;50,8;55,4
01/04/2012;55,3;44,2;60,8;58,0;55,4
01/07/2012;53,1;42,4;61,0;52,3;52,3
01/10/2012;48,5;40,0;57,4;42,9;47,8
01/01/2013;56,7;44,0;62,7;58,8;57,2
01/04/2013;59,4;47,7;67,6;64,4;55,9
01/07/2013;57,1;44,2;64,8;60,5;55,3
01/10/2013;52,4;40,7;63,0;49,7;50,2
01/01/2014;57,0;45,1;66,8;58,4;53,8
01/04/2014;59,5;49,0;66,8;62,2;57,1
01/07/2014;57,7;45,4;67,7;56,5;55,7
01/10/2014;53,7;46,1;62,7;44,6;54,2
01/01/2015;60,0;50,6;66,8;54,2;61,8
01/04/2015;62,7;55,1;67,8;62,2;62,4
01/07/2015;60,3;57,1;64,8;58,6;58,5
01/10/2015;56,8;56,6;62,1;49,8;55,1
01/01/2016;65,5;61,8;67,4;66,9;65,0
01/04/2016;72,3;67,6;76,4;76,6;68,6
01/07/2016;73,0;73,3;76,2;77,7;67,3
01/10/2016;68,7;67,7;75,7;65,2;64,3
01/01/2017;78,9;76,8;84,0;82,4;73,3
01/04/2017;82,1;79,6;87,7;89,6;74,1
01/07/2017;79,7;73,9;86,7;85,9;73,1
01/10/2017;77,0;74,1;85,4;77,9;69,9
01/01/2018;85,7;79,1;89,9;95,1;80,3
01/04/2018;88,4;82,7;91,1;102,2;82,0
01/07/2018;86,0;81,8;90,4;93,8;79,8
01/10/2018;83,0;84,5;86,2;80,8;79,8
01/01/2019;93,0;91,6;94,7;95,5;91,0
01/04/2019;95,4;93,7;97,0;102,5;90,9
01/07/2019;92,9;92,5;96,4;94,2;89,0
01/10/2019;90,3;91,0;96,4;82,0;88,0
01/01/2020;97,8;95,5;103,8;92,1;96,3
01/04/2020;99,7;92,4;101,6;104,0;99,7
01/07/2020;98,1;93,8;100,5;98,8;97,7
01/10/2020;94,2;94,6;96,1;88,7;94,9
01/01/2021;102,1;102,2;101,4;99,9;103,9
01/04/2021;101,4;100,7;99,4;104,2;102,5
01/07/2021;99,3;99,5;98,8;103,6;97,6
01/10/2021;97,4;97,7;100,5;92,5;96,6
01/01/2022;103,8;100,2;106,3;101,9;104,3
01/04/2022;96,9;94,1;99,4;98,1;95,6
01/07/2022;94,1;89,3;97,5;92,4;94,3
01/10/2022;88,7;80,5;94,0;80,5;92,5
01/01/2023;92,5;78,7;95,3;88,4;100,4
01/04/2023;93,7;76,4;94,2;91,5;104,9
01/07/2023;96,0;71,9;98,1;89,4;111,9
01/10/2023;92,7;67,8;94,0;81,3;112,4
01/01/2024;98,7;68,8;95,3;90,9;124,4
01/04/2024;101,5;69,8;97,3;94,3;128,7
01/07/2024;99,7;66,7;96,8;91,2;127,0
01/10/2024;97,2;64,2;93,1;82,3;129,2
01/01/2025;105,9;68,8;95,9;92,7;145,3
01/04/2025;108,3;70,1;97,9;92,7;150,1
01/07/2025;111,0;72,7;102,7;90,4;153,5
01/10/2025;107,1;73,2;99,5;81,9;148,3
