date,indicator,value
01/03/2010;83,2021100bau_von_gebaeuden_2,4
01/04/2010;86,2021100bau_von_gebaeuden_2,3
01/05/2010;87,2021100bau_von_gebaeuden_2,5
01/06/2010;88,2021100bau_von_gebaeuden_2,6
01/07/2010;88,2021100bau_von_gebaeuden_2,7
01/08/2010;89,2021100bau_von_gebaeuden_2,9
01/09/2010;90,2021100bau_von_gebaeuden_2,1
01/10/2010;90,2021100bau_von_gebaeuden_2,6
01/11/2010;89,2021100bau_von_gebaeuden_2,3
01/12/2010;85,2021100bau_von_gebaeuden_2,3
01/01/2011;82,2021100bau_von_gebaeuden_2,3
01/02/2011;83,2021100bau_von_gebaeuden_2,7
01/03/2011;86,2021100bau_von_gebaeuden_2,6
01/04/2011;87,2021100bau_von_gebaeuden_2,2
01/05/2011;88,2021100bau_von_gebaeuden_2,6
01/06/2011;89,2021100bau_von_gebaeuden_2,2
01/07/2011;89,2021100bau_von_gebaeuden_2,3
01/08/2011;90,2021100bau_von_gebaeuden_2,5
01/09/2011;91,2021100bau_von_gebaeuden_2,1
01/10/2011;90,2021100bau_von_gebaeuden_2,0
01/11/2011;90,2021100bau_von_gebaeuden_2,1
01/12/2011;86,2021100bau_von_gebaeuden_2,0
01/01/2012;84,2021100bau_von_gebaeuden_2,9
01/02/2012;83,2021100bau_von_gebaeuden_2,2
01/03/2012;86,2021100bau_von_gebaeuden_2,2
01/04/2012;88,2021100bau_von_gebaeuden_2,3
01/05/2012;88,2021100bau_von_gebaeuden_2,0
01/06/2012;89,2021100bau_von_gebaeuden_2,9
01/07/2012;89,2021100bau_von_gebaeuden_2,8
01/08/2012;90,2021100bau_von_gebaeuden_2,7
01/09/2012;91,2021100bau_von_gebaeuden_2,8
01/10/2012;90,2021100bau_von_gebaeuden_2,4
01/11/2012;90,2021100bau_von_gebaeuden_2,8
01/12/2012;86,2021100bau_von_gebaeuden_2,0
01/01/2013;84,2021100bau_von_gebaeuden_2,4
01/02/2013;83,2021100bau_von_gebaeuden_2,6
01/03/2013;85,2021100bau_von_gebaeuden_2,4
01/04/2013;88,2021100bau_von_gebaeuden_2,4
01/05/2013;89,2021100bau_von_gebaeuden_2,6
01/06/2013;89,2021100bau_von_gebaeuden_2,0
01/07/2013;90,2021100bau_von_gebaeuden_2,9
01/08/2013;91,2021100bau_von_gebaeuden_2,8
01/09/2013;91,2021100bau_von_gebaeuden_2,1
01/10/2013;91,2021100bau_von_gebaeuden_2,0
01/11/2013;90,2021100bau_von_gebaeuden_2,2
01/12/2013;87,2021100bau_von_gebaeuden_2,8
01/01/2014;84,2021100bau_von_gebaeuden_2,8
