datum,originalwert_kettenindex_2015100,originalwert_vernderung_gegenber_vorjahresquartal_in_,trendkonjunkturkomponente_bv_41_kettenindex_2015100,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vorquartal_in_,kalender_und_saisonbereinigte_werte_bv_41_kettenindex_2015100,kalender_und_saisonbereinigte_werte_bv_41_vernderung_gegenber_vorquartal_in_,restkomponente_bv_41
01/07/1995,126.48,,115.40,-2.9,115.76,-2.2,0.4
01/10/1995,113.65,,114.16,-1.1,114.90,-0.7,0.7
01/01/1996,92.91,-12.4,114.20,0.0,112.34,-2.2,-1.9
01/04/1996,125.10,-1.5,115.20,0.9,116.46,3.7,1.3
01/07/1996,127.83,1.1,115.87,0.6,116.48,0.0,0.6
01/10/1996,114.29,0.6,115.88,0.0,116.03,-0.4,0.1
01/01/1997,93.91,1.1,114.84,-0.9,114.39,-1.4,-0.5
01/04/1997,123.56,-1.2,114.15,-0.6,114.17,-0.2,0.0
01/07/1997,124.26,-2.8,114.27,0.1,113.59,-0.5,-0.7
01/10/1997,111.72,-2.2,114.51,0.2,114.59,0.9,0.1
01/01/1998,100.64,7.2,114.09,-0.4,115.82,1.1,1.7
01/04/1998,117.43,-5.0,112.59,-1.3,111.68,-3.6,-0.9
01/07/1998,122.38,-1.5,111.62,-0.9,111.64,-0.0,0.0
01/10/1998,109.02,-2.4,111.17,-0.4,110.60,-0.9,-0.6
01/01/1999,97.04,-3.6,111.78,0.5,111.26,0.6,-0.5
01/04/1999,119.75,2.0,112.90,1.0,113.32,1.8,0.4
01/07/1999,124.97,2.1,113.65,0.7,114.22,0.8,0.6
01/10/1999,113.06,3.7,113.45,-0.2,113.41,-0.7,-0.0
01/01/2000,100.51,3.6,112.42,-0.9,112.70,-0.6,0.3
01/04/2000,116.14,-3.0,110.95,-1.3,110.88,-1.6,-0.1
01/07/2000,118.24,-5.4,109.53,-1.3,109.11,-1.6,-0.4
01/10/2000,105.75,-6.5,108.28,-1.1,108.27,-0.8,-0.0
01/01/2001,93.92,-6.6,107.19,-1.0,107.01,-1.2,-0.2
01/04/2001,111.34,-4.1,106.46,-0.7,106.66,-0.3,0.2
01/07/2001,114.28,-3.3,105.47,-0.9,105.34,-1.2,-0.1
01/10/2001,102.55,-3.0,104.08,-1.3,104.46,-0.8,0.4
01/01/2002,87.35,-7.0,102.28,-1.7,102.65,-1.7,0.4
01/04/2002,105.04,-5.7,100.25,-2.0,99.77,-2.8,-0.5
01/07/2002,109.03,-4.6,98.59,-1.7,98.75,-1.0,0.2
01/10/2002,95.33,-7.0,97.38,-1.2,96.96,-1.8,-0.4
01/01/2003,82.03,-6.1,97.03,-0.4,96.61,-0.4,-0.4
01/04/2003,101.74,-3.1,97.24,0.2,97.56,1.0,0.3
01/07/2003,107.55,-1.4,97.20,-0.0,97.23,-0.3,0.0
01/10/2003,95.66,0.3,96.60,-0.6,97.04,-0.2,0.4
01/01/2004,81.69,-0.4,95.13,-1.5,95.52,-1.6,0.4
01/04/2004,98.05,-3.6,93.03,-2.2,92.77,-2.9,-0.3
01/07/2004,101.20,-5.9,90.94,-2.2,90.88,-2.0,-0.1
01/10/2004,90.97,-4.9,89.33,-1.8,89.20,-1.9,-0.1
01/01/2005,72.10,-11.7,88.52,-0.9,88.06,-1.3,-0.5
01/04/2005,96.29,-1.8,88.67,0.2,89.01,1.1,0.3
01/07/2005,99.80,-1.4,89.44,0.9,89.58,0.6,0.1
01/10/2005,90.17,-0.9,90.71,1.4,90.19,0.7,-0.5
01/01/2006,74.58,3.4,92.49,2.0,86.95,-3.6,-5.5
01/04/2006,98.31,2.1,94.67,2.4,94.86,9.1,0.2
01/07/2006,105.34,5.6,96.49,1.9,96.70,1.9,0.2
01/10/2006,97.38,8.0,97.10,0.6,98.11,1.5,1.0
01/01/2007,84.05,12.7,96.06,-1.1,96.04,-2.1,-0.0
01/04/2007,96.70,-1.6,94.69,-1.4,94.04,-2.1,-0.6
01/07/2007,101.69,-3.5,94.01,-0.7,93.54,-0.5,-0.5
01/10/2007,92.26,-5.3,93.91,-0.1,93.24,-0.3,-0.7
01/01/2008,82.05,-2.4,94.21,0.3,95.71,2.7,1.5
01/04/2008,99.35,2.7,93.39,-0.9,93.22,-2.6,-0.2
01/07/2008,101.27,-0.4,91.98,-1.5,91.73,-1.6,-0.2
01/10/2008,89.80,-2.7,90.65,-1.4,91.11,-0.7,0.5
