date,indicator,value
01/07/1997,originalwert_kettenindex_2020100,109.92
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,101.28
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.3
01/10/1997,originalwert_kettenindex_2020100,98.83
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,101.17
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.1
01/01/1998,originalwert_kettenindex_2020100,89.02
01/01/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,7.2
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,101.94
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.8
01/04/1998,originalwert_kettenindex_2020100,103.87
01/04/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-5.0
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,98.79
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-3.1
01/07/1998,originalwert_kettenindex_2020100,108.25
01/07/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.5
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,99.24
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.5
01/10/1998,originalwert_kettenindex_2020100,96.44
01/10/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-2.4
01/10/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,96.75
01/10/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-2.5
01/01/1999,originalwert_kettenindex_2020100,85.84
01/01/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-3.6
01/01/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,98.58
01/01/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.9
01/04/1999,originalwert_kettenindex_2020100,105.93
01/04/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.0
01/04/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,99.96
01/04/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.4
01/07/1999,originalwert_kettenindex_2020100,110.55
01/07/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.1
01/07/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,101.51
01/07/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.6
01/10/1999,originalwert_kettenindex_2020100,100.00
01/10/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.7
01/10/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,100.09
01/10/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-1.4
01/01/2000,originalwert_kettenindex_2020100,88.90
01/01/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.6
01/01/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,99.92
01/01/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.2
01/04/2000,originalwert_kettenindex_2020100,102.74
01/04/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-3.0
01/04/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,98.08
01/04/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-1.8
01/07/2000,originalwert_kettenindex_2020100,104.59
01/07/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-5.4
01/07/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,96.85
01/07/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-1.3
01/10/2000,originalwert_kettenindex_2020100,93.54
01/10/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-6.5
01/10/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,95.12
01/10/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-1.8
01/01/2001,originalwert_kettenindex_2020100,83.08
01/01/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-6.5
01/01/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,94.84
01/01/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.3
01/04/2001,originalwert_kettenindex_2020100,98.49
01/04/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-4.1
