date,indicator,value
01/03/2000,verkehr_und_lagerei_2015100,86.8
01/03/2000,information_und_kommunikation_2015100,74.4
01/03/2000,freiberufliche_wissenschaftliche_und_technische_dienstleistungen_2015100,81.0
01/03/2000,sonstige_wirtschaftliche_dienstleistungen_2015100,62.3
01/04/2000,verkehr_und_lagerei_2015100,87.6
01/04/2000,information_und_kommunikation_2015100,74.7
01/04/2000,freiberufliche_wissenschaftliche_und_technische_dienstleistungen_2015100,82.0
01/04/2000,sonstige_wirtschaftliche_dienstleistungen_2015100,62.7
01/05/2000,verkehr_und_lagerei_2015100,88.2
01/05/2000,information_und_kommunikation_2015100,75.4
01/05/2000,freiberufliche_wissenschaftliche_und_technische_dienstleistungen_2015100,82.3
01/05/2000,sonstige_wirtschaftliche_dienstleistungen_2015100,64.1
01/06/2000,verkehr_und_lagerei_2015100,88.4
01/06/2000,information_und_kommunikation_2015100,75.9
01/06/2000,freiberufliche_wissenschaftliche_und_technische_dienstleistungen_2015100,82.4
01/06/2000,sonstige_wirtschaftliche_dienstleistungen_2015100,64.7
01/07/2000,verkehr_und_lagerei_2015100,88.8
01/07/2000,information_und_kommunikation_2015100,76.1
01/07/2000,freiberufliche_wissenschaftliche_und_technische_dienstleistungen_2015100,82.7
01/07/2000,sonstige_wirtschaftliche_dienstleistungen_2015100,67.6
01/08/2000,verkehr_und_lagerei_2015100,89.5
01/08/2000,information_und_kommunikation_2015100,76.9
01/08/2000,freiberufliche_wissenschaftliche_und_technische_dienstleistungen_2015100,83.9
01/08/2000,sonstige_wirtschaftliche_dienstleistungen_2015100,67.8
01/09/2000,verkehr_und_lagerei_2015100,90.0
01/09/2000,information_und_kommunikation_2015100,78.0
01/09/2000,freiberufliche_wissenschaftliche_und_technische_dienstleistungen_2015100,84.3
01/09/2000,sonstige_wirtschaftliche_dienstleistungen_2015100,67.8
01/10/2000,verkehr_und_lagerei_2015100,88.3
01/10/2000,information_und_kommunikation_2015100,79.4
01/10/2000,freiberufliche_wissenschaftliche_und_technische_dienstleistungen_2015100,85.0
01/10/2000,sonstige_wirtschaftliche_dienstleistungen_2015100,68.7
01/11/2000,verkehr_und_lagerei_2015100,88.6
01/11/2000,information_und_kommunikation_2015100,80.6
01/11/2000,freiberufliche_wissenschaftliche_und_technische_dienstleistungen_2015100,85.5
01/11/2000,sonstige_wirtschaftliche_dienstleistungen_2015100,68.7
01/12/2000,verkehr_und_lagerei_2015100,89.2
01/12/2000,information_und_kommunikation_2015100,80.3
01/12/2000,freiberufliche_wissenschaftliche_und_technische_dienstleistungen_2015100,85.3
01/12/2000,sonstige_wirtschaftliche_dienstleistungen_2015100,66.9
01/01/2001,verkehr_und_lagerei_2015100,87.0
01/01/2001,information_und_kommunikation_2015100,82.5
01/01/2001,freiberufliche_wissenschaftliche_und_technische_dienstleistungen_2015100,85.3
01/01/2001,sonstige_wirtschaftliche_dienstleistungen_2015100,64.9
01/02/2001,verkehr_und_lagerei_2015100,87.2
01/02/2001,information_und_kommunikation_2015100,83.2
01/02/2001,freiberufliche_wissenschaftliche_und_technische_dienstleistungen_2015100,85.7
01/02/2001,sonstige_wirtschaftliche_dienstleistungen_2015100,65.0
01/03/2001,verkehr_und_lagerei_2015100,87.6
01/03/2001,information_und_kommunikation_2015100,83.8
01/03/2001,freiberufliche_wissenschaftliche_und_technische_dienstleistungen_2015100,86.2
01/03/2001,sonstige_wirtschaftliche_dienstleistungen_2015100,65.3
01/04/2001,verkehr_und_lagerei_2015100,88.3
01/04/2001,information_und_kommunikation_2015100,85.2
01/04/2001,freiberufliche_wissenschaftliche_und_technische_dienstleistungen_2015100,86.9
01/04/2001,sonstige_wirtschaftliche_dienstleistungen_2015100,65.9
01/05/2001,verkehr_und_lagerei_2015100,88.6
01/05/2001,information_und_kommunikation_2015100,85.5
01/05/2001,freiberufliche_wissenschaftliche_und_technische_dienstleistungen_2015100,87.1
01/05/2001,sonstige_wirtschaftliche_dienstleistungen_2015100,66.7
01/06/2001,verkehr_und_lagerei_2015100,88.3
01/06/2001,information_und_kommunikation_2015100,85.1
01/06/2001,freiberufliche_wissenschaftliche_und_technische_dienstleistungen_2015100,86.6
01/06/2001,sonstige_wirtschaftliche_dienstleistungen_2015100,66.5
01/07/2001,verkehr_und_lagerei_2015100,87.7
01/07/2001,information_und_kommunikation_2015100,86.0
01/07/2001,freiberufliche_wissenschaftliche_und_technische_dienstleistungen_2015100,86.0
01/07/2001,sonstige_wirtschaftliche_dienstleistungen_2015100,68.0
01/08/2001,verkehr_und_lagerei_2015100,88.0
01/08/2001,information_und_kommunikation_2015100,86.5
01/08/2001,freiberufliche_wissenschaftliche_und_technische_dienstleistungen_2015100,86.9
01/08/2001,sonstige_wirtschaftliche_dienstleistungen_2015100,68.4
01/09/2001,verkehr_und_lagerei_2015100,88.4
01/09/2001,information_und_kommunikation_2015100,87.2
01/09/2001,freiberufliche_wissenschaftliche_und_technische_dienstleistungen_2015100,87.4
01/09/2001,sonstige_wirtschaftliche_dienstleistungen_2015100,68.2
01/10/2001,verkehr_und_lagerei_2015100,88.2
01/10/2001,information_und_kommunikation_2015100,86.7
01/10/2001,freiberufliche_wissenschaftliche_und_technische_dienstleistungen_2015100,86.4
01/10/2001,sonstige_wirtschaftliche_dienstleistungen_2015100,68.9
01/11/2001,verkehr_und_lagerei_2015100,88.4
01/11/2001,information_und_kommunikation_2015100,86.9
01/11/2001,freiberufliche_wissenschaftliche_und_technische_dienstleistungen_2015100,87.0
01/11/2001,sonstige_wirtschaftliche_dienstleistungen_2015100,68.5
01/12/2001,verkehr_und_lagerei_2015100,87.6
01/12/2001,information_und_kommunikation_2015100,86.5
01/12/2001,freiberufliche_wissenschaftliche_und_technische_dienstleistungen_2015100,86.9
01/12/2001,sonstige_wirtschaftliche_dienstleistungen_2015100,66.7
01/01/2002,verkehr_und_lagerei_2015100,86.5
01/01/2002,information_und_kommunikation_2015100,86.2
01/01/2002,freiberufliche_wissenschaftliche_und_technische_dienstleistungen_2015100,86.8
01/01/2002,sonstige_wirtschaftliche_dienstleistungen_2015100,64.6
01/02/2002,verkehr_und_lagerei_2015100,86.5
01/02/2002,information_und_kommunikation_2015100,86.5
01/02/2002,freiberufliche_wissenschaftliche_und_technische_dienstleistungen_2015100,87.1
01/02/2002,sonstige_wirtschaftliche_dienstleistungen_2015100,64.6
01/03/2002,verkehr_und_lagerei_2015100,86.6
01/03/2002,information_und_kommunikation_2015100,86.3
