date,indicator,value
01/07/2000,anlageinvestitionen_mrd_eur,125.31
01/07/2000,ausruestungsinvestitionen_mrd_eur,44.60
01/07/2000,bauinvestitionen_mrd_eur,64.91
01/07/2000,wohnbauten_mrd_eur,37.98
01/07/2000,nichtwohnbauten_mrd_eur,26.93
01/07/2000,sonstige_anlagen_mrd_eur,15.80
01/10/2000,anlageinvestitionen_mrd_eur,127.68
01/10/2000,ausruestungsinvestitionen_mrd_eur,51.84
01/10/2000,bauinvestitionen_mrd_eur,58.10
01/10/2000,wohnbauten_mrd_eur,33.52
01/10/2000,nichtwohnbauten_mrd_eur,24.58
01/10/2000,sonstige_anlagen_mrd_eur,17.74
01/01/2001,anlageinvestitionen_mrd_eur,110.25
01/01/2001,ausruestungsinvestitionen_mrd_eur,42.49
01/01/2001,bauinvestitionen_mrd_eur,51.65
01/01/2001,wohnbauten_mrd_eur,29.54
01/01/2001,nichtwohnbauten_mrd_eur,22.10
01/01/2001,sonstige_anlagen_mrd_eur,16.11
01/04/2001,anlageinvestitionen_mrd_eur,121.57
01/04/2001,ausruestungsinvestitionen_mrd_eur,43.82
01/04/2001,bauinvestitionen_mrd_eur,61.14
01/04/2001,wohnbauten_mrd_eur,34.96
01/04/2001,nichtwohnbauten_mrd_eur,26.17
01/04/2001,sonstige_anlagen_mrd_eur,16.61
01/07/2001,anlageinvestitionen_mrd_eur,120.40
01/07/2001,ausruestungsinvestitionen_mrd_eur,40.97
01/07/2001,bauinvestitionen_mrd_eur,62.69
01/07/2001,wohnbauten_mrd_eur,35.98
01/07/2001,nichtwohnbauten_mrd_eur,26.71
01/07/2001,sonstige_anlagen_mrd_eur,16.74
01/10/2001,anlageinvestitionen_mrd_eur,120.78
01/10/2001,ausruestungsinvestitionen_mrd_eur,46.00
01/10/2001,bauinvestitionen_mrd_eur,56.07
01/10/2001,wohnbauten_mrd_eur,32.02
01/10/2001,nichtwohnbauten_mrd_eur,24.05
01/10/2001,sonstige_anlagen_mrd_eur,18.71
01/01/2002,anlageinvestitionen_mrd_eur,99.69
01/01/2002,ausruestungsinvestitionen_mrd_eur,35.71
01/01/2002,bauinvestitionen_mrd_eur,47.81
01/01/2002,wohnbauten_mrd_eur,27.37
01/01/2002,nichtwohnbauten_mrd_eur,20.44
01/01/2002,sonstige_anlagen_mrd_eur,16.17
01/04/2002,anlageinvestitionen_mrd_eur,114.29
01/04/2002,ausruestungsinvestitionen_mrd_eur,40.24
01/04/2002,bauinvestitionen_mrd_eur,57.46
01/04/2002,wohnbauten_mrd_eur,32.88
01/04/2002,nichtwohnbauten_mrd_eur,24.58
01/04/2002,sonstige_anlagen_mrd_eur,16.59
01/07/2002,anlageinvestitionen_mrd_eur,114.19
01/07/2002,ausruestungsinvestitionen_mrd_eur,37.82
01/07/2002,bauinvestitionen_mrd_eur,59.65
01/07/2002,wohnbauten_mrd_eur,34.22
01/07/2002,nichtwohnbauten_mrd_eur,25.44
01/07/2002,sonstige_anlagen_mrd_eur,16.72
01/10/2002,anlageinvestitionen_mrd_eur,113.98
01/10/2002,ausruestungsinvestitionen_mrd_eur,43.13
01/10/2002,bauinvestitionen_mrd_eur,52.06
01/10/2002,wohnbauten_mrd_eur,29.99
01/10/2002,nichtwohnbauten_mrd_eur,22.08
01/10/2002,sonstige_anlagen_mrd_eur,18.79
01/01/2003,anlageinvestitionen_mrd_eur,95.91
01/01/2003,ausruestungsinvestitionen_mrd_eur,35.03
01/01/2003,bauinvestitionen_mrd_eur,44.92
01/01/2003,wohnbauten_mrd_eur,25.87
