date,indicator,value
01/07/2000,bruttoinlandsprodukt_in_jeweiligen_preisen_mrd_eur,537.70
01/07/2000,bruttowertschoepfung_in_jeweiligen_preisen_mrd_eur,484.16
01/07/2000,bruttoinlandsprodukt_preisbereinigt_kettenindex2020100,82.53
01/07/2000,bruttowertschoepfung_preisbereinigt_kettenindex2020100,81.94
01/10/2000,bruttoinlandsprodukt_in_jeweiligen_preisen_mrd_eur,547.59
01/10/2000,bruttowertschoepfung_in_jeweiligen_preisen_mrd_eur,495.18
01/10/2000,bruttoinlandsprodukt_preisbereinigt_kettenindex2020100,83.36
01/10/2000,bruttowertschoepfung_preisbereinigt_kettenindex2020100,82.48
01/01/2001,bruttoinlandsprodukt_in_jeweiligen_preisen_mrd_eur,536.83
01/01/2001,bruttowertschoepfung_in_jeweiligen_preisen_mrd_eur,482.47
01/01/2001,bruttoinlandsprodukt_preisbereinigt_kettenindex2020100,82.38
01/01/2001,bruttowertschoepfung_preisbereinigt_kettenindex2020100,81.82
01/04/2001,bruttoinlandsprodukt_in_jeweiligen_preisen_mrd_eur,538.24
01/04/2001,bruttowertschoepfung_in_jeweiligen_preisen_mrd_eur,482.01
01/04/2001,bruttoinlandsprodukt_preisbereinigt_kettenindex2020100,82.36
01/04/2001,bruttowertschoepfung_preisbereinigt_kettenindex2020100,81.55
01/07/2001,bruttoinlandsprodukt_in_jeweiligen_preisen_mrd_eur,553.54
01/07/2001,bruttowertschoepfung_in_jeweiligen_preisen_mrd_eur,499.14
01/07/2001,bruttoinlandsprodukt_preisbereinigt_kettenindex2020100,83.69
01/07/2001,bruttowertschoepfung_preisbereinigt_kettenindex2020100,83.31
01/10/2001,bruttoinlandsprodukt_in_jeweiligen_preisen_mrd_eur,566.92
01/10/2001,bruttowertschoepfung_in_jeweiligen_preisen_mrd_eur,513.89
01/10/2001,bruttoinlandsprodukt_preisbereinigt_kettenindex2020100,84.55
01/10/2001,bruttowertschoepfung_preisbereinigt_kettenindex2020100,83.93
01/01/2002,bruttoinlandsprodukt_in_jeweiligen_preisen_mrd_eur,537.18
01/01/2002,bruttowertschoepfung_in_jeweiligen_preisen_mrd_eur,482.69
01/01/2002,bruttoinlandsprodukt_preisbereinigt_kettenindex2020100,80.88
01/01/2002,bruttowertschoepfung_preisbereinigt_kettenindex2020100,80.49
01/04/2002,bruttoinlandsprodukt_in_jeweiligen_preisen_mrd_eur,546.09
01/04/2002,bruttowertschoepfung_in_jeweiligen_preisen_mrd_eur,490.88
01/04/2002,bruttoinlandsprodukt_preisbereinigt_kettenindex2020100,82.35
01/04/2002,bruttowertschoepfung_preisbereinigt_kettenindex2020100,82.04
01/07/2002,bruttoinlandsprodukt_in_jeweiligen_preisen_mrd_eur,567.13
01/07/2002,bruttowertschoepfung_in_jeweiligen_preisen_mrd_eur,510.92
01/07/2002,bruttoinlandsprodukt_preisbereinigt_kettenindex2020100,84.34
01/07/2002,bruttowertschoepfung_preisbereinigt_kettenindex2020100,84.02
01/10/2002,bruttoinlandsprodukt_in_jeweiligen_preisen_mrd_eur,572.96
01/10/2002,bruttowertschoepfung_in_jeweiligen_preisen_mrd_eur,519.05
01/10/2002,bruttoinlandsprodukt_preisbereinigt_kettenindex2020100,84.63
01/10/2002,bruttowertschoepfung_preisbereinigt_kettenindex2020100,84.24
01/01/2003,bruttoinlandsprodukt_in_jeweiligen_preisen_mrd_eur,543.46
01/01/2003,bruttowertschoepfung_in_jeweiligen_preisen_mrd_eur,487.13
01/01/2003,bruttoinlandsprodukt_preisbereinigt_kettenindex2020100,80.64
01/01/2003,bruttowertschoepfung_preisbereinigt_kettenindex2020100,80.18
01/04/2003,bruttoinlandsprodukt_in_jeweiligen_preisen_mrd_eur,547.96
01/04/2003,bruttowertschoepfung_in_jeweiligen_preisen_mrd_eur,490.59
01/04/2003,bruttoinlandsprodukt_preisbereinigt_kettenindex2020100,81.40
