date,indicator,value
01/07/2000;537,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,19
01/10/2000;547,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,84
01/01/2001;536,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,58
01/04/2001;538,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,37
01/07/2001;553,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,37
01/10/2001;566,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,11
01/01/2002;537,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,72
01/04/2002;546,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,04
01/07/2002;567,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,61
01/10/2002;572,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,38
01/01/2003;543,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,25
01/04/2003;547,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,37
01/07/2003;571,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,12
01/10/2003;577,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,22
01/01/2004;558,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,09
01/04/2004;566,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,58
01/07/2004;579,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,31
01/10/2004;588,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,28
01/01/2005;560,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,41
01/04/2005;576,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,91
01/07/2005;589,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,57
01/10/2005;599,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,89
01/01/2006;586,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,84
01/04/2006;594,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,31
01/07/2006;612,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,97
01/10/2006;632,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,26
01/01/2007;621,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,38
01/04/2007;622,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,97
01/07/2007;641,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,43
