datum,originalwert_kettenindex_2015100,originalwert_vernderung_gegenber_vorjahresquartal_in_,trendkonjunkturkomponente_bv_41_kettenindex_2015100,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vorquartal_in_,kalender_und_saisonbereinigte_werte_bv_41_kettenindex_2015100,kalender_und_saisonbereinigte_werte_bv_41_vernderung_gegenber_vorquartal_in_,restkomponente_bv_41
01/07/1995,77.20,,76.99,0.0,77.04,0.1,0.0
01/10/1995,79.11,,77.07,0.1,77.09,0.1,0.0
01/01/1996,75.21,-0.2,77.22,0.2,77.13,0.0,-0.1
01/04/1996,76.62,0.7,77.45,0.3,77.46,0.4,0.0
01/07/1996,78.29,1.4,77.76,0.4,77.78,0.4,0.0
01/10/1996,80.14,1.3,78.13,0.5,78.18,0.5,0.1
01/01/1997,75.44,0.3,78.47,0.4,78.36,0.2,-0.1
01/04/1997,78.84,2.9,78.92,0.6,78.97,0.8,0.1
01/07/1997,79.80,1.9,79.41,0.6,79.30,0.4,-0.1
01/10/1997,81.72,2.0,79.94,0.7,80.00,0.9,0.1
01/01/1998,78.67,4.3,80.32,0.5,80.48,0.6,0.2
01/04/1998,79.39,0.7,80.48,0.2,80.43,-0.1,-0.1
01/07/1998,81.29,1.9,80.59,0.1,80.67,0.3,0.1
01/10/1998,82.83,1.4,80.71,0.1,80.61,-0.1,-0.1
01/01/1999,79.36,0.9,81.01,0.4,81.03,0.5,0.0
01/04/1999,80.71,1.7,81.44,0.5,81.26,0.3,-0.2
01/07/1999,82.80,1.9,82.11,0.8,82.17,1.1,0.1
01/10/1999,85.39,3.1,82.93,1.0,82.98,1.0,0.0
01/01/2000,82.73,4.2,83.69,0.9,83.62,0.8,-0.1
01/04/2000,83.89,3.9,84.36,0.8,84.59,1.2,0.2
01/07/2000,84.89,2.5,84.84,0.6,84.76,0.2,-0.1
01/10/2000,86.28,1.0,85.25,0.5,85.01,0.3,-0.2
01/01/2001,84.54,2.2,85.68,0.5,85.94,1.1,0.3
01/04/2001,85.21,1.6,85.94,0.3,85.96,0.0,0.0
01/07/2001,86.12,1.4,85.99,0.1,85.89,-0.1,-0.1
01/10/2001,87.62,1.6,85.89,-0.1,85.98,0.1,0.1
01/01/2002,83.11,-1.7,85.82,-0.1,85.68,-0.4,-0.1
01/04/2002,85.23,0.0,85.87,0.1,85.82,0.2,-0.1
01/07/2002,86.81,0.8,85.80,-0.1,85.97,0.2,0.2
01/10/2002,87.65,0.0,85.58,-0.3,85.74,-0.3,0.2
01/01/2003,82.73,-0.5,85.30,-0.3,85.13,-0.7,-0.2
01/04/2003,84.05,-1.4,85.19,-0.1,85.03,-0.1,-0.2
01/07/2003,86.17,-0.7,85.33,0.2,85.30,0.3,-0.0
01/10/2003,87.44,-0.2,85.65,0.4,85.72,0.5,0.1
01/01/2004,84.10,1.7,85.87,0.3,85.94,0.2,0.1
01/04/2004,85.61,1.9,85.88,0.0,86.04,0.1,0.2
01/07/2004,86.55,0.4,85.77,-0.1,85.75,-0.3,-0.0
01/10/2004,88.16,0.8,85.74,-0.0,85.57,-0.2,-0.2
01/01/2005,83.53,-0.7,85.90,0.2,85.97,0.5,0.1
01/04/2005,86.58,1.1,86.20,0.4,86.13,0.2,-0.1
01/07/2005,87.57,1.2,86.78,0.7,86.86,0.9,0.1
