date,indicator,value
01/07/1997,originalwert_kettenindex_2020100,76.66
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,76.08
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.3
01/10/1997,originalwert_kettenindex_2020100,78.20
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,76.64
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.7
01/01/1998,originalwert_kettenindex_2020100,75.74
01/01/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,4.2
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,77.36
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.9
01/04/1998,originalwert_kettenindex_2020100,76.07
01/04/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.7
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,77.07
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.4
01/07/1998,originalwert_kettenindex_2020100,78.10
01/07/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.9
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,77.39
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.4
01/10/1998,originalwert_kettenindex_2020100,79.54
01/10/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.7
01/10/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,77.35
01/10/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.1
01/01/1999,originalwert_kettenindex_2020100,76.72
01/01/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.3
01/01/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,78.25
01/01/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.2
01/04/1999,originalwert_kettenindex_2020100,77.53
01/04/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.9
01/04/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,78.21
01/04/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.1
01/07/1999,originalwert_kettenindex_2020100,79.97
01/07/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.4
01/07/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,79.23
01/07/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.3
01/10/1999,originalwert_kettenindex_2020100,81.81
01/10/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.9
01/10/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,79.61
01/10/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.5
01/01/2000,originalwert_kettenindex_2020100,79.93
01/01/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,4.2
01/01/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,80.85
01/01/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.6
01/04/2000,originalwert_kettenindex_2020100,80.56
01/04/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.9
01/04/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,81.53
01/04/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.8
