date,indicator,value
01/07/2000,bruttonationaleinkommen_mrd_eur,530.73
01/07/2000,nettonationaleinkommen_mrd_eur,440.76
01/07/2000,verfuegbares_einkommen_mrd_eur,434.40
01/07/2000,col_5,392.19
01/07/2000,col_6,281.05
01/07/2000,col_7,111.14
01/10/2000,bruttonationaleinkommen_mrd_eur,549.51
01/10/2000,nettonationaleinkommen_mrd_eur,458.80
01/10/2000,verfuegbares_einkommen_mrd_eur,451.05
01/10/2000,col_5,409.60
01/10/2000,col_6,316.97
01/10/2000,col_7,92.63
01/01/2001,bruttonationaleinkommen_mrd_eur,532.24
01/01/2001,nettonationaleinkommen_mrd_eur,440.77
01/01/2001,verfuegbares_einkommen_mrd_eur,432.51
01/01/2001,col_5,389.74
01/01/2001,col_6,267.76
01/01/2001,col_7,121.98
01/04/2001,bruttonationaleinkommen_mrd_eur,531.99
01/04/2001,nettonationaleinkommen_mrd_eur,439.76
01/04/2001,verfuegbares_einkommen_mrd_eur,432.79
01/04/2001,col_5,387.51
01/04/2001,col_6,277.16
01/04/2001,col_7,110.35
01/07/2001,bruttonationaleinkommen_mrd_eur,548.54
01/07/2001,nettonationaleinkommen_mrd_eur,455.70
01/07/2001,verfuegbares_einkommen_mrd_eur,450.52
01/07/2001,col_5,405.64
01/07/2001,col_6,283.64
01/07/2001,col_7,122.00
01/10/2001,bruttonationaleinkommen_mrd_eur,566.82
01/10/2001,nettonationaleinkommen_mrd_eur,473.65
01/10/2001,verfuegbares_einkommen_mrd_eur,466.57
01/10/2001,col_5,423.42
01/10/2001,col_6,320.43
01/10/2001,col_7,102.99
01/01/2002,bruttonationaleinkommen_mrd_eur,531.81
01/01/2002,nettonationaleinkommen_mrd_eur,438.24
01/01/2002,verfuegbares_einkommen_mrd_eur,429.71
01/01/2002,col_5,386.91
01/01/2002,col_6,270.42
01/01/2002,col_7,116.49
01/04/2002,bruttonationaleinkommen_mrd_eur,537.71
01/04/2002,nettonationaleinkommen_mrd_eur,443.53
01/04/2002,verfuegbares_einkommen_mrd_eur,436.14
01/04/2002,col_5,391.93
01/04/2002,col_6,278.97
01/04/2002,col_7,112.96
01/07/2002,bruttonationaleinkommen_mrd_eur,560.86
01/07/2002,nettonationaleinkommen_mrd_eur,466.21
01/07/2002,verfuegbares_einkommen_mrd_eur,460.75
01/07/2002,col_5,413.54
01/07/2002,col_6,286.82
01/07/2002,col_7,126.73
01/10/2002,bruttonationaleinkommen_mrd_eur,569.58
01/10/2002,nettonationaleinkommen_mrd_eur,474.72
01/10/2002,verfuegbares_einkommen_mrd_eur,467.96
01/10/2002,col_5,423.61
01/10/2002,col_6,321.24
01/10/2002,col_7,102.38
01/01/2003,bruttonationaleinkommen_mrd_eur,537.99
01/01/2003,nettonationaleinkommen_mrd_eur,443.34
01/01/2003,verfuegbares_einkommen_mrd_eur,435.21
01/01/2003,col_5,390.02
01/01/2003,col_6,272.28
01/01/2003,col_7,117.74
01/04/2003,bruttonationaleinkommen_mrd_eur,537.96
01/04/2003,nettonationaleinkommen_mrd_eur,442.91
01/04/2003,verfuegbares_einkommen_mrd_eur,436.21
01/04/2003,col_5,389.02
01/04/2003,col_6,280.54
01/04/2003,col_7,108.48
01/07/2003,bruttonationaleinkommen_mrd_eur,565.05
01/07/2003,nettonationaleinkommen_mrd_eur,469.64
01/07/2003,verfuegbares_einkommen_mrd_eur,461.41
01/07/2003,col_5,417.40
01/07/2003,col_6,288.68
01/07/2003,col_7,128.72
01/10/2003,bruttonationaleinkommen_mrd_eur,576.76
01/10/2003,nettonationaleinkommen_mrd_eur,481.05
01/10/2003,verfuegbares_einkommen_mrd_eur,474.37
01/10/2003,col_5,426.24
01/10/2003,col_6,321.82
01/10/2003,col_7,104.42
01/01/2004,bruttonationaleinkommen_mrd_eur,559.97
01/01/2004,nettonationaleinkommen_mrd_eur,463.95
01/01/2004,verfuegbares_einkommen_mrd_eur,454.96
01/01/2004,col_5,409.54
01/01/2004,col_6,275.03
01/01/2004,col_7,134.51
01/04/2004,bruttonationaleinkommen_mrd_eur,566.02
01/04/2004,nettonationaleinkommen_mrd_eur,469.18
01/04/2004,verfuegbares_einkommen_mrd_eur,463.16
01/04/2004,col_5,417.33
01/04/2004,col_6,283.53
01/04/2004,col_7,133.81
01/07/2004,bruttonationaleinkommen_mrd_eur,582.57
01/07/2004,nettonationaleinkommen_mrd_eur,485.17
01/07/2004,verfuegbares_einkommen_mrd_eur,477.41
01/07/2004,col_5,432.61
01/07/2004,col_6,288.71
01/07/2004,col_7,143.90
01/10/2004,bruttonationaleinkommen_mrd_eur,598.29
01/10/2004,nettonationaleinkommen_mrd_eur,500.47
01/10/2004,verfuegbares_einkommen_mrd_eur,494.45
01/10/2004,col_5,445.59
01/10/2004,col_6,321.56
01/10/2004,col_7,124.03
01/01/2005,bruttonationaleinkommen_mrd_eur,564.99
01/01/2005,nettonationaleinkommen_mrd_eur,466.84
01/01/2005,verfuegbares_einkommen_mrd_eur,455.70
01/01/2005,col_5,413.95
01/01/2005,col_6,274.61
01/01/2005,col_7,139.34
01/04/2005,bruttonationaleinkommen_mrd_eur,576.42
01/04/2005,nettonationaleinkommen_mrd_eur,477.95
01/04/2005,verfuegbares_einkommen_mrd_eur,472.64
01/04/2005,col_5,424.34
01/04/2005,col_6,282.96
01/04/2005,col_7,141.39
01/07/2005,bruttonationaleinkommen_mrd_eur,592.86
01/07/2005,nettonationaleinkommen_mrd_eur,493.90
01/07/2005,verfuegbares_einkommen_mrd_eur,486.34
01/07/2005,col_5,438.52
01/07/2005,col_6,287.65
01/07/2005,col_7,150.87
01/10/2005,bruttonationaleinkommen_mrd_eur,610.45
01/10/2005,nettonationaleinkommen_mrd_eur,510.93
01/10/2005,verfuegbares_einkommen_mrd_eur,504.25
01/10/2005,col_5,455.65
01/10/2005,col_6,321.61
01/10/2005,col_7,134.04
01/01/2006,bruttonationaleinkommen_mrd_eur,595.43
01/01/2006,nettonationaleinkommen_mrd_eur,495.41
01/01/2006,verfuegbares_einkommen_mrd_eur,485.78
01/01/2006,col_5,439.85
01/01/2006,col_6,276.97
01/01/2006,col_7,162.87
01/04/2006,bruttonationaleinkommen_mrd_eur,598.77
01/04/2006,nettonationaleinkommen_mrd_eur,498.01
01/04/2006,verfuegbares_einkommen_mrd_eur,493.79
01/04/2006,col_5,441.67
01/04/2006,col_6,288.18
01/04/2006,col_7,153.49
01/07/2006,bruttonationaleinkommen_mrd_eur,622.92
01/07/2006,nettonationaleinkommen_mrd_eur,521.01
01/07/2006,verfuegbares_einkommen_mrd_eur,512.83
01/07/2006,col_5,464.56
01/07/2006,col_6,295.44
01/07/2006,col_7,169.12
01/10/2006,bruttonationaleinkommen_mrd_eur,649.73
01/10/2006,nettonationaleinkommen_mrd_eur,546.83
01/10/2006,verfuegbares_einkommen_mrd_eur,538.70
01/10/2006,col_5,488.99
01/10/2006,col_6,329.28
01/10/2006,col_7,159.71
01/01/2007,bruttonationaleinkommen_mrd_eur,633.43
01/01/2007,nettonationaleinkommen_mrd_eur,528.21
01/01/2007,verfuegbares_einkommen_mrd_eur,518.16
01/01/2007,col_5,465.08
01/01/2007,col_6,285.58
01/01/2007,col_7,179.50
01/04/2007,bruttonationaleinkommen_mrd_eur,621.87
01/04/2007,nettonationaleinkommen_mrd_eur,515.73
01/04/2007,verfuegbares_einkommen_mrd_eur,513.13
01/04/2007,col_5,453.78
01/04/2007,col_6,297.52
01/04/2007,col_7,156.26
01/07/2007,bruttonationaleinkommen_mrd_eur,650.66
01/07/2007,nettonationaleinkommen_mrd_eur,543.64
01/07/2007,verfuegbares_einkommen_mrd_eur,535.18
01/07/2007,col_5,480.63
01/07/2007,col_6,302.61
01/07/2007,col_7,178.03
01/10/2007,bruttonationaleinkommen_mrd_eur,672.91
01/10/2007,nettonationaleinkommen_mrd_eur,565.03
