date,indicator,value
01/07/1997,originalwert_kettenindex_2020100,141.71
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,132.42
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-1.5
01/10/1997,originalwert_kettenindex_2020100,146.05
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,132.34
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.1
01/01/1998,originalwert_kettenindex_2020100,106.63
01/01/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,5.2
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,131.59
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.6
01/04/1998,originalwert_kettenindex_2020100,128.28
01/04/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-7.3
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,127.87
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-2.8
01/07/1998,originalwert_kettenindex_2020100,135.73
01/07/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-4.2
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,126.10
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-1.4
01/10/1998,originalwert_kettenindex_2020100,139.43
01/10/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-4.5
01/10/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,123.14
01/10/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-2.3
01/01/1999,originalwert_kettenindex_2020100,100.51
01/01/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-5.7
01/01/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,124.84
01/01/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.4
01/04/1999,originalwert_kettenindex_2020100,126.30
01/04/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.5
01/04/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,124.87
01/04/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.0
01/07/1999,originalwert_kettenindex_2020100,136.63
01/07/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.7
01/07/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,127.02
01/07/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.7
01/10/1999,originalwert_kettenindex_2020100,142.74
01/10/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.4
01/10/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,126.48
01/10/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.4
01/01/2000,originalwert_kettenindex_2020100,104.25
01/01/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.7
