date,indicator,value
01/07/1997,originalwert_kettenindex_2020100,69.10
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,68.79
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.3
01/10/1997,originalwert_kettenindex_2020100,71.31
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,69.29
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.7
01/01/1998,originalwert_kettenindex_2020100,67.21
01/01/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,6.2
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,71.44
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,3.1
01/04/1998,originalwert_kettenindex_2020100,71.19
01/04/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.0
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,69.99
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-2.0
01/07/1998,originalwert_kettenindex_2020100,70.90
01/07/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.6
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,70.45
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.7
01/10/1998,originalwert_kettenindex_2020100,73.57
01/10/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.2
01/10/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,70.75
01/10/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.4
01/01/1999,originalwert_kettenindex_2020100,67.38
01/01/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.3
01/01/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,71.32
01/01/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.8
01/04/1999,originalwert_kettenindex_2020100,72.11
01/04/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.3
01/04/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,70.68
01/04/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.9
01/07/1999,originalwert_kettenindex_2020100,72.47
01/07/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.2
01/07/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,71.95
01/07/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.8
01/10/1999,originalwert_kettenindex_2020100,75.31
01/10/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.4
01/10/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,72.45
01/10/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.7
01/01/2000,originalwert_kettenindex_2020100,70.04
01/01/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.9
01/01/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,73.39
01/01/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.3
01/04/2000,originalwert_kettenindex_2020100,75.92
01/04/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,5.3
01/04/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,74.45
01/04/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.4
01/07/2000,originalwert_kettenindex_2020100,74.74
01/07/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.1
01/07/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,74.66
01/07/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.3
01/10/2000,originalwert_kettenindex_2020100,76.32
01/10/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.3
01/10/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,74.41
01/10/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.3
01/01/2001,originalwert_kettenindex_2020100,73.56
01/01/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,5.0
01/01/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,77.55
01/01/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,4.2
01/04/2001,originalwert_kettenindex_2020100,79.02
01/04/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,4.1
01/04/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,77.56
01/04/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.0
01/07/2001,originalwert_kettenindex_2020100,77.70
01/07/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,4.0
01/07/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,77.78
01/07/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.3
01/10/2001,originalwert_kettenindex_2020100,80.20
01/10/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,5.1
01/10/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,78.16
01/10/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.5
01/01/2002,originalwert_kettenindex_2020100,73.12
01/01/2002,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-0.6
01/01/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,78.12
01/01/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.1
01/04/2002,originalwert_kettenindex_2020100,80.26
01/04/2002,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.6
01/04/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,78.58
01/04/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.6
01/07/2002,originalwert_kettenindex_2020100,79.73
01/07/2002,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.6
01/07/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,79.09
01/07/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.6
01/10/2002,originalwert_kettenindex_2020100,81.69
01/10/2002,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.9
01/10/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,79.86
01/10/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.0
01/01/2003,originalwert_kettenindex_2020100,74.48
01/01/2003,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.9
01/01/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,79.67
01/01/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.2
01/04/2003,originalwert_kettenindex_2020100,81.60
01/04/2003,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.7
