datum,originalwert_kettenindex_2015100,originalwert_vernderung_gegenber_vorjahresquartal_in_,trendkonjunkturkomponente_bv_41_kettenindex_2015100,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vorquartal_in_,kalender_und_saisonbereinigte_werte_bv_41_kettenindex_2015100,kalender_und_saisonbereinigte_werte_bv_41_vernderung_gegenber_vorquartal_in_,restkomponente_bv_41
01/07/1995,70.89,,72.89,-0.7,72.88,-0.7,-0.0
01/10/1995,75.21,,72.28,-0.8,72.56,-0.4,0.3
01/01/1996,70.09,-3.9,71.72,-0.8,71.46,-1.5,-0.3
01/04/1996,70.72,-2.7,71.41,-0.4,71.38,-0.1,-0.0
01/07/1996,70.32,-0.8,71.48,0.1,71.49,0.2,0.0
01/10/1996,74.22,-1.3,71.92,0.6,71.68,0.3,-0.2
01/01/1997,69.11,-1.4,72.68,1.1,72.84,1.6,0.2
01/04/1997,74.51,5.4,73.49,1.1,73.49,0.9,-0.0
01/07/1997,72.93,3.7,74.23,1.0,74.00,0.7,-0.2
01/10/1997,77.47,4.4,74.85,0.8,75.36,1.8,0.5
01/01/1998,73.12,5.8,74.93,0.1,74.86,-0.7,-0.1
01/04/1998,73.90,-0.8,74.59,-0.5,74.57,-0.4,-0.0
01/07/1998,73.56,0.9,74.04,-0.7,74.26,-0.4,0.2
01/10/1998,76.34,-1.5,73.57,-0.6,73.27,-1.3,-0.3
01/01/1999,72.09,-1.4,73.51,-0.1,73.57,0.4,0.1
01/04/1999,74.01,0.1,73.71,0.3,73.58,0.0,-0.1
01/07/1999,73.96,0.5,74.51,1.1,74.53,1.3,0.0
01/10/1999,78.97,3.4,75.79,1.7,75.49,1.3,-0.3
01/01/2000,77.83,8.0,77.42,2.1,77.43,2.6,0.0
01/04/2000,79.03,6.8,79.04,2.1,79.34,2.5,0.3
01/07/2000,78.61,6.3,80.24,1.5,80.19,1.1,-0.1
01/10/2000,82.11,4.0,80.88,0.8,80.93,0.9,0.1
01/01/2001,80.61,3.6,80.98,0.1,81.34,0.5,0.4
01/04/2001,80.00,1.2,80.59,-0.5,80.43,-1.1,-0.2
01/07/2001,78.35,-0.3,79.92,-0.8,79.84,-0.7,-0.1
01/10/2001,81.00,-1.4,79.25,-0.8,79.35,-0.6,0.1
01/01/2002,75.49,-6.4,78.83,-0.5,78.37,-1.2,-0.5
01/04/2002,79.26,-0.9,78.88,0.1,78.95,0.7,0.1
01/07/2002,78.70,0.4,79.00,0.2,79.21,0.3,0.2
01/10/2002,80.90,-0.1,79.04,0.1,79.11,-0.1,0.1
01/01/2003,77.08,2.1,79.06,0.0,79.25,0.2,0.2
01/04/2003,78.34,-1.2,79.09,0.0,78.72,-0.7,-0.4
01/07/2003,78.75,0.1,79.52,0.6,79.25,0.7,-0.3
01/10/2003,82.13,1.5,80.42,1.1,80.71,1.8,0.3
01/01/2004,79.78,3.5,81.20,1.0,81.00,0.4,-0.2
01/04/2004,82.98,5.9,81.71,0.6,82.14,1.4,0.4
01/07/2004,81.63,3.7,81.79,0.1,82.10,-0.0,0.3
01/10/2004,84.71,3.1,81.69,-0.1,81.16,-1.1,-0.5
01/01/2005,79.29,-0.6,81.89,0.2,82.08,1.1,0.2
01/04/2005,84.87,2.3,82.34,0.6,82.21,0.2,-0.1
01/07/2005,82.57,1.2,83.33,1.2,83.14,1.1,-0.2
01/10/2005,86.72,2.4,84.65,1.6,84.68,1.8,0.0
01/01/2006,85.95,8.4,86.20,1.8,86.19,1.8,-0.0
01/04/2006,87.87,3.5,87.89,2.0,88.01,2.1,0.1
01/07/2006,87.83,6.4,89.36,1.7,89.42,1.6,0.1
01/10/2006,92.32,6.5,90.51,1.3,90.65,1.4,0.1
01/01/2007,90.13,4.9,91.50,1.1,91.53,1.0,0.0
01/04/2007,91.94,4.6,92.46,1.0,92.16,0.7,-0.3
01/07/2007,91.62,4.3,93.38,1.0,92.84,0.7,-0.5
01/10/2007,96.20,4.2,94.29,1.0,94.64,1.9,0.4
01/01/2008,90.87,0.8,94.29,-0.0,94.05,-0.6,-0.2
01/04/2008,95.88,4.3,92.97,-1.4,93.89,-0.2,0.9
01/07/2008,90.84,-0.9,89.66,-3.6,90.60,-3.5,0.9
01/10/2008,87.31,-9.2,84.95,-5.2,86.49,-4.5,1.5
01/01/2009,74.83,-17.7,80.32,-5.5,76.21,-11.9,-4.1
01/04/2009,75.04,-21.7,77.35,-3.7,75.95,-0.3,-1.4
01/07/2009,77.36,-14.8,77.68,0.4,77.38,1.9,-0.3
01/10/2009,81.72,-6.4,80.36,3.5,79.71,3.0,-0.7
01/01/2010,84.70,13.2,84.35,5.0,85.22,6.9,0.9
01/04/2010,89.04,18.7,87.95,4.3,88.85,4.3,0.9
01/07/2010,89.50,15.7,90.47,2.9,90.11,1.4,-0.4
01/10/2010,95.66,17.1,92.27,2.0,92.70,2.9,0.4
01/01/2011,93.15,10.0,93.29,1.1,93.02,0.3,-0.3
01/04/2011,94.17,5.8,94.09,0.9,93.80,0.8,-0.3
01/07/2011,94.49,5.6,94.65,0.6,94.89,1.2,0.2
01/10/2011,96.16,0.5,94.89,0.3,94.76,-0.1,-0.1
01/01/2012,95.71,2.7,95.05,0.2,95.11,0.4,0.1
01/04/2012,94.48,0.3,94.90,-0.2,94.97,-0.1,0.1
01/07/2012,93.54,-1.0,94.57,-0.4,94.77,-0.2,0.2
01/10/2012,94.72,-1.5,94.14,-0.5,94.16,-0.7,0.0
01/01/2013,91.55,-4.3,93.80,-0.4,93.39,-0.8,-0.4
01/04/2013,94.61,0.1,94.10,0.3,94.24,0.9,0.1
01/07/2013,93.91,0.4,94.93,0.9,94.65,0.4,-0.3
01/10/2013,96.72,2.1,96.10,1.2,95.90,1.3,-0.2
01/01/2014,97.27,6.2,97.41,1.4,98.09,2.3,0.7
01/04/2014,97.40,2.9,98.32,0.9,98.02,-0.1,-0.3
01/07/2014,98.17,4.5,98.98,0.7,98.96,1.0,-0.0
01/10/2014,100.92,4.3,99.43,0.5,100.20,1.3,0.8
01/01/2015,97.93,0.7,99.49,0.1,98.76,-1.4,-0.7
01/04/2015,99.50,2.2,99.81,0.3,99.80,1.1,-0.0
01/07/2015,99.96,1.8,100.44,0.6,100.62,0.8,0.2
01/10/2015,102.60,1.7,101.49,1.0,100.88,0.3,-0.6
01/01/2016,101.89,4.0,102.79,1.3,103.26,2.4,0.5
01/04/2016,106.66,7.2,103.72,0.9,104.16,0.9,0.4
01/07/2016,103.60,3.6,104.48,0.7,104.39,0.2,-0.1
01/10/2016,105.66,3.0,105.20,0.7,104.72,0.3,-0.5
01/01/2017,107.73,5.7,106.42,1.2,106.43,1.6,0.0
01/04/2017,107.34,0.6,108.05,1.5,107.66,1.1,-0.4
01/07/2017,107.93,4.2,109.72,1.5,109.96,2.1,0.2
01/10/2017,111.51,5.5,110.73,0.9,111.61,1.5,0.9
01/01/2018,109.77,1.9,110.65,-0.1,110.21,-1.3,-0.4
01/04/2018,110.95,3.4,110.29,-0.3,110.56,0.3,0.3
01/07/2018,107.07,-0.8,109.78,-0.5,109.44,-1.0,-0.3
01/10/2018,109.82,-1.5,109.52,-0.2,108.91,-0.5,-0.6
01/01/2019,109.91,0.1,109.47,-0.0,109.92,0.9,0.4
01/04/2019,108.34,-2.4,109.06,-0.4,109.00,-0.8,-0.1
01/07/2019,106.91,-0.1,108.29,-0.7,108.84,-0.2,0.5
01/10/2019,108.18,-1.5,106.73,-1.4,107.10,-1.6,0.4
01/01/2020,105.73,-3.8,104.86,-1.7,104.54,-2.4,-0.3
01/04/2020,87.66,-19.1,103.68,-1.1,88.26,-15.6,-15.4
01/07/2020,100.62,-5.9,103.70,0.0,102.97,16.7,-0.7
01/10/2020,109.08,0.8,105.01,1.3,106.29,3.2,1.3
01/01/2021,107.41,1.6,106.63,1.5,107.06,0.7,0.4
01/04/2021,108.74,24.0,107.71,1.0,108.19,1.1,0.5
01/07/2021,105.87,5.2,107.91,0.2,108.01,-0.2,0.1
01/10/2021,110.81,1.6,107.68,-0.2,107.64,-0.3,-0.0
01/01/2022,108.18,0.7,107.43,-0.2,107.04,-0.6,-0.4
01/04/2022,107.76,-0.9,107.39,-0.0,107.15,0.1,-0.2
01/07/2022,106.15,0.3,107.53,0.1,107.93,0.7,0.4
01/10/2022,108.45,-2.1,107.44,-0.1,107.21,-0.7,-0.2
01/01/2023,109.47,1.2,107.18,-0.2,107.43,0.2,0.2
01/04/2023,106.43,-1.2,106.62,-0.5,106.73,-0.6,0.1
01/07/2023,102.70,-3.3,105.84,-0.7,105.39,-1.3,-0.4
01/10/2023,105.56,-2.7,104.94,-0.9,105.16,-0.2,0.2
01/01/2024,104.37,-4.7,104.13,-0.8,103.99,-1.1,-0.1
