date,indicator,value
01/07/1997,originalwert_kettenindex_2020100,74.12
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,74.94
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.6
01/10/1997,originalwert_kettenindex_2020100,78.45
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,76.59
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,2.2
01/01/1998,originalwert_kettenindex_2020100,74.71
01/01/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,5.9
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,76.21
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.5
01/04/1998,originalwert_kettenindex_2020100,75.15
01/04/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-0.7
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,75.64
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.7
01/07/1998,originalwert_kettenindex_2020100,74.77
01/07/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.9
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,75.37
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.4
01/10/1998,originalwert_kettenindex_2020100,77.37
01/10/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.4
01/10/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,74.21
01/10/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-1.5
01/01/1999,originalwert_kettenindex_2020100,73.96
01/01/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.0
01/01/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,75.31
01/01/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.5
01/04/1999,originalwert_kettenindex_2020100,75.34
01/04/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.3
01/04/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,75.00
01/04/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.4
01/07/1999,originalwert_kettenindex_2020100,75.48
01/07/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.9
01/07/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,76.06
01/07/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.4
01/10/1999,originalwert_kettenindex_2020100,79.65
01/10/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.9
01/10/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,76.64
01/10/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.8
01/01/2000,originalwert_kettenindex_2020100,79.15
01/01/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,7.0
01/01/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,78.95
01/01/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,3.0
01/04/2000,originalwert_kettenindex_2020100,80.07
01/04/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,6.3
01/04/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,80.45
01/04/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.9
01/07/2000,originalwert_kettenindex_2020100,79.91
01/07/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,5.9
01/07/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,81.50
01/07/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.3
01/10/2000,originalwert_kettenindex_2020100,82.78
01/10/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.9
01/10/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,80.97
01/10/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.7
01/01/2001,originalwert_kettenindex_2020100,82.18
01/01/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.8
01/01/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,82.77
01/01/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,2.2
01/04/2001,originalwert_kettenindex_2020100,80.95
01/04/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.1
01/04/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,81.35
01/04/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-1.7
01/07/2001,originalwert_kettenindex_2020100,79.65
01/07/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-0.3
01/07/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,81.10
01/07/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.3
01/10/2001,originalwert_kettenindex_2020100,81.30
01/10/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.8
01/10/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,79.74
01/10/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-1.7
01/01/2002,originalwert_kettenindex_2020100,76.45
01/01/2002,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-7.0
01/01/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,78.67
01/01/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-1.3
01/04/2002,originalwert_kettenindex_2020100,79.76
01/04/2002,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.5
01/04/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,79.36
01/04/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.9
01/07/2002,originalwert_kettenindex_2020100,79.50
01/07/2002,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-0.2
01/07/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,79.98
01/07/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.8
01/10/2002,originalwert_kettenindex_2020100,81.06
01/10/2002,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-0.3
01/10/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,80.03
01/10/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.1
01/01/2003,originalwert_kettenindex_2020100,78.09
01/01/2003,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.1
01/01/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,79.77
01/01/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.3
01/04/2003,originalwert_kettenindex_2020100,78.81
01/04/2003,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.2
01/04/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,79.26
01/04/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.6
01/07/2003,originalwert_kettenindex_2020100,79.56
01/07/2003,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.1
01/07/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,79.87
01/07/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.8
01/10/2003,originalwert_kettenindex_2020100,82.34
01/10/2003,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.6
01/10/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,81.14
01/10/2003,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.6
01/01/2004,originalwert_kettenindex_2020100,80.93
01/01/2004,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.6
01/01/2004,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,81.39
01/01/2004,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.3
01/04/2004,originalwert_kettenindex_2020100,83.71
01/04/2004,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,6.2
01/04/2004,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,83.25
01/04/2004,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,2.3
01/07/2004,originalwert_kettenindex_2020100,82.43
01/07/2004,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.6
01/07/2004,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,82.74
01/07/2004,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.6
01/10/2004,originalwert_kettenindex_2020100,84.99
01/10/2004,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.2
01/10/2004,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,82.27
01/10/2004,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.6
01/01/2005,originalwert_kettenindex_2020100,80.30
01/01/2005,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-0.8
01/01/2005,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,82.75
01/01/2005,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.6
01/04/2005,originalwert_kettenindex_2020100,85.42
01/04/2005,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.0
01/04/2005,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,83.09
01/04/2005,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.4
01/07/2005,originalwert_kettenindex_2020100,83.35
01/07/2005,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.1
01/07/2005,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,83.92
01/07/2005,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.0
01/10/2005,originalwert_kettenindex_2020100,86.94
01/10/2005,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.3
01/10/2005,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,85.19
01/10/2005,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.5
01/01/2006,originalwert_kettenindex_2020100,86.96
01/01/2006,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,8.3
01/01/2006,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,86.70
01/01/2006,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.8
01/04/2006,originalwert_kettenindex_2020100,88.56
01/04/2006,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.7
01/04/2006,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,88.94
01/04/2006,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,2.6
01/07/2006,originalwert_kettenindex_2020100,88.66
01/07/2006,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,6.4
01/07/2006,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,90.20
01/07/2006,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.4
01/10/2006,originalwert_kettenindex_2020100,92.76
01/10/2006,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,6.7
01/10/2006,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,91.20
01/10/2006,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.1
