bruttowertschoepfung_nach_ausgewaehlten_wirtschaftsbereichen,in_jeweiligen_preisen,col_3,col_4,col_5
Datum;Insgesamt,Mrd.EUR;ProduzierendesGewerbeohneBaugewerbe,Mrd.EUR;Baugewerbe,Mrd.EUR;Handel,GastgewerbeundVerkehr
01/07/2000;484,16;120,73;25,48;77,86
01/10/2000;495,18;125,38;26,48;80,19
01/01/2001;482,47;123,60;19,09;76,36
01/04/2001;482,01;123,12;22,95;82,58
01/07/2001;499,14;121,48;24,44;82,31
01/10/2001;513,89;123,35;25,51;84,73
01/01/2002;482,69;116,37;17,93;76,60
01/04/2002;490,88;121,92;22,12;83,88
01/07/2002;510,92;122,92;23,74;84,11
01/10/2002;519,05;124,46;24,13;85,31
01/01/2003;487,13;120,60;16,27;77,23
01/04/2003;490,59;120,98;21,06;84,54
01/07/2003;515,66;122,48;23,18;86,10
01/10/2003;522,52;125,92;23,63;87,23
01/01/2004;500,78;123,91;16,31;78,48
01/04/2004;511,26;128,07;20,69;86,54
01/07/2004;523,19;127,31;21,79;85,69
01/10/2004;533,80;131,54;22,87;88,54
01/01/2005;504,47;123,27;14,41;80,28
01/04/2005;519,63;131,81;20,19;89,24
01/07/2005;530,78;129,53;21,74;88,60
01/10/2005;540,30;133,90;22,56;89,87
01/01/2006;526,55;135,57;14,31;82,79
01/04/2006;535,17;137,65;19,99;91,21
01/07/2006;553,18;138,70;22,54;91,45
01/10/2006;569,97;143,69;24,68;95,56
01/01/2007;553,66;143,27;16,73;87,20
01/04/2007;558,24;145,48;20,80;95,58
01/07/2007;575,41;146,50;22,91;95,48
01/10/2007;588,38;151,86;25,11;97,87
01/01/2008;570,73;145,96;17,35;91,14
01/04/2008;580,18;153,53;22,22;99,94
01/07/2008;585,21;147,26;23,58;99,08
01/10/2008;580,77;139,34;25,10;96,59
01/01/2009;539,43;121,60;16,76;89,27
01/04/2009;541,65;121,54;22,10;96,34
01/07/2009;563,56;127,54;24,29;96,63
01/10/2009;579,11;134,45;26,25;98,20
01/01/2010;564,75;139,12;17,25;85,65
01/04/2010;571,22;143,92;24,36;94,72
01/07/2010;595,13;147,27;25,78;97,32
01/10/2010;610,06;156,23;27,02;98,10
01/01/2011;599,94;152,70;19,06;91,38
01/04/2011;601,24;153,87;24,74;99,08
01/07/2011;621,34;156,76;26,66;100,57
01/10/2011;629,35;158,56;29,54;100,99
01/01/2012;618,67;161,50;20,94;92,88
01/04/2012;612,60;158,22;26,01;98,71
01/07/2012;631,22;159,08;27,93;99,24
01/10/2012;638,01;159,78;29,60;99,64
01/01/2013;621,05;154,70;20,07;93,17
01/04/2013;629,97;159,20;27,05;101,85
01/07/2013;650,34;159,18;29,42;102,88
01/10/2013;657,57;160,86;31,27;102,18
01/01/2014;653,87;164,01;22,54;99,13
01/04/2014;652,29;163,77;27,68;106,63
01/07/2014;674,42;166,18;29,81;108,26
01/10/2014;685,51;169,36;31,73;109,24
01/01/2015;672,53;167,88;22,52;104,30
01/04/2015;677,16;170,63;27,97;112,22
01/07/2015;699,11;171,60;30,22;113,82
01/10/2015;711,69;174,51;33,25;114,74
01/01/2016;697,22;176,01;23,56;107,32
01/04/2016;711,35;182,32;30,89;118,05
01/07/2016;720,40;177,27;31,96;116,30
01/10/2016;732,83;179,89;34,33;119,19
01/01/2017;732,23;183,55;25,45;115,78
01/04/2017;730,94;182,36;31,58;124,51
01/07/2017;755,48;184,04;33,62;124,98
01/10/2017;771,42;188,50;36,72;126,98
01/01/2018;759,08;188,90;26,81;119,58
01/04/2018;760,12;189,86;33,97;129,16
01/07/2018;772,04;183,85;36,11;127,79
01/10/2018;794,63;188,20;40,19;131,77
01/01/2019;785,25;192,69;28,99;124,75
01/04/2019;777,58;188,63;35,10;133,13
01/07/2019;804,85;188,96;38,26;134,03
01/10/2019;814,34;189,94;41,10;134,78
01/01/2020;796,55;189,78;32,15;123,70
01/04/2020;713,16;155,11;37,00;115,54
01/07/2020;794,72;179,02;39,33;130,64
01/10/2020;822,62;192,98;46,43;130,85
01/01/2021;804,38;190,79;31,31;120,84
01/04/2021;808,50;189,65;40,58;135,61
01/07/2021;842,17;186,51;42,40;141,84
01/10/2021;869,78;197,98;48,03;148,04
01/01/2022;876,60;203,93;34,20;145,02
01/04/2022;880,76;208,51;43,12;159,84
01/07/2022;910,87;201,55;45,99;166,28
01/10/2022;944,88;214,52;51,62;167,41
01/01/2023;963,82;244,06;38,84;152,93
01/04/2023;947,19;232,54;46,31;160,10
01/07/2023;973,44;226,05;48,61;163,96
01/10/2023;1004,24;241,19;53,49;165,95
01/01/2024;984,47;235,83;42,35;152,76
01/04/2024;978,93;232,59;50,28;162,36
01/07/2024;997,15;226,24;52,10;164,71
01/10/2024;1019,09;236,26;56,68;167,08
01/01/2025;1006,84;233,70;43,32;154,59
01/04/2025;1005,69;231,99;51,48;166,14
01/07/2025;1031,20;229,55;54,06;168,36
01/10/2025;1060,62;241,04;59,33;170,70
01/01/2026;1043,90;241,82;44,31;159,68
01/04/2026;1046,66;245,58;54,40;172,23
