bruttowertschoepfung_nach_ausgewaehlten_wirtschaftsbereichen,preisbereinigt,col_3,col_4,col_5
Datum;Insgesamt,Mrd.EUR;ProduzierendesGewerbeohneBaugewerbe,Mrd.EUR;Baugewerbe,Mrd.EUR;Handel,GastgewerbeundVerkehr
01/07/2000;81,24;79,74;130,91;74,74
01/10/2000;81,78;82,61;134,91;76,32
01/01/2001;81,13;82,01;95,32;73,56
01/04/2001;80,85;80,78;115,60;79,02
01/07/2001;82,60;79,49;123,46;77,70
01/10/2001;83,21;81,13;128,79;80,20
01/01/2002;79,81;76,29;89,10;73,12
01/04/2002;81,34;79,59;111,07;80,26
01/07/2002;83,30;79,34;119,36;79,73
01/10/2002;83,52;80,89;121,18;81,69
01/01/2003;79,50;77,92;81,10;74,48
01/04/2003;80,20;78,64;105,49;81,60
01/07/2003;83,13;79,40;116,17;82,36
01/10/2003;83,39;82,17;118,17;83,66
01/01/2004;80,95;80,76;80,85;77,13
01/04/2004;82,45;83,53;103,19;85,02
01/07/2004;83,51;82,26;109,08;83,35
01/10/2004;84,44;84,81;114,52;86,40
01/01/2005;80,80;80,13;71,60;78,32
01/04/2005;83,43;85,25;100,00;87,55
01/07/2005;84,46;83,18;106,97;85,94
01/10/2005;85,57;86,76;111,61;88,64
01/01/2006;84,27;86,78;69,30;85,00
01/04/2006;85,70;88,37;96,87;93,41
01/07/2006;87,71;88,48;106,88;92,58
01/10/2006;89,78;92,56;116,44;97,68
01/01/2007;87,90;91,21;76,64;88,11
01/04/2007;88,74;92,50;94,73;96,45
01/07/2007;90,38;92,27;102,53;95,44
01/10/2007;92,08;96,53;112,04;99,19
01/01/2008;89,70;92,08;75,04;90,08
01/04/2008;91,51;96,43;96,11;98,66
01/07/2008;91,30;91,48;100,42;96,08
01/10/2008;90,03;87,55;107,41;96,12
01/01/2009;83,18;74,63;69,25;84,20
01/04/2009;83,54;74,75;92,00;91,25
01/07/2009;85,78;76,85;100,66;90,53
01/10/2009;87,48;81,06;109,19;93,04
01/01/2010;86,01;85,63;69,79;80,60
01/04/2010;87,84;89,65;100,04;89,19
01/07/2010;90,01;89,91;105,17;90,10
01/10/2010;91,74;95,95;110,27;91,49
01/01/2011;90,90;93,96;76,56;85,51
01/04/2011;91,31;94,95;99,76;92,98
01/07/2011;93,06;94,70;105,24;92,86
01/10/2011;93,72;96,91;116,98;94,46
01/01/2012;92,57;97,02;79,33;89,83
01/04/2012;91,75;95,33;99,40;95,30
01/07/2012;93,05;93,98;104,97;94,22
01/10/2012;93,64;95,58;111,58;95,40
01/01/2013;91,06;91,97;73,05;87,21
01/04/2013;92,62;94,95;98,50;95,67
01/07/2013;94,31;93,76;106,25;95,55
01/10/2013;95,02;96,69;114,06;96,03
01/01/2014;94,29;97,94;80,55;89,55
01/04/2014;93,83;97,81;98,81;96,18
01/07/2014;96,17;98,15;105,33;96,62
01/10/2014;97,36;101,14;112,76;98,64
01/01/2015;95,18;98,17;76,89;91,66
01/04/2015;95,46;99,71;95,66;98,13
01/07/2015;97,72;99,71;102,00;98,83
01/10/2015;99,24;102,81;112,66;101,05
01/01/2016;97,26;101,78;77,86;93,33
01/04/2016;99,01;106,24;100,84;102,01
01/07/2016;99,64;102,75;103,53;99,91
01/10/2016;100,94;105,47;111,80;102,80
01/01/2017;101,00;106,93;81,26;98,34
01/04/2017;100,40;106,37;99,41;105,01
01/07/2017;102,85;106,86;104,04;104,36
01/10/2017;104,54;110,89;113,88;107,02
01/01/2018;102,96;109,47;81,98;100,86
01/04/2018;102,71;110,24;102,44;108,04
01/07/2018;103,34;106,37;106,40;105,83
01/10/2018;105,23;109,56;117,23;109,01
01/01/2019;104,11;109,65;81,29;103,99
01/04/2019;102,69;107,87;97,45;110,19
01/07/2019;105,26;106,61;103,93;110,33
01/10/2019;105,53;107,76;111,14;111,57
01/01/2020;103,09;105,47;84,28;99,51
01/04/2020;91,35;86,62;96,19;92,50
01/07/2020;101,59;99,36;100,49;103,44
01/10/2020;103,97;108,54;119,05;104,55
01/01/2021;101,62;105,77;77,72;94,52
01/04/2021;102,08;106,25;98,28;103,80
01/07/2021;105,37;103,15;100,38;106,91
01/10/2021;107,41;110,46;110,39;111,05
01/01/2022;106,04;105,56;74,84;106,02
01/04/2022;104,47;105,06;86,70;111,54
01/07/2022;106,97;104,03;87,48;112,05
01/10/2022;107,91;107,45;95,42;113,64
01/01/2023;106,65;107,04;70,30;104,07
01/04/2023;103,19;102,04;81,33;107,37
01/07/2023;105,53;98,86;83,56;109,65
01/10/2023;107,34;105,58;91,53;112,04
01/01/2024;106,06;105,39;69,38;100,52
01/04/2024;104,28;103,16;81,37;105,53
01/07/2024;106,07;100,00;83,08;107,33
01/10/2024;106,26;102,48;89,41;108,57
01/01/2025;105,56;102,87;66,52;100,55
01/04/2025;103,72;101,23;77,51;106,35
01/07/2025;106,31;99,65;80,66;108,21
01/10/2025;107,16;102,66;87,83;109,31
01/01/2026;106,36;103,39;64,13;101,28
01/04/2026;104,88;102,33;76,28;107,05
