datum,originalwert_2015100,originalwert_vernderung_gegenber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_2015100,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vormonat_in_,kalender_und_saisonbereinigte_werte_bv_41_2015100,kalender_und_saisonbereinigte_werte_bv_41_vernderung_gegenber_vormonat_in_,restkomponente_bv_41
01/03/1994,82.4,,82.4,0.2,82.3,0.4,-0.1
01/04/1994,82.6,,82.6,0.2,82.6,0.3,-0.1
01/05/1994,82.9,,82.8,0.2,82.8,0.3,-0.0
01/06/1994,83.2,,83.0,0.2,83.2,0.5,0.2
01/07/1994,82.9,,83.1,0.2,83.3,0.1,0.2
01/08/1994,82.6,,83.3,0.1,83.0,-0.4,-0.3
01/09/1994,82.7,,83.3,0.1,82.9,-0.1,-0.4
01/10/1994,82.9,,83.4,0.0,83.3,0.5,-0.1
01/11/1994,83.3,,83.4,0.0,83.5,0.2,0.1
01/12/1994,83.9,,83.4,-0.0,83.7,0.2,0.3
01/01/1995,84.2,2.2,83.4,-0.0,83.6,-0.1,0.3
01/02/1995,84.1,1.8,83.3,-0.0,83.6,-0.1,0.2
01/03/1995,83.2,1.0,83.3,-0.1,83.1,-0.6,-0.2
01/04/1995,83.1,0.6,83.2,-0.1,82.9,-0.2,-0.3
01/05/1995,83.1,0.2,83.1,-0.1,82.9,-0.0,-0.2
01/06/1995,82.8,-0.5,83.1,-0.1,82.9,-0.0,-0.2
01/07/1995,82.4,-0.6,83.0,-0.1,82.9,0.0,-0.1
01/08/1995,82.9,0.4,83.0,-0.0,83.3,0.5,0.3
01/09/1995,83.1,0.5,82.9,-0.0,83.3,-0.0,0.4
01/10/1995,82.5,-0.5,82.9,-0.0,82.9,-0.5,-0.1
01/11/1995,82.5,-1.0,82.9,-0.0,82.8,-0.0,-0.1
01/12/1995,82.8,-1.3,82.9,0.0,82.7,-0.1,-0.2
01/01/1996,83.2,-1.2,82.9,0.0,82.7,-0.0,-0.2
01/02/1996,83.2,-1.1,83.0,0.0,82.7,-0.0,-0.3
01/03/1996,83.5,0.4,83.0,0.1,83.2,0.6,0.2
01/04/1996,83.8,0.8,83.1,0.1,83.5,0.4,0.4
01/05/1996,83.8,0.8,83.2,0.1,83.5,-0.0,0.3
01/06/1996,83.2,0.5,83.3,0.1,83.4,-0.1,0.1
01/07/1996,82.8,0.5,83.4,0.1,83.2,-0.2,-0.2
01/08/1996,82.6,-0.4,83.6,0.2,82.9,-0.4,-0.7
01/09/1996,83.2,0.1,83.8,0.3,83.4,0.6,-0.4
01/10/1996,83.8,1.6,84.0,0.3,84.0,0.7,-0.0
01/11/1996,83.8,1.6,84.3,0.3,84.2,0.2,-0.1
01/12/1996,84.5,2.1,84.6,0.4,84.6,0.5,-0.0
01/01/1997,85.4,2.6,85.0,0.4,85.1,0.6,0.1
01/02/1997,86.0,3.4,85.3,0.4,85.6,0.6,0.2
01/03/1997,86.0,3.0,85.7,0.4,85.7,0.2,0.0
01/04/1997,85.9,2.5,86.0,0.4,85.7,0.0,-0.3
01/05/1997,86.3,3.0,86.3,0.3,86.1,0.4,-0.2
01/06/1997,86.1,3.5,86.6,0.3,86.4,0.3,-0.2
01/07/1997,86.8,4.8,86.7,0.2,86.9,0.6,0.2
01/08/1997,87.6,6.1,86.9,0.1,87.5,0.7,0.6
01/09/1997,87.0,4.6,86.9,0.0,87.1,-0.4,0.3
01/10/1997,86.8,3.6,86.8,-0.1,87.0,-0.1,0.2
01/11/1997,86.5,3.2,86.7,-0.1,86.9,-0.2,0.2
01/12/1997,86.5,2.4,86.5,-0.2,86.7,-0.2,0.2
01/01/1998,86.5,1.3,86.2,-0.3,86.4,-0.3,0.2
01/02/1998,86.1,0.1,85.9,-0.4,86.0,-0.5,0.1
01/03/1998,85.6,-0.5,85.5,-0.5,85.5,-0.6,0.0
01/04/1998,85.3,-0.7,85.0,-0.6,85.1,-0.4,0.1
01/05/1998,84.9,-1.6,84.5,-0.6,84.6,-0.6,0.2
