datum,beschftigte_messzahlen_2015100
01/03/2000,99.6
01/04/2000,99.7
01/05/2000,100.2
01/06/2000,99.7
01/07/2000,99.8
01/08/2000,100.4
01/09/2000,100.6
01/10/2000,100.5
01/11/2000,100.7
01/12/2000,100.7
01/01/2001,99.7
01/02/2001,99.2
01/03/2001,99.5
01/04/2001,99.4
01/05/2001,99.5
01/06/2001,99.6
01/07/2001,99.5
01/08/2001,100.1
01/09/2001,100.2
01/10/2001,100.6
01/11/2001,100.9
01/12/2001,101.1
01/01/2002,99.4
01/02/2002,99.1
01/03/2002,98.7
01/04/2002,98.5
01/05/2002,98.5
01/06/2002,98.2
01/07/2002,97.9
01/08/2002,98.2
01/09/2002,98.3
01/10/2002,98.3
01/11/2002,98.4
01/12/2002,98.4
01/01/2003,95.8
01/02/2003,95.7
01/03/2003,95.5
01/04/2003,95.8
01/05/2003,95.8
01/06/2003,95.9
01/07/2003,96.6
01/08/2003,96.8
01/09/2003,97.5
01/10/2003,97.7
01/11/2003,98.2
01/12/2003,98.5
01/01/2004,98.3
01/02/2004,97.7
01/03/2004,97.9
01/04/2004,97.9
01/05/2004,97.9
01/06/2004,97.8
01/07/2004,98.5
01/08/2004,98.9
01/09/2004,99.5
01/10/2004,99.5
01/11/2004,99.8
01/12/2004,100.0
01/01/2005,98.7
01/02/2005,98.2
01/03/2005,98.4
01/04/2005,98.4
01/05/2005,98.3
01/06/2005,98.5
01/07/2005,98.3
01/08/2005,98.7
01/09/2005,99.1
01/10/2005,99.2
01/11/2005,99.7
01/12/2005,99.8
01/01/2006,98.0
01/02/2006,97.4
01/03/2006,97.3
01/04/2006,97.3
01/05/2006,97.5
01/06/2006,97.6
01/07/2006,97.5
01/08/2006,98.1
01/09/2006,98.3
01/10/2006,98.5
01/11/2006,98.9
01/12/2006,98.8
01/01/2007,97.1
01/02/2007,96.6
01/03/2007,97.0
01/04/2007,97.3
01/05/2007,97.5
01/06/2007,97.4
01/07/2007,97.5
01/08/2007,98.4
01/09/2007,98.5
01/10/2007,99.2
01/11/2007,99.5
01/12/2007,99.5
01/01/2008,97.7
01/02/2008,97.1
01/03/2008,97.2
01/04/2008,97.0
01/05/2008,97.1
01/06/2008,97.3
01/07/2008,97.3
01/08/2008,98.0
01/09/2008,98.3
01/10/2008,98.5
01/11/2008,98.8
01/12/2008,99.1
01/01/2009,96.6
01/02/2009,95.7
01/03/2009,95.9
01/04/2009,95.9
01/05/2009,95.9
01/06/2009,95.9
01/07/2009,96.1
01/08/2009,95.7
01/09/2009,95.9
01/10/2009,95.6
01/11/2009,96.0
01/12/2009,96.2
01/01/2010,94.5
01/02/2010,93.9
01/03/2010,94.2
01/04/2010,94.6
01/05/2010,94.6
01/06/2010,94.8
01/07/2010,94.7
01/08/2010,95.3
01/09/2010,95.7
01/10/2010,96.1
01/11/2010,96.5
01/12/2010,96.6
01/01/2011,95.0
01/02/2011,94.8
01/03/2011,95.3
01/04/2011,95.4
01/05/2011,95.8
01/06/2011,95.9
01/07/2011,96.0
01/08/2011,96.6
01/09/2011,97.0
01/10/2011,97.1
01/11/2011,97.8
01/12/2011,97.8
01/01/2012,96.5
01/02/2012,96.2
01/03/2012,96.6
01/04/2012,96.6
01/05/2012,96.6
01/06/2012,96.8
01/07/2012,96.5
01/08/2012,97.1
01/09/2012,97.5
01/10/2012,97.5
01/11/2012,98.2
01/12/2012,98.3
01/01/2013,97.0
01/02/2013,96.7
01/03/2013,96.9
01/04/2013,97.0
01/05/2013,97.2
01/06/2013,97.3
01/07/2013,97.6
01/08/2013,98.2
01/09/2013,98.5
01/10/2013,98.6
01/11/2013,99.3
01/12/2013,99.1
01/01/2014,98.1
01/02/2014,97.8
01/03/2014,98.1
01/04/2014,98.5
01/05/2014,98.6
01/06/2014,98.8
01/07/2014,98.8
01/08/2014,99.4
01/09/2014,99.8
01/10/2014,100.0
01/11/2014,100.3
01/12/2014,100.5
01/01/2015,98.8
01/02/2015,98.7
01/03/2015,99.1
01/04/2015,99.4
01/05/2015,99.6
01/06/2015,99.9
01/07/2015,99.7
01/08/2015,100.3
01/09/2015,100.6
01/10/2015,100.8
01/11/2015,101.4
01/12/2015,101.6
01/01/2016,99.7
01/02/2016,99.6
01/03/2016,99.8
01/04/2016,100.2
01/05/2016,100.3
01/06/2016,100.5
01/07/2016,100.3
01/08/2016,101.1
01/09/2016,101.3
01/10/2016,101.5
01/11/2016,102.6
01/12/2016,102.8
01/01/2017,101.2
01/02/2017,101.1
01/03/2017,101.5
01/04/2017,101.8
01/05/2017,101.8
01/06/2017,102.2
01/07/2017,102.0
01/08/2017,102.7
01/09/2017,102.8
01/10/2017,102.9
01/11/2017,103.6
