date,indicator,value
01/03/2000,einzelhandel_mit_nahrungsmitteln_usw_in_verkaufsraeumen_messzahlen_2015100,107.0
01/03/2000,einzelhandel_mit_motorenkraftstoffen_tankstellen_messzahlen_2015100,144.6
01/03/2000,einzelhandel_mit_kommunikations_und_informationstechnik_in_verkaufsraeumen_messzahlen_2015100,88.5
01/03/2000,einzelhandel_mit_sonstigen_haushaltsgeraeten_usw_in_verkaufsraeumen_messzahlen_2015100,119.1
01/03/2000,einzelhandel_nicht_in_verkaufsraeumen_uae_messzahlen_2015100,123.2
01/03/2000,kfzhandel_instandhaltung_und_reparatur_von_kfz_messzahlen_2015100,105.3
01/04/2000,einzelhandel_mit_nahrungsmitteln_usw_in_verkaufsraeumen_messzahlen_2015100,107.9
01/04/2000,einzelhandel_mit_motorenkraftstoffen_tankstellen_messzahlen_2015100,144.8
01/04/2000,einzelhandel_mit_kommunikations_und_informationstechnik_in_verkaufsraeumen_messzahlen_2015100,87.5
01/04/2000,einzelhandel_mit_sonstigen_haushaltsgeraeten_usw_in_verkaufsraeumen_messzahlen_2015100,119.3
01/04/2000,einzelhandel_nicht_in_verkaufsraeumen_uae_messzahlen_2015100,122.7
01/04/2000,kfzhandel_instandhaltung_und_reparatur_von_kfz_messzahlen_2015100,105.6
01/05/2000,einzelhandel_mit_nahrungsmitteln_usw_in_verkaufsraeumen_messzahlen_2015100,107.6
01/05/2000,einzelhandel_mit_motorenkraftstoffen_tankstellen_messzahlen_2015100,145.9
01/05/2000,einzelhandel_mit_kommunikations_und_informationstechnik_in_verkaufsraeumen_messzahlen_2015100,87.7
01/05/2000,einzelhandel_mit_sonstigen_haushaltsgeraeten_usw_in_verkaufsraeumen_messzahlen_2015100,119.8
01/05/2000,einzelhandel_nicht_in_verkaufsraeumen_uae_messzahlen_2015100,123.1
01/05/2000,kfzhandel_instandhaltung_und_reparatur_von_kfz_messzahlen_2015100,105.7
01/06/2000,einzelhandel_mit_nahrungsmitteln_usw_in_verkaufsraeumen_messzahlen_2015100,107.6
01/06/2000,einzelhandel_mit_motorenkraftstoffen_tankstellen_messzahlen_2015100,145.1
01/06/2000,einzelhandel_mit_kommunikations_und_informationstechnik_in_verkaufsraeumen_messzahlen_2015100,86.8
01/06/2000,einzelhandel_mit_sonstigen_haushaltsgeraeten_usw_in_verkaufsraeumen_messzahlen_2015100,118.8
01/06/2000,einzelhandel_nicht_in_verkaufsraeumen_uae_messzahlen_2015100,123.0
01/06/2000,kfzhandel_instandhaltung_und_reparatur_von_kfz_messzahlen_2015100,105.7
01/07/2000,einzelhandel_mit_nahrungsmitteln_usw_in_verkaufsraeumen_messzahlen_2015100,106.7
01/07/2000,einzelhandel_mit_motorenkraftstoffen_tankstellen_messzahlen_2015100,145.4
01/07/2000,einzelhandel_mit_kommunikations_und_informationstechnik_in_verkaufsraeumen_messzahlen_2015100,87.5
01/07/2000,einzelhandel_mit_sonstigen_haushaltsgeraeten_usw_in_verkaufsraeumen_messzahlen_2015100,117.7
01/07/2000,einzelhandel_nicht_in_verkaufsraeumen_uae_messzahlen_2015100,123.1
01/07/2000,kfzhandel_instandhaltung_und_reparatur_von_kfz_messzahlen_2015100,105.2
01/08/2000,einzelhandel_mit_nahrungsmitteln_usw_in_verkaufsraeumen_messzahlen_2015100,106.3
01/08/2000,einzelhandel_mit_motorenkraftstoffen_tankstellen_messzahlen_2015100,144.0
01/08/2000,einzelhandel_mit_kommunikations_und_informationstechnik_in_verkaufsraeumen_messzahlen_2015100,88.1
01/08/2000,einzelhandel_mit_sonstigen_haushaltsgeraeten_usw_in_verkaufsraeumen_messzahlen_2015100,118.8
01/08/2000,einzelhandel_nicht_in_verkaufsraeumen_uae_messzahlen_2015100,125.7
01/08/2000,kfzhandel_instandhaltung_und_reparatur_von_kfz_messzahlen_2015100,107.0
01/09/2000,einzelhandel_mit_nahrungsmitteln_usw_in_verkaufsraeumen_messzahlen_2015100,106.2
01/09/2000,einzelhandel_mit_motorenkraftstoffen_tankstellen_messzahlen_2015100,145.6
01/09/2000,einzelhandel_mit_kommunikations_und_informationstechnik_in_verkaufsraeumen_messzahlen_2015100,89.2
01/09/2000,einzelhandel_mit_sonstigen_haushaltsgeraeten_usw_in_verkaufsraeumen_messzahlen_2015100,119.1
01/09/2000,einzelhandel_nicht_in_verkaufsraeumen_uae_messzahlen_2015100,126.2
01/09/2000,kfzhandel_instandhaltung_und_reparatur_von_kfz_messzahlen_2015100,107.8
01/10/2000,einzelhandel_mit_nahrungsmitteln_usw_in_verkaufsraeumen_messzahlen_2015100,106.3
01/10/2000,einzelhandel_mit_motorenkraftstoffen_tankstellen_messzahlen_2015100,141.5
01/10/2000,einzelhandel_mit_kommunikations_und_informationstechnik_in_verkaufsraeumen_messzahlen_2015100,88.3
01/10/2000,einzelhandel_mit_sonstigen_haushaltsgeraeten_usw_in_verkaufsraeumen_messzahlen_2015100,118.9
01/10/2000,einzelhandel_nicht_in_verkaufsraeumen_uae_messzahlen_2015100,125.8
01/10/2000,kfzhandel_instandhaltung_und_reparatur_von_kfz_messzahlen_2015100,107.6
01/11/2000,einzelhandel_mit_nahrungsmitteln_usw_in_verkaufsraeumen_messzahlen_2015100,106.5
01/11/2000,einzelhandel_mit_motorenkraftstoffen_tankstellen_messzahlen_2015100,141.3
01/11/2000,einzelhandel_mit_kommunikations_und_informationstechnik_in_verkaufsraeumen_messzahlen_2015100,88.8
01/11/2000,einzelhandel_mit_sonstigen_haushaltsgeraeten_usw_in_verkaufsraeumen_messzahlen_2015100,118.9
01/11/2000,einzelhandel_nicht_in_verkaufsraeumen_uae_messzahlen_2015100,126.1
01/11/2000,kfzhandel_instandhaltung_und_reparatur_von_kfz_messzahlen_2015100,107.5
01/12/2000,einzelhandel_mit_nahrungsmitteln_usw_in_verkaufsraeumen_messzahlen_2015100,106.5
01/12/2000,einzelhandel_mit_motorenkraftstoffen_tankstellen_messzahlen_2015100,142.0
01/12/2000,einzelhandel_mit_kommunikations_und_informationstechnik_in_verkaufsraeumen_messzahlen_2015100,89.0
01/12/2000,einzelhandel_mit_sonstigen_haushaltsgeraeten_usw_in_verkaufsraeumen_messzahlen_2015100,119.2
01/12/2000,einzelhandel_nicht_in_verkaufsraeumen_uae_messzahlen_2015100,124.2
01/12/2000,kfzhandel_instandhaltung_und_reparatur_von_kfz_messzahlen_2015100,106.7
01/01/2001,einzelhandel_mit_nahrungsmitteln_usw_in_verkaufsraeumen_messzahlen_2015100,101.0
01/01/2001,einzelhandel_mit_motorenkraftstoffen_tankstellen_messzahlen_2015100,140.4
01/01/2001,einzelhandel_mit_kommunikations_und_informationstechnik_in_verkaufsraeumen_messzahlen_2015100,88.7
01/01/2001,einzelhandel_mit_sonstigen_haushaltsgeraeten_usw_in_verkaufsraeumen_messzahlen_2015100,119.5
01/01/2001,einzelhandel_nicht_in_verkaufsraeumen_uae_messzahlen_2015100,124.4
01/01/2001,kfzhandel_instandhaltung_und_reparatur_von_kfz_messzahlen_2015100,102.4
01/02/2001,einzelhandel_mit_nahrungsmitteln_usw_in_verkaufsraeumen_messzahlen_2015100,100.4
01/02/2001,einzelhandel_mit_motorenkraftstoffen_tankstellen_messzahlen_2015100,138.6
01/02/2001,einzelhandel_mit_kommunikations_und_informationstechnik_in_verkaufsraeumen_messzahlen_2015100,87.3
01/02/2001,einzelhandel_mit_sonstigen_haushaltsgeraeten_usw_in_verkaufsraeumen_messzahlen_2015100,119.8
01/02/2001,einzelhandel_nicht_in_verkaufsraeumen_uae_messzahlen_2015100,125.4
01/02/2001,kfzhandel_instandhaltung_und_reparatur_von_kfz_messzahlen_2015100,102.4
01/03/2001,einzelhandel_mit_nahrungsmitteln_usw_in_verkaufsraeumen_messzahlen_2015100,100.9
01/03/2001,einzelhandel_mit_motorenkraftstoffen_tankstellen_messzahlen_2015100,138.3
01/03/2001,einzelhandel_mit_kommunikations_und_informationstechnik_in_verkaufsraeumen_messzahlen_2015100,87.2
01/03/2001,einzelhandel_mit_sonstigen_haushaltsgeraeten_usw_in_verkaufsraeumen_messzahlen_2015100,119.4
01/03/2001,einzelhandel_nicht_in_verkaufsraeumen_uae_messzahlen_2015100,126.2
01/03/2001,kfzhandel_instandhaltung_und_reparatur_von_kfz_messzahlen_2015100,102.4
01/04/2001,einzelhandel_mit_nahrungsmitteln_usw_in_verkaufsraeumen_messzahlen_2015100,100.9
01/04/2001,einzelhandel_mit_motorenkraftstoffen_tankstellen_messzahlen_2015100,138.0
01/04/2001,einzelhandel_mit_kommunikations_und_informationstechnik_in_verkaufsraeumen_messzahlen_2015100,86.2
01/04/2001,einzelhandel_mit_sonstigen_haushaltsgeraeten_usw_in_verkaufsraeumen_messzahlen_2015100,118.8
01/04/2001,einzelhandel_nicht_in_verkaufsraeumen_uae_messzahlen_2015100,127.6
01/04/2001,kfzhandel_instandhaltung_und_reparatur_von_kfz_messzahlen_2015100,101.9
01/05/2001,einzelhandel_mit_nahrungsmitteln_usw_in_verkaufsraeumen_messzahlen_2015100,101.5
01/05/2001,einzelhandel_mit_motorenkraftstoffen_tankstellen_messzahlen_2015100,140.1
