umsatz_im_einzelhandel_nach_ausgewaehlten_wirtschaftszweigen,nominal,col_3,col_4,col_5,col_6,col_7
Datum;EinzelhandelmitNahrungsmittelnusw.(inVerkaufsräumen),Messzahlen2015=100;EinzelhandelmitMotorenkraftstoffen(Tankstellen),Messzahlen2015=100;EinzelhandelmitKommunikations-undInformations­technik(inVerkaufs­räumen),Messzahlen2015=100;EinzelhandelmitsonstigenHaushalts­gerätenusw.(inVerkaufs­räumen),Messzahlen2015=100;Einzelhandel(nichtinVerkaufs­räumenu.Ä.),Messzahlen2015=100;Kfz-Handel,Instand­haltungundReparaturvonKfz
01/03/2000;112,4;103,1;104,8;114,5;76,9;106,9
01/04/2000;111,7;99,8;91,3;108,2;66,6;85,2
01/05/2000;119,0;106,9;96,4;114,2;74,8;96,6
01/06/2000;113,2;99,8;90,6;98,7;60,1;87,2
01/07/2000;111,3;101,7;98,9;102,8;65,5;85,4
01/08/2000;112,3;105,2;98,6;101,2;73,3;79,2
01/09/2000;111,1;104,7;100,4;103,7;84,9;78,7
01/10/2000;109,1;103,4;105,0;110,3;84,9;84,3
01/11/2000;111,3;101,8;119,4;116,6;91,3;87,7
01/12/2000;138,2;105,4;160,7;122,2;77,0;77,9
01/01/2001;99,1;91,2;100,7;93,9;78,9;75,0
01/02/2001;97,4;89,7;91,0;92,0;66,1;78,8
01/03/2001;110,4;103,9;101,0;111,6;82,9;101,8
01/04/2001;108,1;100,8;88,6;105,7;71,7;92,9
01/05/2001;114,1;110,4;84,5;109,3;73,1;98,0
01/06/2001;111,1;102,8;86,4;99,4;64,6;91,7
01/07/2001;111,7;106,2;86,3;99,3;69,1;89,5
01/08/2001;112,8;102,6;90,6;99,4;70,7;81,7
01/09/2001;101,6;98,0;93,0;97,1;77,6;82,9
01/10/2001;109,4;101,7;102,3;109,9;85,1;93,8
01/11/2001;109,8;96,5;113,4;113,4;89,5;96,6
01/12/2001;133,5;96,7;149,3;114,6;70,6;84,4
01/01/2002;98,8;78,3;87,1;86,6;71,0;75,9
01/02/2002;96,0;77,2;74,9;85,2;65,1;80,6
01/03/2002;109,9;92,2;81,2;99,4;71,8;98,7
01/04/2002;105,3;94,6;76,0;103,1;74,7;102,2
01/05/2002;110,7;97,1;75,0;97,6;69,4;95,0
01/06/2002;106,7;95,0;71,6;89,9;64,0;95,8
01/07/2002;111,1;98,4;77,0;97,6;70,1;96,9
01/08/2002;109,1;95,6;77,2;92,7;65,9;83,7
01/09/2002;101,2;93,5;78,6;93,4;78,9;87,1
01/10/2002;105,9;94,6;85,3;103,2;90,3;97,4
01/11/2002;105,8;92,2;96,4;104,4;84,3;92,2
01/12/2002;126,5;93,6;127,3;106,5;73,8;86,3
01/01/2003;94,6;81,0;80,5;84,5;73,3;76,7
01/02/2003;92,6;82,5;71,8;82,5;64,4;80,3
01/03/2003;102,1;94,3;74,3;102,7;72,1;99,3
01/04/2003;106,2;95,4;70,7;101,5;72,6;100,8
01/05/2003;107,5;100,5;67,6;98,0;68,3;96,6
01/06/2003;104,1;97,0;64,1;87,1;60,7;94,7
01/07/2003;110,8;102,1;72,3;93,8;64,2;99,7
01/08/2003;106,3;98,8;67,6;87,9;58,1;81,1
01/09/2003;101,8;95,9;73,1;94,3;77,7;92,8
01/10/2003;105,0;98,6;80,9;102,3;81,6;98,2
01/11/2003;101,5;95,9;85,7;100,2;77,7;92,5
01/12/2003;123,7;97,2;112,4;106,2;72,5;87,3
01/01/2004;92,6;85,0;80,7;86,4;68,7;74,6
01/02/2004;94,9;87,5;71,8;85,8;61,0;80,8
01/03/2004;101,6;97,3;78,0;108,3;79,2;105,1
01/04/2004;105,8;100,5;72,9;103,8;67,4;100,7
01/05/2004;100,9;105,5;69,4;95,0;62,3;93,6
01/06/2004;106,1;101,7;72,1;96,5;66,2;99,8
01/07/2004;109,7;107,7;75,4;96,6;62,6;93,7
01/08/2004;102,8;106,2;71,1;90,5;62,2;81,0
01/09/2004;101,4;102,5;75,3;96,4;76,6;90,1
01/10/2004;101,5;106,6;86,5;103,9;76,6;94,2
01/11/2004;101,1;103,9;90,2;105,8;84,7;98,7
01/12/2004;123,8;103,3;124,4;110,1;74,8;93,3
01/01/2005;88,6;85,5;88,8;85,7;74,2;74,7
01/02/2005;90,0;81,4;75,8;83,3;64,2;79,2
01/03/2005;102,0;95,4;84,5;100,4;74,1;98,8
01/04/2005;103,3;99,9;80,3;103,9;71,6;104,9
01/05/2005;103,9;103,1;71,3;95,2;67,9;96,0
01/06/2005;107,8;102,0;77,4;95,7;67,0;106,4
01/07/2005;106,1;106,9;81,3;92,9;62,6;93,4
01/08/2005;101,9;106,9;77,9;94,2;75,9;85,0
