umsatz_im_einzelhandel_nach_ausgewhlten_wirtschaftszweigen,preisbereinigt_real,col_3,col_4,col_5,col_6,col_7
Datum;EinzelhandelmitNahrungsmittelnusw.(inVerkaufsr�umen),Messzahlen2015=100;EinzelhandelmitMotorenkraftstoffen(Tankstellen),Messzahlen2015=100;EinzelhandelmitKommunikations-undInformations�technik(inVerkaufs�r�umen),Messzahlen2015=100;EinzelhandelmitsonstigenHaushalts�ger�tenusw.(inVerkaufs�r�umen),Messzahlen2015=100;Einzelhandel(nichtinVerkaufs�r�umenu.�.),Messzahlen2015=100;Kfz-Handel,Instand�haltungundReparaturvonKfz
01/03/2000;153,8;149,0;31,8;127,5;86,9;119,4
01/04/2000;152,0;148,8;27,7;120,6;77,3;95,0
01/05/2000;161,4;158,9;29,8;127,3;85,3;108,1
01/06/2000;153,6;142,8;28,1;110,0;69,4;97,7
01/07/2000;151,5;145,8;31,0;114,6;74,6;95,8
01/08/2000;153,1;151,1;31,2;112,8;83,7;88,9
01/09/2000;151,7;143,8;31,9;115,4;88,3;88,5
01/10/2000;148,8;144,8;33,8;122,6;90,3;94,8
01/11/2000;151,3;141,2;38,9;129,8;97,5;98,5
01/12/2000;186,8;148,8;53,2;135,6;84,1;87,5
01/01/2001;133,5;132,0;33,2;104,3;89,1;84,1
01/02/2001;130,3;126,3;30,2;102,0;74,4;88,4
01/03/2001;146,7;146,5;34,0;123,5;93,8;114,1
01/04/2001;142,2;140,8;29,8;117,1;80,9;104,0
01/05/2001;148,6;150,9;28,4;120,7;81,9;109,5
01/06/2001;144,8;142,6;29,3;109,8;72,8;102,3
01/07/2001;146,0;150,4;29,6;109,8;79,2;99,6
01/08/2001;148,5;146,2;31,2;109,8;81,0;90,8
01/09/2001;134,0;138,4;32,3;107,2;86,1;92,0
01/10/2001;144,0;147,0;35,7;121,1;96,5;104,0
01/11/2001;145,0;141,3;39,9;124,7;102,5;107,3
01/12/2001;175,9;142,4;53,0;125,6;83,8;93,5
01/01/2002;127,8;112,2;30,5;94,7;81,2;83,7
01/02/2002;124,3;109,8;26,2;93,2;75,0;89,1
01/03/2002;142,2;128,5;28,5;108,7;81,5;108,9
01/04/2002;136,3;128,8;26,7;112,8;83,6;112,9
01/05/2002;142,8;133,8;26,8;106,9;78,4;105,2
01/06/2002;138,0;131,8;25,9;98,6;74,7;106,0
01/07/2002;144,1;136,3;28,2;107,0;81,5;106,9
01/08/2002;142,2;132,1;28,7;101,8;76,7;92,4
01/09/2002;132,0;127,8;29,4;102,5;89,3;95,9
01/10/2002;138,3;128,6;32,1;113,0;100,1;107,3
01/11/2002;138,2;128,2;36,6;114,2;95,7;101,7
01/12/2002;164,9;129,5;48,5;116,3;83,5;94,9
01/01/2003;121,7;107,1;30,8;92,2;80,2;84,3
01/02/2003;118,6;106,9;27,9;90,0;70,2;88,4
01/03/2003;130,5;121,2;28,9;112,0;77,0;109,5
01/04/2003;135,5;126,0;27,8;111,0;82,0;111,0
01/05/2003;137,0;136,0;27,1;107,0;79,1;106,1
01/06/2003;132,7;130,3;25,8;95,0;70,7;103,9
01/07/2003;141,4;137,0;29,4;102,5;74,4;109,0
01/08/2003;136,3;131,1;27,9;95,9;67,0;88,4
01/09/2003;130,1;128,5;30,2;103,0;89,1;101,1
01/10/2003;134,2;131,8;33,4;111,5;91,7;106,8
01/11/2003;130,0;128,8;35,9;109,3;87,3;100,5
01/12/2003;158,1;130,8;47,4;115,6;82,5;94,7
01/01/2004;118,3;113,9;34,2;94,1;76,9;80,8
01/02/2004;121,1;117,2;30,5;93,7;70,3;87,4
01/03/2004;127,5;127,1;33,4;118,4;88,7;113,7
01/04/2004;132,6;128,8;31,2;113,4;75,2;108,8
01/05/2004;126,3;131,6;30,3;103,9;68,3;101,0
01/06/2004;132,7;128,9;31,5;105,2;73,8;107,8
01/07/2004;137,6;135,3;33,1;105,2;69,6;101,1
01/08/2004;129,4;131,6;31,4;98,8;67,8;87,4
01/09/2004;127,8;128,5;33,3;105,3;83,1;97,6
01/10/2004;128,1;129,9;38,4;113,3;79,8;102,1
01/11/2004;127,5;129,5;40,6;115,4;90,8;107,1
01/12/2004;153,0;130,0;56,4;120,1;81,9;101,3
01/01/2005;109,7;106,8;40,4;93,3;81,1;81,2
01/02/2005;110,9;101,0;34,7;90,6;70,6;85,8
01/03/2005;125,5;114,2;39,1;109,5;79,0;107,0
01/04/2005;127,1;115,7;37,7;113,0;76,2;113,5
01/05/2005;127,7;119,7;33,8;103,5;73,3;103,6
01/06/2005;132,6;116,1;36,9;103,9;70,9;114,9
01/07/2005;131,0;117,6;39,4;101,0;66,0;100,8
01/08/2005;126,4;115,8;37,9;102,6;79,2;91,6
01/09/2005;125,3;110,9;40,5;103,3;84,3;102,3
01/10/2005;121,5;112,7;44,7;110,5;85,3;98,1
01/11/2005;122,6;111,4;47,2;112,8;95,1;108,0
01/12/2005;148,5;111,2;69,3;117,8;84,7;99,3
01/01/2006;108,2;100,8;48,3;94,8;77,6;83,3
01/02/2006;109,0;97,5;38,3;90,5;69,4;87,7
01/03/2006;122,8;109,0;43,6;112,9;83,7;117,1
01/04/2006;123,1;108,2;40,9;107,3;68,9;106,1
01/05/2006;127,6;116,4;38,8;111,1;76,4;113,7
01/06/2006;131,1;111,2;38,5;101,1;70,2;108,2
01/07/2006;131,3;116,8;39,1;99,4;65,9;102,7
01/08/2006;122,5;115,0;44,9;105,8;76,6;98,3
01/09/2006;121,4;116,7;46,0;107,3;80,4;104,0
01/10/2006;118,1;118,6;51,5;115,0;86,2;110,8
01/11/2006;120,0;113,9;56,5;121,0;91,0;120,4
01/12/2006;143,0;120,2;83,3;132,7;81,0;113,5
01/01/2007;105,0;97,0;55,8;91,5;70,0;76,0
01/02/2007;104,8;98,5;48,7;91,5;63,7;83,1
01/03/2007;121,8;112,2;57,4;117,3;73,4;109,7
01/04/2007;119,5;112,2;49,3;106,5;66,3;101,4
01/05/2007;121,2;113,8;48,0;103,2;67,2;106,5
01/06/2007;120,8;108,3;53,8;102,8;63,7;105,8
01/07/2007;119,4;109,8;57,2;100,2;62,0;103,5
01/08/2007;120,8;114,7;54,2;102,8;68,8;96,2
01/09/2007;111,0;108,4;56,7;101,1;70,9;94,2
01/10/2007;116,6;116,2;65,2;111,7;81,5;106,6
01/11/2007;115,6;107,0;69,7;111,1;81,0;105,3
01/12/2007;133,9;106,4;100,2;111,5;71,6;88,1
01/01/2008;100,8;101,0;66,6;93,7;75,7;86,7
01/02/2008;103,1;99,5;57,3;95,8;69,1;91,8
01/03/2008;107,6;104,0;64,5;106,0;68,2;97,3
01/04/2008;113,5;106,8;62,5;111,0;75,1;110,0
01/05/2008;118,2;109,2;58,2;106,7;64,7;98,0
01/06/2008;114,1;105,5;61,3;99,3;62,3;100,4
01/07/2008;116,9;108,1;62,8;103,2;69,3;98,0
01/08/2008;112,8;102,7;62,2;97,9;70,0;82,1
01/09/2008;108,1;103,9;65,1;103,8;83,1;93,0
01/10/2008;111,4;113,4;72,7;110,1;85,7;96,7
01/11/2008;107,9;110,5;77,6;107,7;83,1;87,6
01/12/2008;131,0;111,8;108,2;112,5;84,6;80,2
01/01/2009;93,8;94,7;76,6;87,4;70,0;70,9
01/02/2009;92,8;90,2;63,5;82,6;66,3;90,0
01/03/2009;100,9;102,4;69,1;101,9;77,6;114,1
01/04/2009;110,0;104,8;61,2;105,0;66,5;105,6
01/05/2009;108,8;105,4;59,3;98,2;62,1;98,5
01/06/2009;105,3;99,3;63,3;93,9;59,8;102,7
01/07/2009;111,9;105,5;70,3;98,8;61,2;100,4
01/08/2009;106,7;102,7;65,9;92,3;54,3;83,7
01/09/2009;103,7;101,8;69,8;99,1;70,5;94,2
01/10/2009;106,6;102,6;76,1;105,1;73,2;98,1
01/11/2009;104,0;97,3;83,6;103,6;69,8;88,5
01/12/2009;125,8;97,3;113,0;107,7;71,3;81,1
01/01/2010;87,3;84,2;77,2;79,0;60,0;63,8
01/02/2010;90,0;84,6;69,1;82,7;61,8;71,0
01/03/2010;103,3;96,9;75,3;108,8;71,8;100,1
01/04/2010;104,6;97,5;65,9;103,8;59,4;93,9
01/05/2010;105,7;101,7;70,9;100,8;60,7;88,7
01/06/2010;111,6;100,5;74,6;101,2;62,8;99,5
01/07/2010;115,4;106,1;73,8;101,0;62,6;92,5
01/08/2010;104,6;102,3;74,5;97,1;63,3;84,5
01/09/2010;104,4;100,8;75,1;99,9;71,6;94,1
01/10/2010;107,6;102,3;81,2;107,8;72,9;97,8
01/11/2010;103,8;97,9;88,4;108,7;78,0;98,8
01/12/2010;121,0;92,2;122,6;106,9;76,4;89,2
01/01/2011;89,6;88,6;89,4;86,1;64,1;76,8
01/02/2011;91,9;86,9;73,5;88,1;65,4;85,8
01/03/2011;103,3;94,8;77,0;109,4;69,4;107,3
01/04/2011;109,9;95,4;71,5;108,8;59,2;96,9
01/05/2011;111,2;101,5;76,0;107,6;66,6;106,2
01/06/2011;108,1;97,3;74,9;96,0;59,6;93,1
01/07/2011;108,2;99,8;81,5;100,1;63,2;93,5
01/08/2011;104,8;102,4;82,6;100,7;69,9;89,4
01/09/2011;104,1;98,7;83,2;102,6;72,7;97,3
01/10/2011;103,4;101,4;88,9;108,6;74,7;98,6
01/11/2011;104,6;97,9;97,5;111,3;79,5;102,1
01/12/2011;124,2;93,5;139,4;113,0;77,8;90,7
01/01/2012;89,3;88,5;93,4;89,3;68,8;79,4
01/02/2012;92,5;87,0;80,2;89,3;71,1;86,3
01/03/2012;105,2;94,9;89,0;114,8;71,4;110,3
01/04/2012;101,4;93,4;80,8;103,4;63,4;95,4
01/05/2012;108,4;100,0;78,3;103,8;68,9;97,1
01/06/2012;108,7;99,2;87,9;101,1;70,0;96,7
01/07/2012;103,7;100,6;85,0;100,4;69,6;93,9
