datum,originalwert_messzahlen_2015100,originalwert_vernderung_gegenber_vorjahresmonat_in_,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_vernderung_gegenber_vorsmonat_in_
03.1996,85.6,,84.7,0.0
04.1996,85.5,,86.5,2.1
05.1996,84.1,,84.8,-2.0
06.1996,78.9,,84.7,-0.1
07.1996,84.0,,85.4,0.8
08.1996,82.1,,85.3,-0.1
09.1996,82.3,,86.0,0.8
10.1996,88.4,,85.5,-0.6
11.1996,91.7,,85.4,-0.1
12.1996,105.1,,84.7,-0.8
01.1997,80.6,2.4,85.7,1.2
02.1997,73.9,-4.5,84.5,-1.4
03.1997,83.1,-2.9,84.3,-0.2
04.1997,85.9,0.5,85.0,0.8
05.1997,82.8,-1.5,84.2,-0.9
06.1997,80.3,1.8,85.5,1.5
07.1997,83.4,-0.7,84.1,-1.6
08.1997,76.7,-6.6,82.3,-2.1
09.1997,82.3,0.0,83.8,1.8
10.1997,89.3,1.0,85.9,2.5
11.1997,87.4,-4.7,83.9,-2.3
12.1997,105.5,0.4,83.5,-0.5
01.1998,79.1,-1.9,84.3,1.0
02.1998,73.8,-0.1,84.7,0.5
03.1998,85.8,3.2,86.4,2.0
04.1998,85.0,-1.0,84.3,-2.4
05.1998,83.1,0.4,84.8,0.6
06.1998,78.8,-1.9,83.6,-1.4
07.1998,85.4,2.4,85.5,2.3
08.1998,78.3,2.1,84.4,-1.3
09.1998,82.8,0.6,84.4,0.0
10.1998,88.5,-0.9,84.8,0.5
11.1998,90.3,3.3,86.8,2.4
12.1998,107.3,1.7,85.1,-2.0
01.1999,77.4,-2.1,85.2,0.1
02.1999,74.2,0.5,85.2,0.0
03.1999,90.3,5.2,86.4,1.4
04.1999,83.3,-2.0,84.2,-2.5
05.1999,81.4,-2.0,84.2,0.0
06.1999,81.3,3.2,84.9,0.8
07.1999,85.0,-0.5,84.8,-0.1
08.1999,79.7,1.8,86.1,1.5
09.1999,81.7,-1.3,82.9,-3.7
10.1999,88.6,0.1,85.8,3.5
11.1999,91.9,1.8,86.2,0.5
12.1999,108.9,1.5,86.5,0.3
01.2000,77.4,0.0,86.5,0.0
02.2000,79.8,7.5,87.5,1.2
03.2000,88.5,-2.0,86.7,-0.9
04.2000,86.2,3.5,87.2,0.6
05.2000,90.3,10.9,87.7,0.6
06.2000,80.8,-0.6,86.7,-1.1
07.2000,83.5,-1.8,87.0,0.3
08.2000,84.2,5.6,87.2,0.2
09.2000,85.6,4.8,86.9,-0.3
10.2000,88.5,-0.1,87.3,0.5
11.2000,93.7,2.0,87.7,0.5
12.2000,107.9,-0.9,88.0,0.3
01.2001,82.6,6.7,89.9,2.2
02.2001,76.8,-3.8,87.9,-2.2
03.2001,90.7,2.5,88.8,1.0
04.2001,87.6,1.6,88.4,-0.5
05.2001,90.4,0.1,89.0,0.7
06.2001,84.2,4.2,88.7,-0.3
07.2001,85.5,2.4,88.7,0.0
08.2001,85.6,1.7,88.5,-0.2
09.2001,84.4,-1.4,88.1,-0.5
10.2001,90.3,2.0,86.6,-1.7
11.2001,95.4,1.8,89.2,3.0
12.2001,106.7,-1.1,87.6,-1.8
01.2002,79.9,-3.3,86.6,-1.1
02.2002,75.1,-2.2,86.3,-0.3
03.2002,88.0,-3.0,86.6,0.3
04.2002,87.2,-0.5,87.6,1.2
05.2002,86.5,-4.3,86.9,-0.8
06.2002,80.9,-3.9,85.5,-1.6
07.2002,86.3,0.9,86.9,1.6
08.2002,83.6,-2.3,86.4,-0.6
09.2002,83.6,-0.9,87.2,0.9
10.2002,90.8,0.6,87.0,-0.2
11.2002,91.6,-4.0,86.1,-1.0
12.2002,103.9,-2.6,86.0,-0.1
01.2003,79.4,-0.6,85.7,-0.3
02.2003,74.7,-0.5,86.1,0.5
03.2003,85.1,-3.3,85.9,-0.2
04.2003,87.6,0.5,85.8,-0.1
05.2003,87.0,0.6,85.7,-0.1
06.2003,79.5,-1.7,85.6,-0.1
07.2003,85.5,-0.9,85.5,-0.1
08.2003,80.1,-4.2,85.2,-0.4
09.2003,84.6,1.2,85.9,0.8
10.2003,91.0,0.2,86.8,1.0
11.2003,88.6,-3.3,85.9,-1.0
12.2003,104.3,0.4,84.9,-1.2
01.2004,79.9,0.6,86.2,1.5
02.2004,75.6,1.2,86.4,0.2
03.2004,89.8,5.5,87.3,1.0
04.2004,89.5,2.2,88.0,0.8
05.2004,83.4,-4.1,86.0,-2.3
06.2004,85.0,6.9,87.4,1.6
07.2004,87.7,2.6,87.4,0.0
08.2004,82.0,2.4,87.1,-0.3
09.2004,86.0,1.7,87.0,-0.1
10.2004,90.3,-0.8,86.9,-0.1
11.2004,93.0,5.0,87.9,1.2
12.2004,107.2,2.8,88.0,0.1
01.2005,80.5,0.8,89.6,1.8
02.2005,77.1,2.0,88.5,-1.2
03.2005,90.9,1.2,89.0,0.6
04.2005,90.4,1.0,88.4,-0.7
05.2005,87.1,4.4,88.1,-0.3
06.2005,87.5,2.9,88.7,0.7
07.2005,86.4,-1.5,88.8,0.1
08.2005,86.8,5.9,89.3,0.6
09.2005,88.1,2.4,88.9,-0.4
10.2005,90.7,0.4,89.1,0.2
11.2005,94.2,1.3,89.2,0.1
12.2005,108.1,0.8,89.3,0.1
01.2006,82.6,2.6,89.2,-0.1
02.2006,78.1,1.3,89.7,0.6
03.2006,91.2,0.3,89.1,-0.7
04.2006,88.9,-1.7,89.7,0.7
05.2006,91.4,4.9,90.2,0.6
06.2006,87.7,0.2,90.6,0.4
07.2006,86.9,0.6,89.6,-1.1
08.2006,88.2,1.6,90.0,0.4
09.2006,87.6,-0.6,88.7,-1.4
10.2006,91.1,0.4,89.4,0.8
11.2006,94.7,0.5,89.6,0.2
12.2006,110.1,1.9,93.7,4.6
01.2007,80.6,-2.4,86.8,-7.4
02.2007,77.2,-1.2,88.6,2.1
03.2007,92.5,1.4,88.6,0.0
04.2007,88.6,-0.3,91.3,3.0
05.2007,87.2,-4.6,86.9,-4.8
06.2007,86.5,-1.4,88.1,1.4
07.2007,85.7,-1.4,88.3,0.2
08.2007,87.2,-1.1,88.4,0.1
09.2007,85.3,-2.6,88.9,0.6
10.2007,93.3,2.4,89.1,0.2
11.2007,93.9,-0.8,88.8,-0.3
12.2007,103.8,-5.7,88.8,0.0
01.2008,84.1,4.3,90.1,1.5
02.2008,82.5,6.9,91.0,1.0
03.2008,88.4,-4.4,89.5,-1.6
04.2008,91.4,3.2,89.7,0.2
05.2008,91.4,4.8,89.9,0.2
06.2008,86.1,-0.5,89.6,-0.3
07.2008,90.1,5.1,89.8,0.2
08.2008,87.0,-0.2,90.9,1.2
09.2008,90.7,6.3,92.0,1.2
10.2008,95.2,2.0,90.5,-1.6
11.2008,92.0,-2.0,90.3,-0.2
12.2008,107.0,3.1,89.7,-0.7
01.2009,81.3,-3.3,87.2,-2.8
02.2009,75.8,-8.1,87.0,-0.2
03.2009,86.4,-2.3,86.8,-0.2
04.2009,90.6,-0.9,89.1,2.6
05.2009,86.3,-5.6,86.9,-2.5
06.2009,82.9,-3.7,85.8,-1.3
07.2009,87.5,-2.9,86.8,1.2
08.2009,82.4,-5.3,86.4,-0.5
09.2009,85.8,-5.4,87.1,0.8
10.2009,92.2,-3.2,87.4,0.3
11.2009,88.7,-3.6,87.3,-0.1
12.2009,105.3,-1.6,88.4,1.3
01.2010,78.1,-3.9,86.2,-2.5
02.2010,76.9,1.5,88.2,2.3
03.2010,93.2,7.9,88.9,0.8
04.2010,88.4,-2.4,88.7,-0.2
05.2010,87.3,1.2,89.2,0.6
06.2010,88.1,6.3,89.7,0.6
07.2010,91.4,4.5,90.4,0.8
08.2010,85.6,3.9,89.8,-0.7
09.2010,88.6,3.3,89.6,-0.2
10.2010,93.1,1.0,89.7,0.1
11.2010,93.6,5.5,89.8,0.1
12.2010,107.4,2.0,90.3,0.6
01.2011,81.4,4.2,90.0,-0.3
02.2011,80.5,4.7,92.3,2.6
03.2011,92.0,-1.3,90.1,-2.4
04.2011,93.9,6.2,91.5,1.6
05.2011,92.6,6.1,89.0,-2.7
06.2011,87.6,-0.6,91.6,2.9
07.2011,90.6,-0.9,92.1,0.5
08.2011,90.1,5.3,92.3,0.2
09.2011,91.4,3.2,92.2,-0.1
10.2011,94.6,1.6,92.9,0.8
11.2011,96.1,2.7,92.3,-0.6
12.2011,109.5,2.0,92.4,0.1
01.2012,84.5,3.8,91.2,-1.3
02.2012,84.2,4.6,92.7,1.6
03.2012,97.8,6.3,93.3,0.6
