datum,originalwert_messzahlen_2015100,originalwert_vernderung_gegenber_vorjahresmonat_in_,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_messzahlen_2015100,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_vernderung_gegenber_vorsmonat_in_
03.1996,97.9,,96.8,-0.3
04.1996,97.5,,98.7,2.0
05.1996,96.5,,97.2,-1.5
06.1996,90.7,,97.1,-0.1
07.1996,96.4,,97.6,0.5
08.1996,94.4,,97.6,0.0
09.1996,94.0,,98.0,0.4
10.1996,100.5,,97.1,-0.9
11.1996,104.1,,97.2,0.1
12.1996,118.5,,96.6,-0.6
01.1997,91.0,0.8,97.0,0.4
02.1997,83.7,-5.6,95.8,-1.2
03.1997,94.7,-3.3,96.0,0.2
04.1997,98.1,0.6,97.2,1.3
05.1997,94.2,-2.4,95.7,-1.5
06.1997,91.6,1.0,97.3,1.7
07.1997,95.1,-1.3,95.5,-1.8
08.1997,87.4,-7.4,93.3,-2.3
09.1997,93.6,-0.4,95.1,1.9
10.1997,101.1,0.6,97.2,2.2
11.1997,98.6,-5.3,94.8,-2.5
12.1997,118.0,-0.4,94.4,-0.4
01.1998,89.4,-1.8,95.5,1.2
02.1998,83.7,0.0,96.1,0.6
03.1998,97.8,3.3,98.4,2.4
04.1998,96.0,-2.1,95.3,-3.2
05.1998,93.9,-0.3,95.7,0.4
06.1998,89.3,-2.5,94.5,-1.3
07.1998,96.9,1.9,96.8,2.4
08.1998,89.2,2.1,95.6,-1.2
09.1998,94.1,0.5,95.6,0.0
10.1998,100.3,-0.8,96.0,0.4
11.1998,102.2,3.7,98.3,2.4
12.1998,120.5,2.1,96.4,-1.9
01.1999,87.4,-2.2,96.5,0.1
02.1999,84.5,1.0,97.1,0.6
03.1999,102.6,4.9,98.1,1.0
04.1999,93.4,-2.7,94.5,-3.7
05.1999,91.7,-2.3,94.8,0.3
06.1999,91.5,2.5,95.4,0.6
07.1999,95.5,-1.4,95.1,-0.3
08.1999,89.7,0.6,96.4,1.4
09.1999,91.9,-2.3,93.0,-3.5
10.1999,99.3,-1.0,96.1,3.3
11.1999,102.7,0.5,96.3,0.2
12.1999,120.6,0.1,96.5,0.2
01.2000,86.0,-1.6,96.4,-0.1
02.2000,88.7,5.0,97.4,1.0
03.2000,98.5,-4.0,96.5,-0.9
04.2000,96.1,2.9,97.4,0.9
05.2000,100.6,9.7,97.7,0.3
06.2000,89.9,-1.7,96.4,-1.3
07.2000,92.8,-2.8,96.5,0.1
08.2000,94.0,4.8,96.9,0.4
09.2000,94.6,2.9,95.8,-1.1
10.2000,98.0,-1.3,96.5,0.7
11.2000,103.3,0.6,96.5,0.0
12.2000,118.8,-1.5,97.4,0.9
01.2001,91.3,6.2,99.7,2.4
02.2001,84.7,-4.5,97.1,-2.6
03.2001,100.0,1.5,98.0,0.9
04.2001,96.2,0.1,97.3,-0.7
05.2001,98.7,-1.9,97.3,0.0
06.2001,91.9,2.2,96.8,-0.5
07.2001,93.6,0.9,96.9,0.1
08.2001,94.1,0.1,96.8,-0.1
09.2001,92.4,-2.3,96.2,-0.6
10.2001,99.1,1.1,94.9,-1.4
11.2001,104.8,1.5,97.8,3.1
12.2001,116.7,-1.8,96.1,-1.7
01.2002,86.8,-4.9,94.3,-1.9
02.2002,81.7,-3.5,94.1,-0.2
03.2002,95.6,-4.4,94.2,0.1
04.2002,94.7,-1.6,95.3,1.2
05.2002,94.1,-4.7,94.7,-0.6
06.2002,88.6,-3.6,93.7,-1.1
07.2002,94.7,1.2,95.2,1.6
08.2002,92.1,-2.1,94.7,-0.5
09.2002,91.8,-0.6,95.6,1.0
10.2002,99.7,0.6,95.4,-0.2
11.2002,100.8,-3.8,94.5,-0.9
12.2002,113.6,-2.7,94.2,-0.3
01.2003,86.3,-0.6,93.3,-1.0
02.2003,81.2,-0.6,93.8,0.5
03.2003,92.2,-3.6,93.3,-0.5
04.2003,95.5,0.8,93.8,0.5
05.2003,95.1,1.1,93.9,0.1
06.2003,87.0,-1.8,93.7,-0.2
07.2003,93.8,-1.0,93.6,-0.1
08.2003,88.1,-4.3,93.3,-0.3
09.2003,92.7,1.0,94.0,0.8
10.2003,99.5,-0.2,94.8,0.9
11.2003,96.9,-3.9,93.7,-1.2
12.2003,113.9,0.3,92.8,-1.0
01.2004,87.3,1.2,94.3,1.6
02.2004,83.0,2.2,95.0,0.7
03.2004,97.9,6.2,95.4,0.4
04.2004,97.6,2.2,96.2,0.8
05.2004,90.7,-4.6,93.8,-2.5
06.2004,92.5,6.3,95.2,1.5
07.2004,95.7,2.0,95.2,0.0
08.2004,89.6,1.7,94.7,-0.5
09.2004,94.0,1.4,95.0,0.3
10.2004,98.4,-1.1,94.6,-0.4
11.2004,101.6,4.9,95.8,1.3
12.2004,116.5,2.3,95.6,-0.2
01.2005,87.7,0.5,97.6,2.1
02.2005,83.9,1.1,96.4,-1.2
03.2005,98.3,0.4,96.5,0.1
04.2005,97.8,0.2,96.0,-0.5
05.2005,94.3,4.0,95.8,-0.2
06.2005,94.9,2.6,96.4,0.6
07.2005,94.0,-1.8,96.4,0.0
08.2005,94.5,5.5,96.8,0.4
09.2005,95.5,1.6,96.3,-0.5
10.2005,98.3,-0.1,96.5,0.2
11.2005,102.2,0.6,96.6,0.1
12.2005,117.1,0.5,96.6,0.0
01.2006,89.4,1.9,96.4,-0.2
02.2006,84.2,0.4,96.7,0.3
03.2006,98.4,0.1,96.3,-0.4
04.2006,95.5,-2.4,96.8,0.5
05.2006,98.0,3.9,97.2,0.4
06.2006,94.2,-0.7,97.5,0.3
07.2006,93.6,-0.4,96.3,-1.2
08.2006,95.4,1.0,97.0,0.7
09.2006,94.4,-1.2,95.5,-1.5
10.2006,98.1,-0.2,96.2,0.7
11.2006,102.0,-0.2,96.3,0.1
