date,indicator,value
01/03/1997,originalwert_in_1000,37761
01/03/1997,originalwert_veraenderung_gegenueber_vormonat_in_,0.3
01/03/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,37984
01/04/1997,originalwert_in_1000,37807
01/04/1997,originalwert_veraenderung_gegenueber_vormonat_in_,0.1
01/04/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38009
01/05/1997,originalwert_in_1000,37907
01/05/1997,originalwert_veraenderung_gegenueber_vormonat_in_,0.3
01/05/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38020
01/06/1997,originalwert_in_1000,37999
01/06/1997,originalwert_veraenderung_gegenueber_vormonat_in_,0.2
01/06/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38040
01/07/1997,originalwert_in_1000,38082
01/07/1997,originalwert_veraenderung_gegenueber_vormonat_in_,0.2
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38066
01/08/1997,originalwert_in_1000,38216
01/08/1997,originalwert_veraenderung_gegenueber_vormonat_in_,0.4
01/08/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38118
01/09/1997,originalwert_in_1000,38418
01/09/1997,originalwert_veraenderung_gegenueber_vormonat_in_,0.5
01/09/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38094
01/10/1997,originalwert_in_1000,38445
01/10/1997,originalwert_veraenderung_gegenueber_vormonat_in_,0.1
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38115
01/11/1997,originalwert_in_1000,38462
01/11/1997,originalwert_veraenderung_gegenueber_vormonat_in_,0.0
01/11/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38115
01/12/1997,originalwert_in_1000,38213
01/12/1997,originalwert_veraenderung_gegenueber_vormonat_in_,-0.6
01/12/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38080
01/01/1998,originalwert_in_1000,37743
01/01/1998,originalwert_veraenderung_gegenueber_vormonat_in_,-1.2
01/01/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,0.5
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38102
01/02/1998,originalwert_in_1000,37857
01/02/1998,originalwert_veraenderung_gegenueber_vormonat_in_,0.3
01/02/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,0.5
01/02/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38173
01/03/1998,originalwert_in_1000,38008
01/03/1998,originalwert_veraenderung_gegenueber_vormonat_in_,0.4
01/03/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,0.7
01/03/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38249
01/04/1998,originalwert_in_1000,38120
01/04/1998,originalwert_veraenderung_gegenueber_vormonat_in_,0.3
01/04/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,0.8
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38325
01/05/1998,originalwert_in_1000,38291
01/05/1998,originalwert_veraenderung_gegenueber_vormonat_in_,0.4
01/05/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.0
01/05/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38392
01/06/1998,originalwert_in_1000,38429
01/06/1998,originalwert_veraenderung_gegenueber_vormonat_in_,0.4
01/06/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.1
01/06/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38460
01/07/1998,originalwert_in_1000,38565
01/07/1998,originalwert_veraenderung_gegenueber_vormonat_in_,0.4
01/07/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.3
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38537
01/08/1998,originalwert_in_1000,38747
