date,indicator,value
01/07/1991,originalwert_in_1000,38782
01/07/1991,originalwert_veraenderung_gegenueber_vorquartal_in_,-0.2
01/10/1991,originalwert_in_1000,38876
01/10/1991,originalwert_veraenderung_gegenueber_vorquartal_in_,0.2
01/01/1992,originalwert_in_1000,38365
01/01/1992,originalwert_veraenderung_gegenueber_vorquartal_in_,-1.3
01/01/1992,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.6
01/01/1992,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38571
01/04/1992,originalwert_in_1000,38324
01/04/1992,originalwert_veraenderung_gegenueber_vorquartal_in_,-0.1
01/04/1992,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.4
01/04/1992,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38467
01/07/1992,originalwert_in_1000,38410
01/07/1992,originalwert_veraenderung_gegenueber_vorquartal_in_,0.2
01/07/1992,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.0
01/07/1992,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38295
01/10/1992,originalwert_in_1000,38350
01/10/1992,originalwert_veraenderung_gegenueber_vorquartal_in_,-0.2
01/10/1992,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.4
01/10/1992,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38116
01/01/1993,originalwert_in_1000,37841
01/01/1993,originalwert_veraenderung_gegenueber_vorquartal_in_,-1.3
01/01/1993,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.4
01/01/1993,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38052
01/04/1993,originalwert_in_1000,37747
01/04/1993,originalwert_veraenderung_gegenueber_vorquartal_in_,-0.2
01/04/1993,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.5
01/04/1993,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,37886
01/07/1993,originalwert_in_1000,37900
01/07/1993,originalwert_veraenderung_gegenueber_vorquartal_in_,0.4
01/07/1993,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.3
01/07/1993,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,37784
01/10/1993,originalwert_in_1000,37971
01/10/1993,originalwert_veraenderung_gegenueber_vorquartal_in_,0.2
01/10/1993,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.0
01/10/1993,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,37732
01/01/1994,originalwert_in_1000,37613
01/01/1994,originalwert_veraenderung_gegenueber_vorquartal_in_,-0.9
01/01/1994,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-0.6
