date,indicator,value
01/03/1997,originalwert_in_1000,37692
01/03/1997,originalwert_veraenderung_gegenueber_vormonat_in_,0.3
01/03/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,37885
01/04/1997,originalwert_in_1000,37712
01/04/1997,originalwert_veraenderung_gegenueber_vormonat_in_,0.1
01/04/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,37909
01/05/1997,originalwert_in_1000,37789
01/05/1997,originalwert_veraenderung_gegenueber_vormonat_in_,0.2
01/05/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,37919
01/06/1997,originalwert_in_1000,37855
01/06/1997,originalwert_veraenderung_gegenueber_vormonat_in_,0.2
01/06/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,37930
01/07/1997,originalwert_in_1000,37931
01/07/1997,originalwert_veraenderung_gegenueber_vormonat_in_,0.2
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,37957
01/08/1997,originalwert_in_1000,38079
01/08/1997,originalwert_veraenderung_gegenueber_vormonat_in_,0.4
01/08/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38008
01/09/1997,originalwert_in_1000,38291
01/09/1997,originalwert_veraenderung_gegenueber_vormonat_in_,0.6
01/09/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,37991
01/10/1997,originalwert_in_1000,38330
01/10/1997,originalwert_veraenderung_gegenueber_vormonat_in_,0.1
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38008
01/11/1997,originalwert_in_1000,38358
01/11/1997,originalwert_veraenderung_gegenueber_vormonat_in_,0.1
01/11/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38010
01/12/1997,originalwert_in_1000,38133
01/12/1997,originalwert_veraenderung_gegenueber_vormonat_in_,-0.6
01/12/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,37976
01/01/1998,originalwert_in_1000,37690
01/01/1998,originalwert_veraenderung_gegenueber_vormonat_in_,-1.2
01/01/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,0.5
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,37997
01/02/1998,originalwert_in_1000,37795
01/02/1998,originalwert_veraenderung_gegenueber_vormonat_in_,0.3
01/02/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,0.5
01/02/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38067
01/03/1998,originalwert_in_1000,37935
01/03/1998,originalwert_veraenderung_gegenueber_vormonat_in_,0.4
01/03/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,0.6
01/03/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38141
01/04/1998,originalwert_in_1000,38015
01/04/1998,originalwert_veraenderung_gegenueber_vormonat_in_,0.2
01/04/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,0.8
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38212
01/05/1998,originalwert_in_1000,38163
01/05/1998,originalwert_veraenderung_gegenueber_vormonat_in_,0.4
01/05/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.0
01/05/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38281
01/06/1998,originalwert_in_1000,38284
01/06/1998,originalwert_veraenderung_gegenueber_vormonat_in_,0.3
01/06/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.1
01/06/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38353
01/07/1998,originalwert_in_1000,38408
01/07/1998,originalwert_veraenderung_gegenueber_vormonat_in_,0.3
01/07/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.3
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38429
01/08/1998,originalwert_in_1000,38598
01/08/1998,originalwert_veraenderung_gegenueber_vormonat_in_,0.5
01/08/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.4
01/08/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38528
01/09/1998,originalwert_in_1000,38892
01/09/1998,originalwert_veraenderung_gegenueber_vormonat_in_,0.8
01/09/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.6
01/09/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38596
01/10/1998,originalwert_in_1000,38981
01/10/1998,originalwert_veraenderung_gegenueber_vormonat_in_,0.2
01/10/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.7
01/10/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38666
01/11/1998,originalwert_in_1000,39040
01/11/1998,originalwert_veraenderung_gegenueber_vormonat_in_,0.2
01/11/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.8
01/11/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38681
01/12/1998,originalwert_in_1000,38865
01/12/1998,originalwert_veraenderung_gegenueber_vormonat_in_,-0.4
01/12/1998,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.9
01/12/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38706
01/01/1999,originalwert_in_1000,38435
01/01/1999,originalwert_veraenderung_gegenueber_vormonat_in_,-1.1
01/01/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,2.0
01/01/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38741
01/02/1999,originalwert_in_1000,38494
01/02/1999,originalwert_veraenderung_gegenueber_vormonat_in_,0.2
01/02/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.8
01/02/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38767
01/03/1999,originalwert_in_1000,38569
01/03/1999,originalwert_veraenderung_gegenueber_vormonat_in_,0.2
01/03/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.7
01/03/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38787
01/04/1999,originalwert_in_1000,38451
01/04/1999,originalwert_veraenderung_gegenueber_vormonat_in_,-0.3
01/04/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.1
01/04/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38649
01/05/1999,originalwert_in_1000,38660
01/05/1999,originalwert_veraenderung_gegenueber_vormonat_in_,0.5
01/05/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.3
01/05/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38767
01/06/1999,originalwert_in_1000,38907
01/06/1999,originalwert_veraenderung_gegenueber_vormonat_in_,0.6
01/06/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.6
01/06/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38975
01/07/1999,originalwert_in_1000,39016
01/07/1999,originalwert_veraenderung_gegenueber_vormonat_in_,0.3
01/07/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.6
01/07/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,39038
01/08/1999,originalwert_in_1000,39221
01/08/1999,originalwert_veraenderung_gegenueber_vormonat_in_,0.5
01/08/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.6
01/08/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,39155
01/09/1999,originalwert_in_1000,39472
01/09/1999,originalwert_veraenderung_gegenueber_vormonat_in_,0.6
01/09/1999,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,1.5
