date,indicator,value
01/07/1991,originalwert_in_1000,38806
01/07/1991,originalwert_veraenderung_gegenueber_vorquartal_in_,-0.2
01/10/1991,originalwert_in_1000,38918
01/10/1991,originalwert_veraenderung_gegenueber_vorquartal_in_,0.3
01/01/1992,originalwert_in_1000,38400
01/01/1992,originalwert_veraenderung_gegenueber_vorquartal_in_,-1.3
01/01/1992,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.7
01/01/1992,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38583
01/04/1992,originalwert_in_1000,38322
01/04/1992,originalwert_veraenderung_gegenueber_vorquartal_in_,-0.2
01/04/1992,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.5
01/04/1992,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38482
01/07/1992,originalwert_in_1000,38390
01/07/1992,originalwert_veraenderung_gegenueber_vorquartal_in_,0.2
01/07/1992,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.1
01/07/1992,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38291
01/10/1992,originalwert_in_1000,38354
01/10/1992,originalwert_veraenderung_gegenueber_vorquartal_in_,-0.1
01/10/1992,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.4
01/10/1992,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38111
01/01/1993,originalwert_in_1000,37844
01/01/1993,originalwert_veraenderung_gegenueber_vorquartal_in_,-1.3
01/01/1993,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.4
01/01/1993,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,38031
01/04/1993,originalwert_in_1000,37707
01/04/1993,originalwert_veraenderung_gegenueber_vorquartal_in_,-0.4
01/04/1993,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.6
01/04/1993,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,37863
01/07/1993,originalwert_in_1000,37873
01/07/1993,originalwert_veraenderung_gegenueber_vorquartal_in_,0.4
01/07/1993,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.3
01/07/1993,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,37774
01/10/1993,originalwert_in_1000,37965
01/10/1993,originalwert_veraenderung_gegenueber_vorquartal_in_,0.2
01/10/1993,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-1.0
01/10/1993,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,37718
01/01/1994,originalwert_in_1000,37611
01/01/1994,originalwert_veraenderung_gegenueber_vorquartal_in_,-0.9
01/01/1994,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-0.6
01/01/1994,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,37809
01/04/1994,originalwert_in_1000,37638
01/04/1994,originalwert_veraenderung_gegenueber_vorquartal_in_,0.1
01/04/1994,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-0.2
01/04/1994,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,37790
01/07/1994,originalwert_in_1000,37956
01/07/1994,originalwert_veraenderung_gegenueber_vorquartal_in_,0.8
01/07/1994,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.2
01/07/1994,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,37854
01/10/1994,originalwert_in_1000,38183
01/10/1994,originalwert_veraenderung_gegenueber_vorquartal_in_,0.6
01/10/1994,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.6
01/10/1994,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,37926
01/01/1995,originalwert_in_1000,37702
01/01/1995,originalwert_veraenderung_gegenueber_vorquartal_in_,-1.3
01/01/1995,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.2
01/01/1995,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,37919
01/04/1995,originalwert_in_1000,37796
01/04/1995,originalwert_veraenderung_gegenueber_vorquartal_in_,0.2
01/04/1995,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.4
01/04/1995,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,37944
01/07/1995,originalwert_in_1000,38056
01/07/1995,originalwert_veraenderung_gegenueber_vorquartal_in_,0.7
