date,indicator,value
01/03/2000,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39544
01/04/2000,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39600
01/05/2000,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39745
01/06/2000,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39817
01/07/2000,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39859
01/08/2000,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39956
01/09/2000,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,40170
01/10/2000,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,40232
01/11/2000,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,40255
01/12/2000,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,40069
01/01/2001,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39463
01/01/2001,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,0.3
01/01/2001,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,135
01/02/2001,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39490
01/02/2001,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,0.1
01/02/2001,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,58
01/03/2001,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39507
01/03/2001,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.1
01/03/2001,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-37
01/04/2001,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39553
01/04/2001,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.1
01/04/2001,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-47
01/05/2001,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39658
01/05/2001,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.2
01/05/2001,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-87
01/06/2001,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39625
01/06/2001,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.5
01/06/2001,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-192
01/07/2001,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39625
01/07/2001,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.6
01/07/2001,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-234
01/08/2001,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39731
01/08/2001,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.6
01/08/2001,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-225
01/09/2001,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39935
01/09/2001,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.6
01/09/2001,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-235
01/10/2001,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39968
01/10/2001,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.7
01/10/2001,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-264
01/11/2001,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,40054
01/11/2001,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.5
01/11/2001,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-201
01/12/2001,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39871
01/12/2001,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.5
01/12/2001,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-198
01/01/2002,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39424
01/01/2002,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.1
01/01/2002,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-39
01/02/2002,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39440
01/02/2002,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.1
01/02/2002,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-50
01/03/2002,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39425
01/03/2002,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.2
01/03/2002,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-82
01/04/2002,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39456
01/04/2002,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.2
01/04/2002,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-97
01/05/2002,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39496
01/05/2002,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.4
01/05/2002,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-162
01/06/2002,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39439
01/06/2002,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.5
01/06/2002,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-186
01/07/2002,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39475
01/07/2002,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.4
01/07/2002,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-150
01/08/2002,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39495
01/08/2002,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.6
01/08/2002,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-236
01/09/2002,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39703
01/09/2002,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.6
01/09/2002,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-232
01/10/2002,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39708
01/10/2002,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.7
01/10/2002,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-260
01/11/2002,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39701
01/11/2002,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.9
01/11/2002,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-353
01/12/2002,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39494
01/12/2002,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.9
01/12/2002,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-377
01/01/2003,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,38965
01/01/2003,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-1.2
01/01/2003,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-459
01/02/2003,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,38993
01/02/2003,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-1.1
01/02/2003,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-447
01/03/2003,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,38936
01/03/2003,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-1.2
01/03/2003,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-489
01/04/2003,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,38855
01/04/2003,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-1.5
01/04/2003,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-601
01/05/2003,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,38904
01/05/2003,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-1.5
01/05/2003,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-592
01/06/2003,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39002
01/06/2003,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-1.1
01/06/2003,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-437
01/07/2003,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39080
01/07/2003,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-1.0
01/07/2003,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-395
01/08/2003,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39107
01/08/2003,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-1.0
01/08/2003,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-388
01/09/2003,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39342
01/09/2003,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.9
01/09/2003,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-361
01/10/2003,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39429
01/10/2003,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.7
01/10/2003,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-279
01/11/2003,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39454
01/11/2003,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.6
01/11/2003,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-247
01/12/2003,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39282
01/12/2003,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.5
01/12/2003,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-212
01/01/2004,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,38871
01/01/2004,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.2
01/01/2004,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-94
01/02/2004,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,38920
01/02/2004,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.2
01/02/2004,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-73
01/03/2004,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,38988
01/03/2004,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,0.1
01/03/2004,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,52
01/04/2004,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39087
01/04/2004,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,0.6
01/04/2004,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,232
01/05/2004,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39145
01/05/2004,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,0.6
01/05/2004,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,241
01/06/2004,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39208
01/06/2004,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,0.5
01/06/2004,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,206
01/07/2004,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39193
01/07/2004,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,0.3
01/07/2004,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,113
01/08/2004,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39298
01/08/2004,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,0.5
01/08/2004,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,191
01/09/2004,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39558
01/09/2004,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,0.5
01/09/2004,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,216
01/10/2004,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39608
01/10/2004,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,0.5
01/10/2004,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,179
01/11/2004,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39611
01/11/2004,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,0.4
01/11/2004,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,157
01/12/2004,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39373
01/12/2004,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,0.2
01/12/2004,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,91
01/01/2005,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,38850
01/01/2005,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.1
01/01/2005,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-21
01/02/2005,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,38869
01/02/2005,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.1
01/02/2005,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-51
01/03/2005,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,38864
01/03/2005,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.3
01/03/2005,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-124
01/04/2005,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,38896
01/04/2005,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.5
01/04/2005,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-191
01/05/2005,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39000
01/05/2005,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.4
01/05/2005,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-145
01/06/2005,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39088
01/06/2005,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.3
01/06/2005,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-120
01/07/2005,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39081
01/07/2005,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.3
01/07/2005,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-112
01/08/2005,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39260
01/08/2005,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,-0.1
01/08/2005,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,-38
01/09/2005,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39582
01/09/2005,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,0.1
01/09/2005,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,24
01/10/2005,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39675
01/10/2005,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,0.2
01/10/2005,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_1000,67
01/11/2005,erwerbstaetige_mit_wohnort_in_deutschland_anzahl_in_1000,39718
01/11/2005,erwerbstaetige_mit_wohnort_in_deutschland_veraenderung_zum_vorjahresmonat_in_,0.3
