date,indicator,value
01/07/2000,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,782
01/07/2000,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,8525
01/07/2000,baugewerbe_durchschnitt_in_1000,2918
01/07/2000,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9421
01/07/2000,unternehmensdienstleister_durchschnitt_in_1000,3903
01/07/2000,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,14639
01/10/2000,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,747
01/10/2000,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,8542
01/10/2000,baugewerbe_durchschnitt_in_1000,2885
01/10/2000,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9434
01/10/2000,unternehmensdienstleister_durchschnitt_in_1000,3907
01/10/2000,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,14791
01/01/2001,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,718
01/01/2001,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,8473
01/01/2001,baugewerbe_durchschnitt_in_1000,2664
01/01/2001,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9264
01/01/2001,unternehmensdienstleister_durchschnitt_in_1000,3835
01/01/2001,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,14650
01/04/2001,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,750
01/04/2001,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,8446
01/04/2001,baugewerbe_durchschnitt_in_1000,2690
01/04/2001,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9330
01/04/2001,unternehmensdienstleister_durchschnitt_in_1000,3896
01/04/2001,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,14694
01/07/2001,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,750
01/07/2001,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,8477
01/07/2001,baugewerbe_durchschnitt_in_1000,2724
01/07/2001,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9345
01/07/2001,unternehmensdienstleister_durchschnitt_in_1000,3956
01/07/2001,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,14705
01/10/2001,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,718
01/10/2001,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,8454
01/10/2001,baugewerbe_durchschnitt_in_1000,2704
01/10/2001,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9394
01/10/2001,unternehmensdienstleister_durchschnitt_in_1000,3929
01/10/2001,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,14895
01/01/2002,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,697
01/01/2002,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,8348
01/01/2002,baugewerbe_durchschnitt_in_1000,2499
01/01/2002,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9267
01/01/2002,unternehmensdienstleister_durchschnitt_in_1000,3858
01/01/2002,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,14842
01/04/2002,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,736
01/04/2002,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,8281
01/04/2002,baugewerbe_durchschnitt_in_1000,2554
01/04/2002,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9316
01/04/2002,unternehmensdienstleister_durchschnitt_in_1000,3923
01/04/2002,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,14859
01/07/2002,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,733
01/07/2002,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,8282
01/07/2002,baugewerbe_durchschnitt_in_1000,2582
01/07/2002,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9293
01/07/2002,unternehmensdienstleister_durchschnitt_in_1000,4013
01/07/2002,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,14861
01/10/2002,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,698
01/10/2002,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,8230
01/10/2002,baugewerbe_durchschnitt_in_1000,2557
01/10/2002,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9263
01/10/2002,unternehmensdienstleister_durchschnitt_in_1000,4001
01/10/2002,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,15004
01/01/2003,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,679
01/01/2003,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,8123
01/01/2003,baugewerbe_durchschnitt_in_1000,2359
01/01/2003,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9090
01/01/2003,unternehmensdienstleister_durchschnitt_in_1000,3904
01/01/2003,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,14874
01/04/2003,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,721
01/04/2003,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,8039
01/04/2003,baugewerbe_durchschnitt_in_1000,2425
01/04/2003,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9126
01/04/2003,unternehmensdienstleister_durchschnitt_in_1000,3962
01/04/2003,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,14828
01/07/2003,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,725
01/07/2003,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,8062
01/07/2003,baugewerbe_durchschnitt_in_1000,2474
01/07/2003,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9174
01/07/2003,unternehmensdienstleister_durchschnitt_in_1000,4102
01/07/2003,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,14824
01/10/2003,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,697
01/10/2003,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,8046
01/10/2003,baugewerbe_durchschnitt_in_1000,2460
01/10/2003,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9198
01/10/2003,unternehmensdienstleister_durchschnitt_in_1000,4120
01/10/2003,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,14973
01/01/2004,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,680
01/01/2004,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,7943
01/01/2004,baugewerbe_durchschnitt_in_1000,2275
01/01/2004,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9126
01/01/2004,unternehmensdienstleister_durchschnitt_in_1000,4058
01/01/2004,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,14905
01/04/2004,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,725
01/04/2004,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,7933
01/04/2004,baugewerbe_durchschnitt_in_1000,2353
01/04/2004,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9226
01/04/2004,unternehmensdienstleister_durchschnitt_in_1000,4157
01/04/2004,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,14931
01/07/2004,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,723
01/07/2004,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,7976
01/07/2004,baugewerbe_durchschnitt_in_1000,2393
01/07/2004,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9263
01/07/2004,unternehmensdienstleister_durchschnitt_in_1000,4270
01/07/2004,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,14909
01/10/2004,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,683
01/10/2004,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,7959
01/10/2004,baugewerbe_durchschnitt_in_1000,2378
01/10/2004,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9285
01/10/2004,unternehmensdienstleister_durchschnitt_in_1000,4268
01/10/2004,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,15062
01/01/2005,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,654
01/01/2005,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,7828
01/01/2005,baugewerbe_durchschnitt_in_1000,2189
01/01/2005,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9127
01/01/2005,unternehmensdienstleister_durchschnitt_in_1000,4177
01/01/2005,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,14940
01/04/2005,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,707
01/04/2005,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,7792
01/04/2005,baugewerbe_durchschnitt_in_1000,2257
01/04/2005,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9163
01/04/2005,unternehmensdienstleister_durchschnitt_in_1000,4270
01/04/2005,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,14966
01/07/2005,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,698
01/07/2005,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,7829
01/07/2005,baugewerbe_durchschnitt_in_1000,2317
01/07/2005,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9218
01/07/2005,unternehmensdienstleister_durchschnitt_in_1000,4416
01/07/2005,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,15014
01/10/2005,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,661
01/10/2005,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,7828
01/10/2005,baugewerbe_durchschnitt_in_1000,2320
01/10/2005,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9270
01/10/2005,unternehmensdienstleister_durchschnitt_in_1000,4469
01/10/2005,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,15178
01/01/2006,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,633
01/01/2006,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,7680
01/01/2006,baugewerbe_durchschnitt_in_1000,2142
01/01/2006,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9109
01/01/2006,unternehmensdienstleister_durchschnitt_in_1000,4357
01/01/2006,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,15026
01/04/2006,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,687
01/04/2006,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,7690
01/04/2006,baugewerbe_durchschnitt_in_1000,2246
01/04/2006,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9205
01/04/2006,unternehmensdienstleister_durchschnitt_in_1000,4538
01/04/2006,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,15077
01/07/2006,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,685
01/07/2006,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,7773
01/07/2006,baugewerbe_durchschnitt_in_1000,2326
01/07/2006,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9283
01/07/2006,unternehmensdienstleister_durchschnitt_in_1000,4726
01/07/2006,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,15099
01/10/2006,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,650
01/10/2006,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,7784
01/10/2006,baugewerbe_durchschnitt_in_1000,2347
01/10/2006,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9333
01/10/2006,unternehmensdienstleister_durchschnitt_in_1000,4774
01/10/2006,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,15261
01/01/2007,land_und_forstwirtschaft_fischerei_durchschnitt_in_1000,635
01/01/2007,produzierendes_gewerbe_ohne_baugewerbe_durchschnitt_in_1000,7749
01/01/2007,baugewerbe_durchschnitt_in_1000,2248
01/01/2007,handel_verkehr_und_gastgewerbe_durchschnitt_in_1000,9227
01/01/2007,unternehmensdienstleister_durchschnitt_in_1000,4682
01/01/2007,uebrige_dienstleistungsbereiche_durchschnitt_in_1000,15177
