datum,originalwert_2021100,originalwert_vernderung_gegenber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_2021100,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vormonat_in_,kalender_und_saisonbereinigte_werte_bv_41_2021100,kalender_und_saisonbereinigte_werte_bv_41_vernderung_gegenber_vormonat_in_,restkomponente_bv_41
01/03/1997,68.3,,68.6,0.1,68.5,-0.1,-0.1
01/04/1997,68.6,,68.7,0.1,68.6,0.2,-0.1
01/05/1997,68.8,,68.7,0.1,68.7,0.1,-0.0
01/06/1997,68.8,,68.8,0.1,68.7,0.0,-0.1
01/07/1997,68.9,,68.9,0.1,68.8,0.2,-0.1
01/08/1997,69.1,,69.0,0.1,68.9,0.2,-0.0
01/09/1997,69.1,,69.0,0.1,68.9,-0.0,-0.1
01/10/1997,69.1,,69.1,0.1,69.0,0.1,-0.0
01/11/1997,69.1,,69.1,0.0,69.2,0.2,0.1
01/12/1997,69.0,,69.1,-0.0,69.1,-0.1,0.0
01/01/1998,68.9,0.7,69.0,-0.0,69.1,0.0,0.1
01/02/1998,68.9,0.7,69.0,-0.0,69.1,0.0,0.1
01/03/1998,68.9,0.9,68.9,-0.1,69.1,-0.0,0.1
01/04/1998,68.9,0.4,68.9,-0.1,68.9,-0.3,0.0
01/05/1998,68.9,0.1,68.7,-0.2,68.8,-0.1,0.1
01/06/1998,68.8,0.0,68.6,-0.2,68.7,-0.2,0.1
01/07/1998,68.6,-0.4,68.5,-0.2,68.5,-0.3,0.0
01/08/1998,68.5,-0.9,68.3,-0.2,68.3,-0.2,0.0
01/09/1998,68.4,-1.0,68.2,-0.2,68.2,-0.2,0.1
01/10/1998,68.1,-1.4,68.0,-0.2,68.0,-0.3,-0.0
01/11/1998,67.7,-2.0,67.9,-0.2,67.8,-0.3,-0.1
01/12/1998,67.6,-2.0,67.7,-0.2,67.7,-0.1,-0.1
01/01/1999,67.3,-2.3,67.6,-0.1,67.5,-0.3,-0.2
01/02/1999,67.2,-2.5,67.6,-0.1,67.4,-0.1,-0.1
01/03/1999,67.2,-2.5,67.5,-0.0,67.4,-0.0,-0.1
01/04/1999,67.6,-1.9,67.6,0.0,67.6,0.2,0.0
01/05/1999,67.6,-1.9,67.6,0.1,67.6,-0.0,-0.0
01/06/1999,67.7,-1.6,67.7,0.1,67.6,0.1,-0.0
01/07/1999,67.9,-1.0,67.7,0.1,67.8,0.2,0.0
01/08/1999,68.0,-0.7,67.9,0.2,67.9,0.2,0.0
01/09/1999,68.1,-0.4,68.0,0.2,67.9,0.0,-0.1
01/10/1999,68.3,0.3,68.1,0.2,68.1,0.3,0.0
01/11/1999,68.3,0.9,68.3,0.2,68.3,0.3,0.0
01/12/1999,68.4,1.2,68.4,0.2,68.5,0.3,0.1
01/01/2000,68.7,2.1,68.6,0.3,68.8,0.3,0.1
01/02/2000,68.7,2.2,68.8,0.3,68.9,0.1,0.0
01/03/2000,68.8,2.4,69.0,0.3,69.0,0.2,-0.0
01/04/2000,69.1,2.2,69.2,0.3,69.1,0.1,-0.2
01/05/2000,69.3,2.5,69.5,0.3,69.3,0.3,-0.2
01/06/2000,69.6,2.8,69.7,0.4,69.5,0.4,-0.2
01/07/2000,70.0,3.1,70.0,0.4,69.9,0.6,-0.1
01/08/2000,70.2,3.2,70.3,0.4,70.2,0.4,-0.1
01/09/2000,70.8,4.0,70.6,0.4,70.6,0.6,0.0
01/10/2000,71.1,4.1,70.9,0.4,71.1,0.6,0.2
01/11/2000,71.2,4.2,71.2,0.4,71.3,0.4,0.2
01/12/2000,71.1,3.9,71.4,0.4,71.4,0.1,-0.0
01/01/2001,71.6,4.2,71.7,0.3,71.7,0.4,0.0
01/02/2001,71.8,4.5,71.9,0.3,71.9,0.3,0.0
01/03/2001,72.0,4.7,72.0,0.2,72.0,0.1,-0.0
01/04/2001,72.4,4.8,72.1,0.1,72.2,0.4,0.1
01/05/2001,72.6,4.8,72.1,0.1,72.4,0.2,0.2
01/06/2001,72.7,4.5,72.1,0.0,72.4,0.1,0.3
01/07/2001,72.2,3.1,72.1,-0.0,72.2,-0.3,0.1
01/08/2001,72.1,2.7,72.0,-0.1,72.2,-0.0,0.1
01/09/2001,72.2,2.0,72.0,-0.1,72.1,-0.1,0.1
01/10/2001,71.5,0.6,71.9,-0.1,71.7,-0.6,-0.2
01/11/2001,71.2,0.0,71.8,-0.1,71.6,-0.1,-0.2
01/12/2001,71.2,0.1,71.7,-0.1,71.7,0.1,-0.0
01/01/2002,71.4,-0.3,71.6,-0.1,71.4,-0.4,-0.2
01/02/2002,71.4,-0.6,71.5,-0.1,71.3,-0.1,-0.2
01/03/2002,71.8,-0.3,71.4,-0.1,71.5,0.2,0.1
01/04/2002,71.6,-1.1,71.4,-0.1,71.3,-0.2,-0.0
01/05/2002,71.6,-1.4,71.4,-0.0,71.3,0.0,-0.0
01/06/2002,71.6,-1.5,71.4,0.0,71.4,0.0,-0.1
01/07/2002,71.4,-1.1,71.5,0.1,71.4,0.1,-0.1
01/08/2002,71.3,-1.1,71.6,0.1,71.4,0.0,-0.1
01/09/2002,71.4,-1.1,71.7,0.1,71.5,0.1,-0.2
01/10/2002,71.6,0.1,71.8,0.2,71.8,0.4,-0.0
01/11/2002,71.4,0.3,71.9,0.2,71.8,0.0,-0.1
01/12/2002,71.5,0.4,72.0,0.2,71.9,0.1,-0.1
01/01/2003,72.6,1.7,72.2,0.2,72.5,0.8,0.3
01/02/2003,72.8,2.0,72.3,0.2,72.7,0.2,0.4
01/03/2003,72.9,1.5,72.4,0.2,72.6,-0.1,0.1
01/04/2003,72.8,1.7,72.5,0.1,72.6,0.0,0.1
01/05/2003,72.7,1.5,72.6,0.1,72.6,-0.0,-0.0
01/06/2003,72.7,1.5,72.7,0.1,72.7,0.2,0.0
01/07/2003,72.7,1.8,72.7,0.1,72.7,0.0,-0.0
01/08/2003,72.7,2.0,72.8,0.0,72.8,0.1,-0.0
01/09/2003,72.8,2.0,72.8,0.0,72.9,0.2,0.1
01/10/2003,72.8,1.7,72.8,0.0,72.7,-0.2,-0.1
01/11/2003,72.8,2.0,72.8,0.0,73.0,0.3,0.1
01/12/2003,72.8,1.8,72.9,0.1,73.1,0.1,0.2
01/01/2004,72.7,0.1,73.0,0.1,72.7,-0.5,-0.2
01/02/2004,72.7,-0.1,73.1,0.1,72.8,0.1,-0.3
01/03/2004,73.2,0.4,73.2,0.2,73.0,0.4,-0.2
01/04/2004,73.4,0.8,73.4,0.2,73.3,0.3,-0.1
01/05/2004,73.7,1.4,73.6,0.3,73.6,0.5,0.1
01/06/2004,73.6,1.2,73.8,0.3,73.7,0.1,-0.1
01/07/2004,74.1,1.9,74.0,0.3,74.0,0.4,0.0
01/08/2004,74.4,2.3,74.2,0.3,74.3,0.4,0.1
01/09/2004,74.4,2.2,74.5,0.3,74.5,0.2,-0.0
01/10/2004,75.2,3.3,74.7,0.4,75.0,0.7,0.2
01/11/2004,74.9,2.9,75.0,0.4,75.1,0.2,0.1
01/12/2004,74.9,2.9,75.3,0.4,75.3,0.3,0.0
01/01/2005,75.6,4.0,75.6,0.4,75.6,0.4,0.1
01/02/2005,75.7,4.1,75.8,0.4,75.8,0.2,-0.0
01/03/2005,76.2,4.1,76.1,0.4,76.1,0.4,0.0
01/04/2005,76.6,4.4,76.4,0.4,76.3,0.3,-0.0
01/05/2005,76.6,3.9,76.7,0.4,76.5,0.2,-0.1
01/06/2005,77.0,4.6,77.0,0.4,77.0,0.7,0.0
01/07/2005,77.5,4.6,77.3,0.4,77.3,0.3,-0.0
01/08/2005,77.7,4.4,77.7,0.5,77.5,0.3,-0.1
01/09/2005,77.9,4.7,78.0,0.5,78.0,0.6,-0.1
01/10/2005,78.4,4.3,78.4,0.5,78.3,0.4,-0.1
01/11/2005,78.3,4.5,78.8,0.5,78.7,0.4,-0.2
01/12/2005,78.5,4.8,79.3,0.5,79.0,0.5,-0.2
