date,indicator,value
01/03/2000,insgesamt_mill_eur,52165
01/03/2000,ernaehrungswirtschaft_zusammen_mill_eur,2288
01/03/2000,gewerbliche_wirtschaft_zusammen_mill_eur,49118
01/03/2000,rohstoffe_mill_eur,548
01/03/2000,halbwaren_mill_eur,2184
01/03/2000,fertigwaren_mill_eur,46386
01/04/2000,insgesamt_mill_eur,45262
01/04/2000,ernaehrungswirtschaft_zusammen_mill_eur,2111
01/04/2000,gewerbliche_wirtschaft_zusammen_mill_eur,42386
01/04/2000,rohstoffe_mill_eur,578
01/04/2000,halbwaren_mill_eur,1992
01/04/2000,fertigwaren_mill_eur,39816
01/05/2000,insgesamt_mill_eur,52192
01/05/2000,ernaehrungswirtschaft_zusammen_mill_eur,2351
01/05/2000,gewerbliche_wirtschaft_zusammen_mill_eur,48994
01/05/2000,rohstoffe_mill_eur,472
01/05/2000,halbwaren_mill_eur,2034
01/05/2000,fertigwaren_mill_eur,46488
01/06/2000,insgesamt_mill_eur,49606
01/06/2000,ernaehrungswirtschaft_zusammen_mill_eur,2605
01/06/2000,gewerbliche_wirtschaft_zusammen_mill_eur,46133
01/06/2000,rohstoffe_mill_eur,591
01/06/2000,halbwaren_mill_eur,2065
01/06/2000,fertigwaren_mill_eur,43477
01/07/2000,insgesamt_mill_eur,49797
01/07/2000,ernaehrungswirtschaft_zusammen_mill_eur,2366
01/07/2000,gewerbliche_wirtschaft_zusammen_mill_eur,46707
01/07/2000,rohstoffe_mill_eur,571
01/07/2000,halbwaren_mill_eur,2048
01/07/2000,fertigwaren_mill_eur,44088
01/08/2000,insgesamt_mill_eur,47222
01/08/2000,ernaehrungswirtschaft_zusammen_mill_eur,2263
01/08/2000,gewerbliche_wirtschaft_zusammen_mill_eur,44214
01/08/2000,rohstoffe_mill_eur,473
01/08/2000,halbwaren_mill_eur,2103
01/08/2000,fertigwaren_mill_eur,41638
01/09/2000,insgesamt_mill_eur,48989
01/09/2000,ernaehrungswirtschaft_zusammen_mill_eur,2288
01/09/2000,gewerbliche_wirtschaft_zusammen_mill_eur,45912
01/09/2000,rohstoffe_mill_eur,478
01/09/2000,halbwaren_mill_eur,2056
01/09/2000,fertigwaren_mill_eur,43378
01/10/2000,insgesamt_mill_eur,56818
01/10/2000,ernaehrungswirtschaft_zusammen_mill_eur,2689
01/10/2000,gewerbliche_wirtschaft_zusammen_mill_eur,52952
01/10/2000,rohstoffe_mill_eur,567
01/10/2000,halbwaren_mill_eur,2476
01/10/2000,fertigwaren_mill_eur,49909
01/11/2000,insgesamt_mill_eur,56857
01/11/2000,ernaehrungswirtschaft_zusammen_mill_eur,2556
01/11/2000,gewerbliche_wirtschaft_zusammen_mill_eur,53330
01/11/2000,rohstoffe_mill_eur,681
01/11/2000,halbwaren_mill_eur,2444
01/11/2000,fertigwaren_mill_eur,50205
01/12/2000,insgesamt_mill_eur,50046
01/12/2000,ernaehrungswirtschaft_zusammen_mill_eur,2381
01/12/2000,gewerbliche_wirtschaft_zusammen_mill_eur,46963
01/12/2000,rohstoffe_mill_eur,561
01/12/2000,halbwaren_mill_eur,2188
01/12/2000,fertigwaren_mill_eur,44213
01/01/2001,insgesamt_mill_eur,51878
01/01/2001,ernaehrungswirtschaft_zusammen_mill_eur,2298
01/01/2001,gewerbliche_wirtschaft_zusammen_mill_eur,48643
01/01/2001,rohstoffe_mill_eur,567
01/01/2001,halbwaren_mill_eur,2100
01/01/2001,fertigwaren_mill_eur,45976
01/02/2001,insgesamt_mill_eur,52085
01/02/2001,ernaehrungswirtschaft_zusammen_mill_eur,2552
01/02/2001,gewerbliche_wirtschaft_zusammen_mill_eur,48834
01/02/2001,rohstoffe_mill_eur,590
01/02/2001,halbwaren_mill_eur,2125
01/02/2001,fertigwaren_mill_eur,46118
01/03/2001,insgesamt_mill_eur,56125
01/03/2001,ernaehrungswirtschaft_zusammen_mill_eur,2422
01/03/2001,gewerbliche_wirtschaft_zusammen_mill_eur,52669
01/03/2001,rohstoffe_mill_eur,815
