date,indicator,value
01/07/1997,originalwert_kettenindex_2020100,43.10
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,44.22
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,5.4
01/10/1997,originalwert_kettenindex_2020100,46.13
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,44.91
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.6
01/01/1998,originalwert_kettenindex_2020100,44.92
01/01/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,14.5
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,45.67
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.7
01/04/1998,originalwert_kettenindex_2020100,46.79
01/04/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,9.3
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,46.77
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,2.4
01/07/1998,originalwert_kettenindex_2020100,44.92
01/07/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,4.2
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,45.85
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-2.0
01/10/1998,originalwert_kettenindex_2020100,47.51
01/10/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.0
01/10/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,45.42
01/10/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.9
01/01/1999,originalwert_kettenindex_2020100,45.20
01/01/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.6
01/01/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,45.86
01/01/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.0
01/04/1999,originalwert_kettenindex_2020100,48.76
01/04/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,4.2
01/04/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,48.29
01/04/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,5.3
01/07/1999,originalwert_kettenindex_2020100,48.15
01/07/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,7.2
01/07/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,49.10
01/07/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.7
01/10/1999,originalwert_kettenindex_2020100,52.45
01/10/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,10.4
01/10/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,50.17
01/10/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,2.2
01/01/2000,originalwert_kettenindex_2020100,52.72
01/01/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,16.6
01/01/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,52.45
01/01/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,4.5
01/04/2000,originalwert_kettenindex_2020100,54.43
01/04/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,11.6
01/04/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,54.45
01/04/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,3.8
01/07/2000,originalwert_kettenindex_2020100,53.81
01/07/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,11.8
01/07/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,55.41
01/07/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,1.8
01/10/2000,originalwert_kettenindex_2020100,59.65
01/10/2000,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,13.7
01/10/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,58.39
01/10/2000,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,5.4
01/01/2001,originalwert_kettenindex_2020100,58.60
01/01/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,11.2
01/01/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,58.62
01/01/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.4
01/04/2001,originalwert_kettenindex_2020100,58.57
01/04/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,7.6
01/04/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,58.73
01/04/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.2
01/07/2001,originalwert_kettenindex_2020100,57.06
01/07/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,6.0
01/07/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,58.53
01/07/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.3
01/10/2001,originalwert_kettenindex_2020100,59.36
01/10/2001,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-0.5
01/10/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,58.74
01/10/2001,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,0.4
01/01/2002,originalwert_kettenindex_2020100,57.06
01/01/2002,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,-2.6
01/01/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,58.20
01/01/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_veraenderung_gegenueber_vorquartal_in_,-0.9
01/04/2002,originalwert_kettenindex_2020100,60.51
01/04/2002,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,3.3
01/04/2002,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_kettenindex_2020100,60.12
