date,indicator,value
01/03/2000,beschaeftigte_messzahlen_2015100,96.7
01/03/2000,umsatz_in_jeweiligen_preisen_messzahlen_2015100,96.3
01/03/2000,umsatz_in_konstanten_preisen_messzahlen_2015100,128.8
01/04/2000,beschaeftigte_messzahlen_2015100,99.8
01/04/2000,umsatz_in_jeweiligen_preisen_messzahlen_2015100,99.6
01/04/2000,umsatz_in_konstanten_preisen_messzahlen_2015100,133.1
01/05/2000,beschaeftigte_messzahlen_2015100,101.5
01/05/2000,umsatz_in_jeweiligen_preisen_messzahlen_2015100,112.1
01/05/2000,umsatz_in_konstanten_preisen_messzahlen_2015100,150.0
01/06/2000,beschaeftigte_messzahlen_2015100,101.9
01/06/2000,umsatz_in_jeweiligen_preisen_messzahlen_2015100,110.8
01/06/2000,umsatz_in_konstanten_preisen_messzahlen_2015100,147.6
01/07/2000,beschaeftigte_messzahlen_2015100,102.1
01/07/2000,umsatz_in_jeweiligen_preisen_messzahlen_2015100,109.4
01/07/2000,umsatz_in_konstanten_preisen_messzahlen_2015100,144.8
01/08/2000,beschaeftigte_messzahlen_2015100,102.3
01/08/2000,umsatz_in_jeweiligen_preisen_messzahlen_2015100,110.2
01/08/2000,umsatz_in_konstanten_preisen_messzahlen_2015100,145.8
01/09/2000,beschaeftigte_messzahlen_2015100,102.5
01/09/2000,umsatz_in_jeweiligen_preisen_messzahlen_2015100,115.6
01/09/2000,umsatz_in_konstanten_preisen_messzahlen_2015100,153.9
01/10/2000,beschaeftigte_messzahlen_2015100,100.2
01/10/2000,umsatz_in_jeweiligen_preisen_messzahlen_2015100,109.6
01/10/2000,umsatz_in_konstanten_preisen_messzahlen_2015100,146.0
01/11/2000,beschaeftigte_messzahlen_2015100,96.1
01/11/2000,umsatz_in_jeweiligen_preisen_messzahlen_2015100,94.5
01/11/2000,umsatz_in_konstanten_preisen_messzahlen_2015100,126.0
01/12/2000,beschaeftigte_messzahlen_2015100,96.4
01/12/2000,umsatz_in_jeweiligen_preisen_messzahlen_2015100,103.6
01/12/2000,umsatz_in_konstanten_preisen_messzahlen_2015100,135.9
01/01/2001,beschaeftigte_messzahlen_2015100,95.4
01/01/2001,umsatz_in_jeweiligen_preisen_messzahlen_2015100,87.0
01/01/2001,umsatz_in_konstanten_preisen_messzahlen_2015100,115.3
01/02/2001,beschaeftigte_messzahlen_2015100,96.2
01/02/2001,umsatz_in_jeweiligen_preisen_messzahlen_2015100,86.5
01/02/2001,umsatz_in_konstanten_preisen_messzahlen_2015100,114.0
01/03/2001,beschaeftigte_messzahlen_2015100,97.9
01/03/2001,umsatz_in_jeweiligen_preisen_messzahlen_2015100,97.7
01/03/2001,umsatz_in_konstanten_preisen_messzahlen_2015100,129.0
01/04/2001,beschaeftigte_messzahlen_2015100,100.0
01/04/2001,umsatz_in_jeweiligen_preisen_messzahlen_2015100,99.5
01/04/2001,umsatz_in_konstanten_preisen_messzahlen_2015100,130.9
01/05/2001,beschaeftigte_messzahlen_2015100,101.9
01/05/2001,umsatz_in_jeweiligen_preisen_messzahlen_2015100,112.8
01/05/2001,umsatz_in_konstanten_preisen_messzahlen_2015100,148.3
01/06/2001,beschaeftigte_messzahlen_2015100,102.5
01/06/2001,umsatz_in_jeweiligen_preisen_messzahlen_2015100,110.3
