beschftigte_im_gastgewerbe_nach_ausgewhlten_wirtschaftszweigen,nominal,col_3,col_4,col_5,col_6
Datum;Hotels,Gasth�feundPensionen,Messzahlen2015=100;Ferienunterk�nfteund�hnlicheBeherbergungsst�tten,Messzahlen2015=100;Restaurants,Gastst�tten,Imbissstuben
01/03/2000;94,0;98,8;101,1;82,5;103,2
01/04/2000;97,0;106,9;104,8;82,5;103,9
01/05/2000;99,4;108,3;106,7;83,3;104,7
01/06/2000;100,2;107,8;106,4;83,1;107,5
01/07/2000;101,2;108,9;106,9;83,6;103,9
01/08/2000;103,0;109,3;106,1;83,4;103,9
01/09/2000;103,4;107,6;105,7;83,8;106,0
01/10/2000;101,2;106,4;102,9;82,9;105,7
01/11/2000;95,7;92,3;98,6;82,8;103,7
01/12/2000;96,3;94,3;99,1;81,9;103,7
01/01/2001;94,8;90,3;97,0;83,3;107,4
01/02/2001;93,9;90,4;98,8;84,1;108,5
01/03/2001;95,7;95,3;100,9;83,6;109,7
01/04/2001;98,5;102,8;103,1;83,3;109,8
01/05/2001;100,3;106,3;105,6;84,7;109,4
01/06/2001;101,2;107,6;106,1;84,7;109,7
01/07/2001;102,9;109,2;106,2;85,7;110,6
01/08/2001;103,9;108,9;106,6;84,9;107,1
01/09/2001;104,5;107,5;105,4;85,2;108,5
01/10/2001;102,4;101,8;103,9;84,6;109,4
01/11/2001;97,1;92,7;99,7;84,2;105,2
01/12/2001;97,5;91,9;99,2;83,5;106,9
01/01/2002;93,3;92,5;94,0;81,0;104,4
01/02/2002;92,8;89,8;95,0;81,0;104,2
01/03/2002;95,2;96,8;99,4;81,9;105,4
01/04/2002;97,0;102,0;100,8;82,3;105,5
01/05/2002;99,2;106,1;102,0;82,2;106,9
01/06/2002;100,2;108,6;102,6;81,2;106,4
01/07/2002;100,9;110,8;101,6;81,1;105,4
01/08/2002;101,5;110,2;101,4;79,5;103,3
01/09/2002;100,8;110,2;100,4;79,5;102,2
01/10/2002;99,1;108,9;97,0;79,4;103,0
01/11/2002;94,2;94,6;93,2;79,3;100,6
01/12/2002;93,6;94,0;92,5;78,6;100,5
01/01/2003;91,8;102,0;90,3;79,5;97,7
01/02/2003;91,7;101,0;90,6;79,9;98,8
01/03/2003;92,2;101,1;91,3;80,0;98,1
01/04/2003;93,6;104,1;93,0;79,8;99,3
01/05/2003;95,1;107,1;94,6;80,7;100,5
01/06/2003;95,9;108,2;95,8;80,3;100,8
01/07/2003;96,2;109,0;96,5;80,6;100,9
01/08/2003;97,2;108,9;96,2;80,0;100,2
01/09/2003;97,9;107,7;96,0;81,0;101,6
01/10/2003;97,2;107,3;95,1;82,2;101,4
01/11/2003;94,5;103,8;93,6;81,7;100,6
01/12/2003;95,0;104,5;93,5;81,9;100,9
01/01/2004;90,0;100,6;89,8;81,7;99,7
01/02/2004;89,5;99,6;90,5;82,4;101,6
01/03/2004;91,1;104,5;92,2;81,9;101,6
01/04/2004;93,5;109,8;95,9;82,2;103,9
01/05/2004;95,6;114,1;97,8;82,5;105,5
01/06/2004;96,1;115,3;98,1;83,4;104,5
01/07/2004;95,9;118,6;98,3;83,7;105,0
01/08/2004;97,2;118,0;97,9;83,7;103,9
01/09/2004;97,8;115,3;97,0;84,4;105,4
01/10/2004;96,1;111,3;94,7;84,7;105,4
01/11/2004;91,4;104,8;92,1;84,7;103,9
01/12/2004;91,4;102,3;91,4;85,5;103,9
01/01/2005;88,6;104,8;89,5;82,5;104,2
01/02/2005;88,3;103,6;89,5;82,6;104,2
01/03/2005;90,6;107,3;91,9;83,4;104,7
01/04/2005;92,6;111,0;94,6;83,6;107,1
01/05/2005;95,2;113,9;97,1;84,0;108,2
01/06/2005;96,2;115,4;97,7;83,8;107,1
01/07/2005;97,1;117,7;98,6;83,8;105,7
01/08/2005;98,5;117,7;98,2;84,2;105,5
01/09/2005;98,8;114,6;98,0;85,5;105,6
01/10/2005;96,9;114,0;95,9;85,6;106,1
01/11/2005;92,5;107,8;93,1;85,8;104,2
01/12/2005;92,4;102,4;91,9;86,0;103,5
01/01/2006;89,2;101,4;87,8;84,5;103,5
01/02/2006;89,4;100,0;88,7;84,1;105,4
01/03/2006;89,9;101,9;89,5;83,7;104,6
01/04/2006;94,2;108,2;92,9;84,4;106,1
01/05/2006;97,3;113,8;95,8;85,8;107,3
01/06/2006;97,8;116,6;97,3;85,3;107,9
01/07/2006;98,0;118,4;97,7;85,6;106,6
01/08/2006;99,5;120,0;97,0;86,1;105,1
01/09/2006;100,6;118,5;96,9;87,7;105,9
01/10/2006;99,2;115,1;94,2;85,3;105,7
01/11/2006;94,4;103,7;91,4;86,2;103,2
01/12/2006;94,8;103,1;90,9;86,0;103,3
01/01/2007;91,4;96,4;88,5;86,5;99,8
01/02/2007;91,2;96,8;89,0;85,4;101,0
01/03/2007;92,4;99,2;90,8;87,2;102,1
01/04/2007;95,0;104,5;95,2;85,6;103,5
01/05/2007;96,9;109,8;96,2;87,2;105,6
01/06/2007;97,4;110,2;96,7;87,2;104,7
01/07/2007;97,7;113,2;96,5;85,4;104,6
01/08/2007;98,9;112,9;96,5;85,9;103,9
01/09/2007;99,3;111,0;95,1;87,3;105,5
01/10/2007;99,4;111,9;94,7;87,2;104,8
01/11/2007;95,9;103,8;91,8;87,9;101,6
01/12/2007;95,7;99,4;91,4;88,8;101,4
01/01/2008;92,2;97,9;88,3;88,0;99,0
01/02/2008;92,4;98,5;88,8;87,5;100,0
01/03/2008;93,6;102,2;89,9;87,5;100,8
01/04/2008;95,5;103,5;91,8;88,7;101,1
01/05/2008;97,9;109,8;94,2;88,9;102,2
01/06/2008;98,3;110,3;94,2;88,8;100,3
01/07/2008;98,3;113,7;94,5;88,7;101,0
01/08/2008;99,9;113,6;94,7;88,8;100,7
01/09/2008;99,9;112,6;94,3;90,1;99,9
01/10/2008;97,4;108,4;92,5;89,9;100,6
01/11/2008;94,1;100,0;90,2;90,2;98,9
01/12/2008;93,2;97,8;89,9;89,7;98,2
01/01/2009;89,8;90,5;84,7;86,2;93,9
01/02/2009;89,1;89,2;86,0;86,5;95,0
01/03/2009;90,2;92,3;88,5;86,7;95,5
01/04/2009;92,5;97,0;92,3;87,7;98,3
01/05/2009;94,6;101,7;94,9;89,0;100,3
01/06/2009;95,4;104,7;94,8;88,3;99,1
